section,method,slot,max_position_error_m,transmitter_uses,cumulative_endpoint_m,event
trajectory,main,0,12.01113974324003,0,0.0,
trajectory,main,1,12.006267382810929,4,21.442636921308726,
trajectory,main,2,10.814860272056016,8,38.22721469464457,
trajectory,main,3,9.177546791042682,12,53.702144336711235,
trajectory,main,4,6.952704700407994,16,68.64720592421645,
trajectory,main,5,5.008670239254234,20,83.6180877227026,
trajectory,main,6,4.281347246059062,24,98.50250899967281,
trajectory,main,7,5.378457630365483,28,116.09798841080048,
trajectory,main,8,5.378457630365483,32,121.12005133297363,
trajectory,main,9,5.385237845382085,36,129.04397132966196,
trajectory,main,10,6.0799984670230485,40,135.78663400836405,
trajectory,main,11,6.416151753689145,44,141.41538788568067,
trajectory,main,12,6.577132980715423,48,147.0745102381046,
trajectory,main,13,6.653721644539995,52,154.508522386945,
trajectory,main,14,3.846629597987166,56,163.03828638605904,
trajectory,main,15,2.434524967103035,60,168.40680436035598,
trajectory,main,16,1.9438356445175375,64,172.33655775275096,
trajectory,main,17,1.707784924204568,68,176.01274716913838,
trajectory,main,18,1.5918252093621124,72,179.82417790794923,
trajectory,main,19,1.5315863159948766,76,183.09126117660966,
trajectory,main,20,1.5315863159948766,80,184.92208179693026,
trajectory,main,21,1.5807379205952672,84,185.92434379463938,
trajectory,main,22,1.6153679956834546,88,186.41000235350694,
trajectory,main,23,1.6153679956834546,92,189.6796560553204,
trajectory,main,24,1.6153679956834546,96,191.5469190459374,
trajectory,main,25,1.758987828496809,100,192.89077152203407,
trajectory,main,26,1.758987828496809,104,196.24526742793333,
trajectory,main,27,1.758987828496809,108,198.16061489224606,
trajectory,main,28,2.153026662780537,112,202.47731793146949,
trajectory,main,29,2.153026662780537,116,205.72632892226946,
trajectory,main,30,2.153026662780537,120,208.90273485259885,
trajectory,main,31,2.153026662780537,124,212.5121080907995,
trajectory,main,32,2.153026662780537,128,215.51915987808874,
trajectory,main,33,2.153026662780537,132,218.2207387694691,
trajectory,main,34,2.153026662780537,136,221.30391029828607,
trajectory,main,35,2.1977231767581267,140,226.0013649154483,
trajectory,main,36,1.4234434830772307,144,229.777062659112,
trajectory,main,37,1.2986784114405792,148,232.0103456389914,
trajectory,main,38,1.2986784114405792,152,233.78849948541594,
trajectory,main,39,1.2610331553345127,156,235.79573102899116,
trajectory,main,40,1.3451216610155432,160,238.18283985291927,
trajectory,main,41,1.3451216610155432,164,241.360878448635,
trajectory,main,42,0.9191192695448821,168,242.8756441653175,
trajectory,main,43,0.8865241081160612,172,244.1795401833077,
trajectory,main,44,0.8865241081160612,176,245.02003799473798,
trajectory,main,45,0.8865241081160612,180,245.59992940569504,
trajectory,main,46,0.8865241081160612,184,246.16674619968973,
trajectory,main,47,0.5139157607771535,188,247.42348188483885,
trajectory,main,48,0.35631179619764825,192,248.20774646096496,
trajectory,main,49,0.3917620662349925,196,248.70162885703502,
trajectory,main,50,0.3917620662349925,200,249.14518001264312,
