trial,gain_0.5_slots,gain_1_slots,difference_gain_1_minus_0.5
0,78,56,-22
1,96,58,-38
2,90,58,-32
3,86,58,-28
4,94,58,-36
5,78,54,-24
6,90,56,-34
7,96,58,-38
8,92,56,-36
9,82,58,-24
10,76,56,-20
11,86,50,-36
12,92,56,-36
13,82,54,-28
14,92,58,-34
15,86,56,-30
16,88,56,-32
17,90,54,-36
18,96,58,-38
19,94,58,-36
20,94,56,-38
21,90,58,-32
22,92,56,-36
23,88,54,-34
24,94,58,-36
25,88,58,-30
26,92,56,-36
27,88,52,-36
28,90,56,-34
29,94,58,-36
30,88,56,-32
31,78,54,-24
32,88,56,-32
33,90,56,-34
34,92,58,-34
35,94,58,-36
36,92,56,-36
37,90,56,-34
38,90,58,-32
39,96,58,-38
40,92,58,-34
41,90,58,-32
42,90,58,-32
43,96,58,-38
44,84,52,-32
45,90,58,-32
46,92,56,-36
47,92,56,-36
48,88,56,-32
49,90,58,-32
50,92,58,-34
51,90,58,-32
52,96,58,-38
53,86,54,-32
54,94,56,-38
55,78,54,-24
56,94,56,-38
57,90,58,-32
58,88,56,-32
59,94,56,-38
60,94,56,-38
61,84,56,-28
62,84,56,-28
63,80,54,-26
64,86,54,-32
65,94,56,-38
66,92,58,-34
67,90,54,-36
68,94,58,-36
69,76,56,-20
70,96,58,-38
71,78,58,-20
72,88,56,-32
73,94,58,-36
74,90,56,-34
75,88,58,-30
76,92,56,-36
77,92,58,-34
78,92,56,-36
79,92,58,-34
80,88,58,-30
81,94,58,-36
82,96,58,-38
83,80,52,-28
84,90,56,-34
85,94,58,-36
86,96,58,-38
87,92,58,-34
88,90,54,-36
89,94,58,-36
90,78,56,-22
91,92,58,-34
92,90,56,-34
93,84,54,-30
94,86,56,-30
95,96,58,-38
96,92,58,-34
97,84,56,-28
98,90,56,-34
99,90,58,-32
