panel,condition,method,rate,wilson95_low,wilson95_high,p05,median,p95,trial,first_1cm_slot,stopped
terminal_below_1cm,exact,main,1.0,0.9630065017930143,1.0,,,,,,
terminal_below_1cm,bearing_0.001deg,main,0.78,0.6892964648501421,0.8499871761539459,,,,,,
terminal_below_1cm,bearing_0.01deg,main,0.0,3.469446951953614e-18,0.03699349820698568,,,,,,
terminal_below_1cm,bearing_0.1deg,main,0.0,3.469446951953614e-18,0.03699349820698568,,,,,,
terminal_below_1cm,actuation_1pct,main,1.0,0.9630065017930143,1.0,,,,,,
emax_p05_median_p95,exact,main,,,,3.6823167066433234e-05,5.898650231792069e-05,8.684070416325994e-05,,,
transmitter_uses_p05_median_p95,exact,main,,,,672.0,784.0,896.0,,,
emax_p05_median_p95,bearing_0.001deg,main,,,,0.0041698749825943215,0.0071988445105742585,0.013196816277723263,,,
transmitter_uses_p05_median_p95,bearing_0.001deg,main,,,,2240.0,2240.0,2240.0,,,
emax_p05_median_p95,bearing_0.01deg,main,,,,0.04247369408204973,0.07275040889122905,0.1362759993435515,,,
transmitter_uses_p05_median_p95,bearing_0.01deg,main,,,,2240.0,2240.0,2240.0,,,
emax_p05_median_p95,bearing_0.1deg,main,,,,0.4254151296217316,0.7240337917464014,1.355893753397118,,,
transmitter_uses_p05_median_p95,bearing_0.1deg,main,,,,2240.0,2240.0,2240.0,,,
emax_p05_median_p95,actuation_1pct,main,,,,3.743242644142386e-05,5.654097345888287e-05,8.811753211831296e-05,,,
transmitter_uses_p05_median_p95,actuation_1pct,main,,,,672.0,784.0,896.0,,,
terminal_below_1cm,exact,two_configuration_gain_0.5,1.0,0.9630065017930143,1.0,,,,,,
terminal_below_1cm,bearing_0.001deg,two_configuration_gain_0.5,0.99,0.9455138038212946,0.9982325679358593,,,,,,
terminal_below_1cm,bearing_0.01deg,two_configuration_gain_0.5,0.0,3.469446951953614e-18,0.03699349820698568,,,,,,
terminal_below_1cm,bearing_0.1deg,two_configuration_gain_0.5,0.0,3.469446951953614e-18,0.03699349820698568,,,,,,
terminal_below_1cm,actuation_1pct,two_configuration_gain_0.5,1.0,0.9630065017930143,1.0,,,,,,
emax_p05_median_p95,exact,two_configuration_gain_0.5,,,,1.0997735328887071e-06,1.640800558275997e-06,2.10295153987023e-06,,,
transmitter_uses_p05_median_p95,exact,two_configuration_gain_0.5,,,,312.0,360.0,384.0,,,
emax_p05_median_p95,bearing_0.001deg,two_configuration_gain_0.5,,,,0.004138885947385205,0.006144025845653312,0.009025656428828872,,,
transmitter_uses_p05_median_p95,bearing_0.001deg,two_configuration_gain_0.5,,,,2240.0,2240.0,2240.0,,,
emax_p05_median_p95,bearing_0.01deg,two_configuration_gain_0.5,,,,0.04113691603173765,0.062021088765074894,0.09079450852596545,,,
transmitter_uses_p05_median_p95,bearing_0.01deg,two_configuration_gain_0.5,,,,2240.0,2240.0,2240.0,,,
emax_p05_median_p95,bearing_0.1deg,two_configuration_gain_0.5,,,,0.4113147660048723,0.6189863202980275,0.9072594017221719,,,
transmitter_uses_p05_median_p95,bearing_0.1deg,two_configuration_gain_0.5,,,,2240.0,2240.0,2240.0,,,
emax_p05_median_p95,actuation_1pct,two_configuration_gain_0.5,,,,1.0759895004278607e-06,1.6175212252521098e-06,2.1487801389611573e-06,,,
transmitter_uses_p05_median_p95,actuation_1pct,two_configuration_gain_0.5,,,,312.0,360.0,384.0,,,
terminal_below_1cm,exact,two_configuration_gain_1,1.0,0.9630065017930143,1.0,,,,,,
terminal_below_1cm,bearing_0.001deg,two_configuration_gain_1,0.27,0.1926958414957634,0.36432116767944994,,,,,,
terminal_below_1cm,bearing_0.01deg,two_configuration_gain_1,0.0,3.469446951953614e-18,0.03699349820698568,,,,,,
terminal_below_1cm,bearing_0.1deg,two_configuration_gain_1,0.0,3.469446951953614e-18,0.03699349820698568,,,,,,
terminal_below_1cm,actuation_1pct,two_configuration_gain_1,1.0,0.9630065017930143,1.0,,,,,,
emax_p05_median_p95,exact,two_configuration_gain_1,,,,3.563638754810958e-13,4.206855410725364e-12,3.968828490485671e-11,,,
transmitter_uses_p05_median_p95,exact,two_configuration_gain_1,,,,216.0,224.0,232.0,,,
emax_p05_median_p95,bearing_0.001deg,two_configuration_gain_1,,,,0.007904168256739577,0.012373708737379984,0.02059209250913006,,,
transmitter_uses_p05_median_p95,bearing_0.001deg,two_configuration_gain_1,,,,2240.0,2240.0,2240.0,,,
