gain,condition,metric,rate,wilson95_low,wilson95_high
0.5,exact,stopped,1.0,0.9630065017930143,1.0
0.5,bearing_0.001deg,stopped,0.0,3.469446951953614e-18,0.03699349820698568
0.5,bearing_0.01deg,stopped,0.0,3.469446951953614e-18,0.03699349820698568
0.5,bearing_0.1deg,stopped,0.0,3.469446951953614e-18,0.03699349820698568
0.5,actuation_1pct,stopped,1.0,0.9630065017930143,1.0
0.5,combined_0.001deg_1pct,stopped,0.0,3.469446951953614e-18,0.03699349820698568
0.5,combined_0.01deg_1pct,stopped,0.0,3.469446951953614e-18,0.03699349820698568
0.5,link_bias_0.001deg,stopped,0.0,3.469446951953614e-18,0.03699349820698568
0.5,exact,final_below_1cm,1.0,0.9630065017930143,1.0
0.5,bearing_0.001deg,final_below_1cm,0.99,0.9455138038212946,0.9982325679358593
0.5,bearing_0.01deg,final_below_1cm,0.0,3.469446951953614e-18,0.03699349820698568
0.5,bearing_0.1deg,final_below_1cm,0.0,3.469446951953614e-18,0.03699349820698568
0.5,actuation_1pct,final_below_1cm,1.0,0.9630065017930143,1.0
0.5,combined_0.001deg_1pct,final_below_1cm,0.99,0.9455138038212946,0.9982325679358593
0.5,combined_0.01deg_1pct,final_below_1cm,0.0,3.469446951953614e-18,0.03699349820698568
0.5,link_bias_0.001deg,final_below_1cm,0.38,0.29097599252478734,0.47790244704488916
0.5,exact,joint_success_1cm,1.0,0.9630065017930143,1.0
0.5,bearing_0.001deg,joint_success_1cm,0.0,3.469446951953614e-18,0.03699349820698568
0.5,bearing_0.01deg,joint_success_1cm,0.0,3.469446951953614e-18,0.03699349820698568
0.5,bearing_0.1deg,joint_success_1cm,0.0,3.469446951953614e-18,0.03699349820698568
0.5,actuation_1pct,joint_success_1cm,1.0,0.9630065017930143,1.0
0.5,combined_0.001deg_1pct,joint_success_1cm,0.0,3.469446951953614e-18,0.03699349820698568
0.5,combined_0.01deg_1pct,joint_success_1cm,0.0,3.469446951953614e-18,0.03699349820698568
0.5,link_bias_0.001deg,joint_success_1cm,0.0,3.469446951953614e-18,0.03699349820698568
1.0,exact,stopped,1.0,0.9630065017930143,1.0
1.0,bearing_0.001deg,stopped,0.0,3.469446951953614e-18,0.03699349820698568
1.0,bearing_0.01deg,stopped,0.0,3.469446951953614e-18,0.03699349820698568
1.0,bearing_0.1deg,stopped,0.0,3.469446951953614e-18,0.03699349820698568
1.0,actuation_1pct,stopped,1.0,0.9630065017930143,1.0
1.0,combined_0.001deg_1pct,stopped,0.0,3.469446951953614e-18,0.03699349820698568
1.0,combined_0.01deg_1pct,stopped,0.0,3.469446951953614e-18,0.03699349820698568
1.0,link_bias_0.001deg,stopped,0.0,3.469446951953614e-18,0.03699349820698568
1.0,exact,final_below_1cm,1.0,0.9630065017930143,1.0
1.0,bearing_0.001deg,final_below_1cm,0.27,0.1926958414957634,0.36432116767944994
1.0,bearing_0.01deg,final_below_1cm,0.0,3.469446951953614e-18,0.03699349820698568
1.0,bearing_0.1deg,final_below_1cm,0.0,3.469446951953614e-18,0.03699349820698568
1.0,actuation_1pct,final_below_1cm,1.0,0.9630065017930143,1.0
1.0,combined_0.001deg_1pct,final_below_1cm,0.27,0.1926958414957634,0.36432116767944994
1.0,combined_0.01deg_1pct,final_below_1cm,0.0,3.469446951953614e-18,0.03699349820698568
1.0,link_bias_0.001deg,final_below_1cm,0.3,0.2189488529493276,0.3958485463334666
1.0,exact,joint_success_1cm,1.0,0.9630065017930143,1.0
1.0,bearing_0.001deg,joint_success_1cm,0.0,3.469446951953614e-18,0.03699349820698568
1.0,bearing_0.01deg,joint_success_1cm,0.0,3.469446951953614e-18,0.03699349820698568
1.0,bearing_0.1deg,joint_success_1cm,0.0,3.469446951953614e-18,0.03699349820698568
1.0,actuation_1pct,joint_success_1cm,1.0,0.9630065017930143,1.0
1.0,combined_0.001deg_1pct,joint_success_1cm,0.0,3.469446951953614e-18,0.03699349820698568
1.0,combined_0.01deg_1pct,joint_success_1cm,0.0,3.469446951953614e-18,0.03699349820698568
1.0,link_bias_0.001deg,joint_success_1cm,0.0,3.469446951953614e-18,0.03699349820698568
