gain,condition,trial,terminal_max_error_m
0.5,exact,0,1.6040042104215762e-06
0.5,exact,1,1.9384093333991654e-06
0.5,exact,2,2.054264017804747e-06
0.5,exact,3,1.9824740184569904e-06
0.5,exact,4,1.6828065919550696e-06
0.5,exact,5,1.6755938986217376e-06
0.5,exact,6,1.6987198797829201e-06
0.5,exact,7,1.6857983868514334e-06
0.5,exact,8,1.6660529419264182e-06
0.5,exact,9,2.060715739281923e-06
0.5,exact,10,1.8290981164040505e-06
0.5,exact,11,1.6016787144953401e-06
0.5,exact,12,1.6402269406365496e-06
0.5,exact,13,1.1284957722325135e-06
0.5,exact,14,1.7019485154044333e-06
0.5,exact,15,1.504693779325628e-06
0.5,exact,16,1.5184028452609653e-06
0.5,exact,17,1.7003319720376622e-06
0.5,exact,18,1.0986034473385701e-06
0.5,exact,19,1.5847200300601748e-06
0.5,exact,20,1.647163485691653e-06
0.5,exact,21,2.062443585619998e-06
0.5,exact,22,1.1032575352436608e-06
0.5,exact,23,2.1709815793376975e-06
0.5,exact,24,1.4841268470167359e-06
0.5,exact,25,2.0170250140735362e-06
0.5,exact,26,1.5887556933233832e-06
0.5,exact,27,1.587924898332631e-06
0.5,exact,28,1.6811133240627744e-06
0.5,exact,29,1.9479974237277164e-06
0.5,exact,30,1.7061492942175633e-06
0.5,exact,31,1.2806941549799634e-06
0.5,exact,32,1.1296896778980983e-06
0.5,exact,33,1.5100011420918201e-06
0.5,exact,34,1.127495542895499e-06
0.5,exact,35,1.957502517461975e-06
0.5,exact,36,1.9672438497638832e-06
0.5,exact,37,1.56222334770285e-06
0.5,exact,38,1.565127288253023e-06
0.5,exact,39,1.625526524641473e-06
0.5,exact,40,2.1027701685678926e-06
0.5,exact,41,2.100715724134189e-06
0.5,exact,42,1.9244703161960926e-06
0.5,exact,43,2.018386189043881e-06
0.5,exact,44,1.1510028434420941e-06
0.5,exact,45,1.1189435316744674e-06
0.5,exact,46,1.9688415158996896e-06
0.5,exact,47,1.529400529828731e-06
0.5,exact,48,1.974273675961471e-06
0.5,exact,49,2.0520224274207307e-06
0.5,exact,50,1.655838487462387e-06
0.5,exact,51,1.6581562612390898e-06
0.5,exact,52,1.6489300734625922e-06
0.5,exact,53,2.125448287119186e-06
0.5,exact,54,1.1120950607236573e-06
0.5,exact,55,1.6336455946925722e-06
0.5,exact,56,1.5915344304482501e-06
0.5,exact,57,1.0933841821336e-06
0.5,exact,58,2.1065239725394785e-06
0.5,exact,59,1.9643315445514575e-06
0.5,exact,60,1.5120134682572778e-06
0.5,exact,61,1.629051049163354e-06
0.5,exact,62,1.095218081125376e-06
0.5,exact,63,2.0859702922234365e-06
0.5,exact,64,1.7057335464839433e-06
0.5,exact,65,1.59600097528263e-06
0.5,exact,66,1.1077799176302051e-06
0.5,exact,67,1.6723612854011007e-06
0.5,exact,68,1.481861228049989e-06
0.5,exact,69,7.673589360782607e-07
