gap_deg,transmitters,receiver_count,exact_max_error_m,ideal_worst_angle_sigma_min_per_m,table_worst_angle_sigma_min_per_m,noise_std_deg,noise_trials_per_receiver,noise_sample_count,noise_median_error_m,noise_p95_error_m,noise_max_error_m,noise_solver_failures
40,FY00-FY01-FY02,7,2.1676822464638023e-11,0.002159555653106554,0.0019218055175103332,0.1,200,1400,0.4955564231647714,1.4057090955363425,2.3253243919205127,0
80,FY00-FY01-FY03,7,2.5962049244422126e-11,0.004468205281232849,0.003976187941786895,0.1,200,1400,0.2930225954834272,0.7673897590975862,1.6375855574783493,0
120,FY00-FY01-FY04,7,3.333347046563033e-11,0.005777158104439241,0.0046781220885290355,0.1,200,1400,0.2575868895284522,0.6663018284561205,1.205162420825882,0
160,FY00-FY01-FY05,7,5.2881034559961194e-11,0.006218192675908022,0.005158475601318423,0.1,200,1400,0.24335356932644325,0.6059118285539883,1.1568948713745248,0
160,FY00-FY01-FY06,7,2.2501992022516228e-10,0.006218192675908032,0.005047514584573767,0.1,200,1400,0.2330168162046795,0.5812193542646868,1.0551690771413464,0
120,FY00-FY01-FY07,7,7.367659530428268e-11,0.005777158104439227,0.0046765699566740275,0.1,200,1400,0.256027253993061,0.662409243647155,1.4496190996596856,0
80,FY00-FY01-FY08,7,4.711194388260257e-11,0.004468205281232853,0.003330462900374637,0.1,200,1400,0.32180224280187286,0.8191573765904402,1.841191432748202,0
40,FY00-FY01-FY09,7,3.26010294726521e-11,0.0021595556531065594,0.002044274695962568,0.1,200,1400,0.5018676552605092,1.3918611612464409,2.9544822904734773,0
40,FY00-FY02-FY03,7,2.9579846299126854e-11,0.002159555653106548,0.002044792076162347,0.1,200,1400,0.49490098543146444,1.4627575283986343,2.932679225895694,0
80,FY00-FY02-FY04,7,3.565165081676399e-11,0.004468205281232853,0.003330527783841587,0.1,200,1400,0.3299731884068502,0.7997533538661579,1.6230618323714705,0
120,FY00-FY02-FY05,7,1.7419493118829331e-09,0.00577715810443921,0.004687308362118742,0.1,200,1400,0.2744410352936607,0.6607159336735074,1.2104289691286416,0
160,FY00-FY02-FY06,7,1.8408577850407465e-10,0.0062181926759080275,0.005055894859922157,0.1,200,1400,0.23557168610940216,0.5902042897270502,1.1071124775362085,0
160,FY00-FY02-FY07,7,7.28525603548932e-11,0.006218192675908028,0.005160660599908454,0.1,200,1400,0.22827962396188858,0.5948473301999242,1.2361867861656806,0
120,FY00-FY02-FY08,7,3.9985012617962064e-11,0.0057771581044392326,0.004688818440491104,0.1,200,1400,0.2670596679638454,0.6610002696124291,1.068195074577632,0
80,FY00-FY02-FY09,7,2.3754569063178966e-11,0.004468205281232849,0.003976091720079891,0.1,200,1400,0.2963262278069424,0.7337903913480336,1.4542790034814876,0
40,FY00-FY03-FY04,7,3.846987891071339e-11,0.002159555653106565,0.0020463517757606854,0.1,200,1400,0.46746281924665023,1.4367330252541932,2.977178075828479,0
80,FY00-FY03-FY05,7,4.932761721863415e-11,0.004468205281232852,0.0039764800580741255,0.1,200,1400,0.31989297492334223,0.7904454278249758,1.572237738937351,0
120,FY00-FY03-FY06,7,9.856832098794098e-11,0.0057771581044392456,0.005503584095399518,0.1,200,1400,0.24552771291683323,0.6209796029989735,1.1624582505352403,0
160,FY00-FY03-FY07,7,5.710588425729773e-11,0.006218192675908016,0.00505299688889139,0.1,200,1400,0.23107802040568315,0.5965072478418866,0.9038022862589535,0
160,FY00-FY03-FY08,7,2.4110757774340408e-11,0.006218192675908026,0.005057085252965712,0.1,200,1400,0.2331084430025721,0.5869717970770254,1.033303378686772,0
120,FY00-FY03-FY09,7,2.2834579582623534e-11,0.005777158104439234,0.005505399836318072,0.1,200,1400,0.23756606522644577,0.5986130142570832,0.9811201408315089,0
40,FY00-FY04-FY05,7,4.844372820601989e-11,0.0021595556531065563,0.001921811107265009,0.1,200,1400,0.4814699923084067,1.3902599206758388,3.2172340952759217,0
80,FY00-FY04-FY06,7,5.82541416180661e-11,0.004468205281232854,0.003975806477685517,0.1,200,1400,0.30760067045182693,0.785306305337858,1.344927963913216,0
120,FY00-FY04-FY07,7,1.4579291169756601e-12,0.0057771581044392395,0.004683616150635894,0.1,200,1400,0.26089663494147153,0.6403768681240416,1.0359149111298696,0
160,FY00-FY04-FY08,7,3.339673688999272e-11,0.006218192675908022,0.005158951862087425,0.1,200,1400,0.23704555964836282,0.5885276748692985,1.2045330050291077,0
160,FY00-FY04-FY09,7,3.180949605844898e-11,0.006218192675908027,0.005048716914199854,0.1,200,1400,0.23099564557910257,0.5897557736630084,1.1635278608520552,0
40,FY00-FY05-FY06,7,1.7140339912233615e-08,0.002159555653106569,0.0020427300935441715,0.1,200,1400,0.49810330061477426,1.358309143434906,2.593543974183123,0
80,FY00-FY05-FY07,7,1.9263601476974298e-10,0.004468205281232854,0.003330608176468996,0.1,200,1400,0.3326395773896067,0.8563999636397134,1.8428078029513835,0
120,FY00-FY05-FY08,7,9.674812615550162e-11,0.005777158104439239,0.004681866405305498,0.1,200,1400,0.25340671432185363,0.6484387196892981,1.2272135097342176,0
160,FY00-FY05-FY09,7,6.223333079070447e-11,0.006218192675908004,0.005051629674249284,0.1,200,1400,0.23670020723096302,0.5727486508096521,1.0753624119819192,0
40,FY00-FY06-FY07,7,1.2586699706942627e-10,0.0021595556531065615,0.0020458956906798326,0.1,200,1400,0.5109569825074896,1.4159585865949817,2.1343630125652595,0
