gap_deg,transmitters,receiver,true_x_m,true_y_m,estimate_x_m,estimate_y_m,position_error_m,angle_residual_norm_rad,angle_sigma_min_per_m,angle_jacobian_condition_number
40,FY00-FY01-FY02,FY03,19.044201170560154,110.36901015128855,19.04420117056025,110.36901015128856,9.697021187062789e-14,4.002966042486721e-16,0.003890333463650229,3.8122621561527796
40,FY00-FY01-FY02,FY04,-52.10273288589687,91.16087552135994,-52.1027328859099,91.16087552136206,1.3202258800066146e-11,1.189372889427058e-13,0.0026340853958610848,3.4582200984925144
40,FY00-FY01-FY02,FY05,-92.00770214648452,33.74289178069639,-92.00770214648435,33.74289178069658,2.5668202664787205e-13,1.6653345369377348e-15,0.0023255744091506343,3.376068244358079
40,FY00-FY01-FY02,FY06,-105.2722906898315,-38.23277145219291,-105.27229068983151,-38.2327714521927,2.0654684155017312e-13,2.2842349715679205e-15,0.0019218055175103332,3.093452625710749
40,FY00-FY01-FY02,FY07,-52.38886563516721,-90.99674036722632,-52.388865635170276,-90.99674036720486,2.1676822464638023e-11,5.972574882356236e-14,0.0021789081356490877,3.2435423034319815
40,FY00-FY01-FY02,FY08,17.30380046043861,-96.46024305186735,17.303800460438598,-96.46024305186708,2.7021651575589683e-13,2.3028766130352475e-15,0.0027541178048592543,3.6717438952985972
40,FY00-FY01-FY02,FY09,86.14777204829525,-71.57207116686621,86.14777204829521,-71.57207116686624,5.123796534383003e-14,3.3306690738754696e-16,0.003921913641229479,3.8253411154669847
80,FY00-FY01-FY03,FY02,74.96229729000632,63.124115716615876,74.96229729000738,63.124115716617005,1.5531658077589046e-12,5.2954728805219954e-14,0.007837934615610005,4.3770023735729415
80,FY00-FY01-FY03,FY04,-52.10273288589687,91.16087552135994,-52.102732885901794,91.1608755213632,5.902266844766765e-12,9.860443152498477e-14,0.005021747027163592,3.4331634899686923
80,FY00-FY01-FY03,FY05,-92.00770214648452,33.74289178069639,-92.00770214648436,33.74289178069633,1.6633378991627446e-13,1.011842062001899e-15,0.004699532672207348,2.0923715723463383
80,FY00-FY01-FY03,FY06,-105.2722906898315,-38.23277145219291,-105.27229068983155,-38.23277145219281,1.1457157353758233e-13,7.216449660063518e-16,0.003976187941786895,1.5369628081456304
80,FY00-FY01-FY03,FY07,-52.38886563516721,-90.99674036722632,-52.38886563517204,-90.99674036720081,2.5962049244422126e-11,1.2140840827357342e-13,0.004253472572739671,1.591375909547263
80,FY00-FY01-FY03,FY08,17.30380046043861,-96.46024305186735,17.30380046043885,-96.46024305186722,2.733512482915237e-13,1.9167430610055932e-15,0.004699734109583345,2.09293467642568
