case_id,suite,receiver_id,true_emitter_id,assumed_emitter_id,candidate_index,source,x_m,y_m,residual_norm_rad,distance_to_ideal_m
ideal_k02_q03,ideal,2,3,3,0,q1_1_local,76.60444431189781,64.27876096865393,0.0,0.0
ideal_k02_q03,ideal,2,3,4,0,q1_1_local,40.760373454795236,70.59903775918711,0.0,36.39702342662024
ideal_k02_q03,ideal,2,3,5,0,q1_1_local,9.239626545206379,52.400526045876624,3.6177601487312715e-14,68.40402866513223
ideal_k02_q03,ideal,2,3,5,1,circle_intersection,-3.2088886237956094,-18.198511713310126,2.220446049250313e-16,114.77224674702025
ideal_k02_q03,ideal,2,3,6,0,q1_1_local,-3.2088886237956076,18.19851171331013,0.0,92.16049851068762
ideal_k02_q03,ideal,2,3,6,1,circle_intersection,9.239626545204768,-52.400526045877,0.0,134.72963553338607
ideal_k02_q03,ideal,2,3,7,0,circle_intersection,40.76037345479521,-70.59903775918711,0.0,139.55937089739615
ideal_k02_q03,ideal,2,3,8,0,circle_intersection,76.6044443118978,-64.27876096865394,0.0,128.55752193730785
ideal_k02_q04,ideal,2,4,4,0,q1_1_local,76.60444431189781,64.27876096865393,0.0,0.0
ideal_k02_q04,ideal,2,4,5,0,q1_1_local,31.596546803799885,68.12344275016531,1.9641850382783467e-15,45.171809971491435
ideal_k02_q04,ideal,2,4,5,1,circle_intersection,1.4838765081221312,-40.04734669141233,4.577566798522237e-16,128.55752193730785
ideal_k02_q04,ideal,2,4,6,0,q1_1_local,1.4838765081221421,40.04734669141232,2.220446049250313e-16,78.93200330054322
ideal_k02_q04,ideal,2,4,6,1,circle_intersection,31.596546803799722,-68.12344275016537,2.220446049250313e-16,139.8429633113486
ideal_k02_q04,ideal,2,4,7,0,circle_intersection,76.60444431189778,-64.27876096865398,1.0175362097255202e-15,128.5575219373079
ideal_k02_q05,ideal,2,5,4,0,circle_intersection,-2.9011706274574345,-23.912702366772844,3.3306690738754696e-16,118.73869214425832
