case_id,suite,sample,receiver_id,true_emitter_id,true_x_m,true_y_m,true_displacement_m,alpha_01_deg,alpha_0U_deg,alpha_1U_deg,status,selected_emitter_id,identity_correct,estimate_x_m,estimate_y_m,position_error_m,position_correct,selected_residual_norm_rad,selected_distance_m,distance_margin_m,identity_margin_m,continuum_distance_bound_m,consistent_id_count,position_candidate_count
ideal_k02_q03,ideal,ideal,2,3,76.60444431189781,64.27876096865393,0.0,70.0,70.0,140.0,selected,3,True,76.60444431189781,64.27876096865393,0.0,True,0.0,0.0,36.39702342662024,36.39702342662024,33.45308082571281,6,8
ideal_k02_q04,ideal,ideal,2,4,76.60444431189781,64.27876096865393,0.0,70.0,50.00000000000001,120.00000000000001,selected,4,True,76.60444431189781,64.27876096865393,0.0,True,0.0,0.0,45.171809971491435,45.171809971491435,,4,6
ideal_k02_q05,ideal,ideal,2,5,76.60444431189781,64.27876096865393,0.0,70.0,30.000000000000004,100.00000000000001,selected,5,True,76.60444431189781,64.27876096865393,0.0,True,0.0,0.0,53.2088886237956,53.2088886237956,,4,6
ideal_k02_q06,ideal,ideal,2,6,76.60444431189781,64.27876096865393,0.0,70.0,9.999999999999975,80.0,selected,6,True,76.60444431189781,64.27876096865393,0.0,True,0.0,0.0,62.4612166669694,62.4612166669694,,4,4
ideal_k02_q07,ideal,ideal,2,7,76.60444431189781,64.27876096865393,0.0,70.0,9.999999999999975,60.00000000000002,selected,7,True,76.60444431189781,64.27876096865393,0.0,True,0.0,0.0,76.06676310279691,76.06676310279691,,4,4
ideal_k02_q08,ideal,ideal,2,8,76.60444431189781,64.27876096865393,0.0,70.0,29.999999999999996,40.00000000000001,selected,8,True,76.60444431189781,64.27876096865393,0.0,True,0.0,0.0,128.55752193730788,128.55752193730788,,2,2
ideal_k02_q09,ideal,ideal,2,9,76.60444431189781,64.27876096865393,0.0,70.0,50.0,19.999999999999993,selected,9,True,76.60444431189781,64.27876096865393,0.0,True,0.0,0.0,,,,1,1
table1_k02_q03,table1,table1,2,3,74.96229729000632,63.124115716615876,2.0074492520512446,71.53537760498524,71.6440059932059,143.17938359819115,selected,3,True,74.96229729000738,63.124115716617005,1.5531658077589046e-12,True,5.2954728805219954e-14,2.007449252049723,35.490978925850555,35.490978925850555,,7,9
table1_k02_q04,table1,table1,2,4,74.96229729000632,63.124115716615876,2.0074492520512446,71.53537760498524,50.74091187196525,122.2762894769505,selected,4,True,74.96229729000652,63.12411571661586,1.9945885082418896e-13,True,3.412920201770619e-15,2.00744925205109,43.87521463576549,43.87521463576549,,6,8
table1_k02_q05,table1,table1,2,5,74.96229729000632,63.124115716615876,2.0074492520512446,71.53537760498524,30.38480865387865,101.92018625886391,selected,5,True,74.96229729000636,63.12411571661586,4.4938668397781776e-14,True,4.965068306494546e-16,2.007449252051218,51.96044958305469,51.96044958305469,,4,8
table1_k02_q06,table1,table1,2,6,74.96229729000632,63.124115716615876,2.0074492520512446,71.53537760498524,10.15256912595026,81.68794673093556,selected,6,True,74.96229729000643,63.12411571661579,1.4210854715202004e-13,True,1.3440693017233997e-15,2.0074492520512006,61.4405971965119,61.4405971965119,,4,6
table1_k02_q07,table1,table1,2,7,74.96229729000632,63.124115716615876,2.0074492520512446,71.53537760498524,10.051527622698469,61.48384998228684,selected,7,True,74.96229729000645,63.12411571661577,1.664854851506445e-13,True,8.005932084973442e-16,2.0074492520512015,75.49004339239303,75.49004339239303,,4,4
table1_k02_q08,table1,table1,2,8,74.96229729000632,63.124115716615876,2.0074492520512446,71.53537760498524,30.283461897651588,41.251915707333666,selected,8,True,74.96229729000629,63.12411571661588,2.929642751054232e-14,True,2.220446049250313e-16,2.007449252051264,125.40601014107402,125.40601014107402,,2,2
table1_k02_q09,table1,table1,2,9,74.96229729000632,63.124115716615876,2.0074492520512446,71.53537760498524,50.6384674990555,20.89691010592976,selected,9,True,74.96229729000628,63.124115716615876,4.263256414560601e-14,True,2.220446049250313e-16,2.0074492520512797,,,,1,1
dr-5_da-1_k02_q03,fixed_offsets,dr-5_da-1,2,3,73.82886633841224,59.785437149734555,5.281457377331225,74.64144643567747,73.423203882997,148.06465031867444,selected,3,True,73.82886633841227,59.785437149734555,2.842170943040401e-14,True,6.661338147750939e-16,5.2814573773312095,33.042334531830974,33.042334531830974,,7,9
