case_id,suite,receiver_id,true_emitter_id,assumed_emitter_id,local_status,local_residual_norm_rad,position_candidate_count,nearest_distance_m,continuum_branch_count,continuum_distance_bound_m,local_message
ideal_k02_q03,ideal,2,3,3,consistent,0.0,1,0.0,0,,`gtol` termination condition is satisfied.
ideal_k02_q03,ideal,2,3,4,consistent,0.0,1,36.39702342662024,0,,`gtol` termination condition is satisfied.
ideal_k02_q03,ideal,2,3,5,consistent,3.6177601487312715e-14,2,68.40402866513223,0,,`gtol` termination condition is satisfied.
ideal_k02_q03,ideal,2,3,6,consistent,0.0,2,92.16049851068762,0,,`gtol` termination condition is satisfied.
ideal_k02_q03,ideal,2,3,7,nonzero_residual,1.410732838848836,1,139.55937089739615,0,,`gtol` termination condition is satisfied.
ideal_k02_q03,ideal,2,3,8,nonzero_residual,1.4392353714906838,1,128.55752193730785,0,,`ftol` termination condition is satisfied.
ideal_k02_q03,ideal,2,3,9,nonzero_residual,1.813799364234341,0,,1,33.45308082571281,`ftol` termination condition is satisfied.
ideal_k02_q04,ideal,2,4,3,geometry_error,,0,,0,,"receiver coincides with a transmitter, so an angle is undefined"
ideal_k02_q04,ideal,2,4,4,consistent,0.0,1,0.0,0,,`gtol` termination condition is satisfied.
ideal_k02_q04,ideal,2,4,5,consistent,1.9641850382783467e-15,2,45.171809971491435,0,,`gtol` termination condition is satisfied.
ideal_k02_q04,ideal,2,4,6,consistent,2.220446049250313e-16,2,78.93200330054322,0,,`gtol` termination condition is satisfied.
ideal_k02_q04,ideal,2,4,7,nonzero_residual,1.0076663134634543,1,128.5575219373079,0,,`gtol` termination condition is satisfied.
ideal_k02_q04,ideal,2,4,8,nonzero_residual,1.0176930909045923,0,,0,,`ftol` termination condition is satisfied.
ideal_k02_q04,ideal,2,4,9,nonzero_residual,1.4179121871937659,0,,0,,`ftol` termination condition is satisfied.
ideal_k02_q05,ideal,2,5,3,nonzero_residual,0.42751661006403274,0,,0,,`xtol` termination condition is satisfied.
ideal_k02_q05,ideal,2,5,4,geometry_error,,1,118.73869214425832,0,,"receiver coincides with a transmitter, so an angle is undefined"
ideal_k02_q05,ideal,2,5,5,consistent,0.0,2,0.0,0,,`gtol` termination condition is satisfied.
ideal_k02_q05,ideal,2,5,6,consistent,3.3306690738754696e-16,2,53.2088886237956,0,,`gtol` termination condition is satisfied.
ideal_k02_q05,ideal,2,5,7,nonzero_residual,0.6045997880780726,1,89.16592114667756,0,,`gtol` termination condition is satisfied.
ideal_k02_q05,ideal,2,5,8,nonzero_residual,0.6045997880780934,0,,0,,`ftol` termination condition is satisfied.
ideal_k02_q05,ideal,2,5,9,nonzero_residual,1.0471975511966445,0,,0,,`ftol` termination condition is satisfied.
ideal_k02_q06,ideal,2,6,3,nonzero_residual,0.4275166100623568,0,,0,,`xtol` termination condition is satisfied.
ideal_k02_q06,ideal,2,6,4,nonzero_residual,0.20153326269269017,1,136.99035034879293,0,,`gtol` termination condition is satisfied.
ideal_k02_q06,ideal,2,6,5,geometry_error,,1,128.55752193730785,0,,"receiver coincides with a transmitter, so an angle is undefined"
ideal_k02_q06,ideal,2,6,6,consistent,0.0,1,0.0,0,,`gtol` termination condition is satisfied.
ideal_k02_q06,ideal,2,6,7,nonzero_residual,0.20153326269268876,1,62.4612166669694,0,,`ftol` termination condition is satisfied.
ideal_k02_q06,ideal,2,6,8,geometry_error,,0,,0,,"receiver coincides with a transmitter, so an angle is undefined"
ideal_k02_q06,ideal,2,6,9,geometry_error,,0,,0,,"receiver coincides with a transmitter, so an angle is undefined"
ideal_k02_q07,ideal,2,7,3,nonzero_residual,0.34906585040184185,1,130.55662901449028,0,,`xtol` termination condition is satisfied.
ideal_k02_q07,ideal,2,7,4,consistent,8.087309868639295e-16,1,128.55752193730802,0,,`gtol` termination condition is satisfied.
ideal_k02_q07,ideal,2,7,5,nonzero_residual,0.2468268299054112,0,,0,,`xtol` termination condition is satisfied.
ideal_k02_q07,ideal,2,7,6,nonzero_residual,0.20153326269269112,0,,0,,`gtol` termination condition is satisfied.
ideal_k02_q07,ideal,2,7,7,consistent,0.0,1,0.0,0,,`gtol` termination condition is satisfied.
ideal_k02_q07,ideal,2,7,8,consistent,2.244863202885945e-12,1,76.06676310279691,0,,`gtol` termination condition is satisfied.
ideal_k02_q07,ideal,2,7,9,geometry_error,,0,,0,,"receiver coincides with a transmitter, so an angle is undefined"
ideal_k02_q08,ideal,2,8,3,nonzero_residual,0.6045997880780989,1,128.55752193730788,0,,`ftol` termination condition is satisfied.
ideal_k02_q08,ideal,2,8,4,nonzero_residual,0.7404804896951389,0,,0,,`xtol` termination condition is satisfied.
ideal_k02_q08,ideal,2,8,5,nonzero_residual,0.604599788078095,0,,0,,`ftol` termination condition is satisfied.
ideal_k02_q08,ideal,2,8,6,nonzero_residual,0.604599788078072,0,,0,,`gtol` termination condition is satisfied.
ideal_k02_q08,ideal,2,8,7,geometry_error,,0,,0,,"receiver coincides with a transmitter, so an angle is undefined"
ideal_k02_q08,ideal,2,8,8,consistent,0.0,1,0.0,0,,`gtol` termination condition is satisfied.
ideal_k02_q08,ideal,2,8,9,geometry_error,,0,,0,,"receiver coincides with a transmitter, so an angle is undefined"
ideal_k02_q09,ideal,2,9,3,nonzero_residual,1.0076663134634545,0,,0,,`gtol` termination condition is satisfied.
ideal_k02_q09,ideal,2,9,4,nonzero_residual,1.0176930909050232,0,,0,,`xtol` termination condition is satisfied.
ideal_k02_q09,ideal,2,9,5,nonzero_residual,1.0076663134634543,0,,0,,`gtol` termination condition is satisfied.
ideal_k02_q09,ideal,2,9,6,nonzero_residual,1.007666313463454,0,,0,,`xtol` termination condition is satisfied.
ideal_k02_q09,ideal,2,9,7,nonzero_residual,0.4275166100545629,0,,0,,`xtol` termination condition is satisfied.
ideal_k02_q09,ideal,2,9,8,geometry_error,,0,,0,,"receiver coincides with a transmitter, so an angle is undefined"
ideal_k02_q09,ideal,2,9,9,consistent,0.0,1,0.0,0,,`gtol` termination condition is satisfied.
table1_k02_q03,table1,2,3,3,consistent,5.2954728805219954e-14,1,2.007449252049723,0,,`gtol` termination condition is satisfied.
table1_k02_q03,table1,2,3,4,consistent,4.965068306494546e-16,1,37.49842817790028,0,,`gtol` termination condition is satisfied.
table1_k02_q03,table1,2,3,5,consistent,4.641582096618738e-14,2,69.56358685757245,0,,`gtol` termination condition is satisfied.
table1_k02_q03,table1,2,3,6,nonzero_residual,0.742057895781254,2,93.2672195886943,0,,`ftol` termination condition is satisfied.
table1_k02_q03,table1,2,3,7,nonzero_residual,1.4438650280185483,1,137.7367196109348,0,,`xtol` termination condition is satisfied.
table1_k02_q03,table1,2,3,8,nonzero_residual,1.480994987924385,1,127.41345939312522,0,,`ftol` termination condition is satisfied.
table1_k02_q03,table1,2,3,9,nonzero_residual,1.8669024269467152,1,103.86919542102993,0,,`ftol` termination condition is satisfied.
table1_k02_q04,table1,2,4,3,consistent,2.2315206618374916e-15,1,64.86438217920094,0,,`gtol` termination condition is satisfied.
table1_k02_q04,table1,2,4,4,consistent,3.412920201770619e-15,1,2.00744925205109,0,,`gtol` termination condition is satisfied.
