x,y,step_m,max_entry_error
2,3,0.001,8.097689185859736e-13
2,4,0.001,4.3235207081160354e-13
2,5,0.001,4.988752466683621e-13
2,6,0.001,4.31868516642675e-13
2,7,0.001,8.448724575851885e-13
2,8,0.001,5.329504199069746e-13
2,9,0.001,4.996062245885289e-13
3,4,0.001,5.329469504600226e-13
3,5,0.001,2.0649790471310991e-13
3,6,0.001,2.2352952822046745e-13
3,7,0.001,8.86496713710383e-13
3,8,0.001,1.1468621191612627e-12
3,9,0.001,4.774236561644329e-13
4,5,0.001,5.159050270320265e-13
4,6,0.001,2.1162238628136265e-13
4,7,0.001,3.0031619552284283e-13
4,8,0.001,5.084908188957016e-13
4,9,0.001,1.1640638539894832e-12
5,6,0.001,5.159102312024544e-13
5,7,0.001,2.9005357143896404e-13
5,8,0.001,2.547987862366874e-13
5,9,0.001,1.1468664559699526e-12
6,7,0.001,5.159171700963583e-13
6,8,0.001,2.7814556213812125e-13
6,9,0.001,4.0487925512255885e-13
7,8,0.001,6.543897368427309e-13
7,9,0.001,4.995970112023101e-13
8,9,0.001,8.770414949843541e-13
