slot,epoch,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,0,12.01113974324003,7.414802070024728,12.000000000000014,0.2799999999999826,0.45999999999999375
1,1,12.006267382810929,7.272819866237003,12.0,2.249999999999987,2.4599999999999937
2,1,10.814860272056016,6.307248320743898,10.000000000000014,2.5830056817558567,2.583005681755843
3,1,9.177546791042682,5.17302341878499,7.023182337131928,3.354214065160753,3.4542140651607554
4,1,6.952704700407994,4.5843067626323535,6.714719765740497,3.0167386128474867,2.7366418211970114
5,1,5.008670239254234,3.438582399957452,5.008062336024665,1.7241406184092702,1.632740464032672
6,1,4.281347246059062,2.6306608519126686,2.9868909823604497,2.2381345913804944,2.238134591380515
7,1,5.378457630365483,3.210743470638874,3.6860621599013115,2.539553629472593,2.4395536294725915
8,1,5.378457630365483,3.309526693484219,3.6860621599013115,2.539553629472593,2.1029839774285435
9,1,5.385237845382085,3.1886323708613578,3.1469630555366592,2.8224650774846007,2.822465077484594
10,1,6.0799984670230485,3.0635898740992764,3.1469630555366592,3.244012479667633,3.2440124796676173
11,1,6.416151753689145,2.9890525705990147,3.1469630555366592,3.4441988560695473,3.4441988560695336
12,1,6.577132980715423,3.0002513335567906,3.1469630555366592,3.538744654848326,3.5387446548483297
13,1,6.653721644539995,3.230923843785392,3.1469630555366592,3.5831332984251127,3.5831332984251034
14,1,3.846629597987166,1.948098737089482,2.040195265403298,2.0594840407109163,2.0594840407109203
15,1,2.434524967103035,1.5399223700430331,1.5176371370469468,1.3007633477939697,1.3680705148812322
16,1,1.9438356445175375,1.3643517709209294,1.5176371370469468,0.92689090954046,1.1368000549584636
17,1,1.707784924204568,1.224659516829978,1.5176371370469468,0.7579921202968501,1.023599614268747
18,1,1.5918252093621124,1.1595302475633094,1.5276925979426181,0.7025964691706361,0.9682039631425425
19,1,1.5315863159948766,1.0218670065403,1.5276925979426181,0.5977382385216787,0.5257732403385518
20,1,1.5315863159948766,1.0554421685062656,1.5276925979426181,0.5664831311402,0.5034661804940157
21,1,1.5807379205952672,1.1021315224486856,1.5276925979426181,0.6665502733747368,0.603533322728552
