phase,transmitters,receivers
1,0-1-2-3,4-5-6-7-8-9
2,0-1-2-4,3-5-6-7-8-9
3,0-1-2-5,3-4-6-7-8-9
4,0-1-2-6,3-4-5-7-8-9
5,0-1-2-7,3-4-5-6-8-9
6,0-1-2-8,3-4-5-6-7-9
7,0-1-2-9,3-4-5-6-7-8
8,0-1-3-4,2-5-6-7-8-9
9,0-1-3-5,2-4-6-7-8-9
10,0-1-3-6,2-4-5-7-8-9
11,0-1-3-7,2-4-5-6-8-9
12,0-1-3-8,2-4-5-6-7-9
13,0-1-3-9,2-4-5-6-7-8
14,0-1-4-5,2-3-6-7-8-9
15,0-1-4-6,2-3-5-7-8-9
16,0-1-4-7,2-3-5-6-8-9
17,0-1-4-8,2-3-5-6-7-9
18,0-1-4-9,2-3-5-6-7-8
19,0-1-5-6,2-3-4-7-8-9
20,0-1-5-7,2-3-4-6-8-9
21,0-1-5-8,2-3-4-6-7-9
22,0-1-5-9,2-3-4-6-7-8
23,0-1-6-7,2-3-4-5-8-9
24,0-1-6-8,2-3-4-5-7-9
25,0-1-6-9,2-3-4-5-7-8
26,0-1-7-8,2-3-4-5-6-9
27,0-1-7-9,2-3-4-5-6-8
28,0-1-8-9,2-3-4-5-6-7
