round,slot,receiver_id,transmitter_j,transmitter_k,angle_rad
1,1,3,0,1,0.8037257068066666
1,1,3,0,2,1.040141452927755
1,1,3,0,8,0.16245325850840897
1,1,3,1,2,0.23641574612108832
1,1,3,1,8,0.6412724482982576
1,1,3,2,8,0.8776881944193459
1,1,4,0,1,0.5116286301664973
1,1,4,0,2,0.8343917055336776
1,1,4,0,8,0.16491779508942733
1,1,4,1,2,0.32276307536718035
1,1,4,1,8,0.6765464252559247
1,1,4,2,8,0.9993095006231049
1,1,5,0,1,0.17754846151258435
1,1,5,0,2,0.5256931707006921
1,1,5,0,8,0.5208935152577076
1,1,5,1,2,0.34814470918810775
1,1,5,1,8,0.6984419767702919
1,1,5,2,8,1.0465866859583994
1,1,6,0,1,0.16422378773074445
1,1,6,0,2,0.16391607755236715
1,1,6,0,8,0.7918415373636609
1,1,6,1,2,0.32813986528311156
1,1,6,1,8,0.6276177496329165
1,1,6,2,8,0.955757614916028
1,1,7,0,1,0.5101089890173608
1,1,7,0,2,0.1682002674932999
1,1,7,0,8,1.1266535036201644
1,1,7,1,2,0.3419087215240608
1,1,7,1,8,0.6165445146028037
1,1,7,2,8,0.9584532361268645
1,1,9,0,1,1.06873020324995
1,1,9,0,2,0.7946993963764578
1,1,9,0,8,1.040141452927755
1,1,9,1,2,0.2740308068734922
1,1,9,1,8,2.108871656177705
1,1,9,2,8,1.8348408493042128
1,2,2,0,1,1.248527870864408
1,2,2,0,3,1.401399637687113
1,2,2,0,9,0.9537714482714611
1,2,2,1,3,2.649927508551521
1,2,2,1,9,0.294756422592947
1,2,2,3,9,2.355171085958574
1,2,4,0,1,0.5116286301664973
1,2,4,0,3,1.3152525659582543
1,2,4,0,9,0.18499991127044674
1,2,4,1,3,0.8036239357917572
1,2,4,1,9,0.32662871889605044
1,2,4,3,9,1.1302526546878078
1,2,5,0,1,0.17754846151258435
1,2,5,0,3,0.9554941507230458
1,2,5,0,9,0.18237057693851577
1,2,5,1,3,0.7779456892104614
1,2,5,1,9,0.35991903845110007
1,2,5,3,9,1.1378647276615614
1,2,6,0,1,0.16422378773074445
1,2,6,0,3,0.5257804371632919
1,2,6,0,9,0.5208062487951083
1,2,6,1,3,0.6900042248940362
1,2,6,1,9,0.35658246106436375
1,2,6,3,9,1.0465866859584
1,2,7,0,1,0.5101089890173608
1,2,7,0,3,0.1814832048929185
1,2,7,0,9,0.9091142170022656
1,2,7,1,3,0.6915921939102793
1,2,7,1,9,0.39900522798490473
1,2,7,3,9,1.090597421895184
1,2,8,0,1,0.8862218167026121
1,2,8,0,3,0.18591446018965957
1,2,8,0,9,1.4013996376871136
1,2,8,1,3,0.7003073565129525
1,2,8,1,9,0.5151778209845016
1,2,8,3,9,1.215485177497454
2,1,3,0,1,0.8726646259971649
2,1,3,0,2,1.1947824881440623
2,1,3,0,8,0.1742199212725157
2,1,3,1,2,0.3221178621468976
2,1,3,1,8,0.6984447047246491
2,1,3,2,8,1.0205625668715466
2,1,4,0,1,0.5235987755982989
2,1,4,0,2,0.8614786036162507
2,1,4,0,8,0.17128376358388875
2,1,4,1,2,0.33787982801795186
2,1,4,1,8,0.6948825391821877
2,1,4,2,8,1.0327623672001396
2,1,5,0,1,0.17453292519943303
2,1,5,0,2,0.5186279268499434
2,1,5,0,8,0.5163034533850182
2,1,5,1,2,0.3440950016505105
2,1,5,1,8,0.6908363785844511
2,1,5,2,8,1.0349313802349616
2,1,6,0,1,0.17453292519943298
2,1,6,0,2,0.17361542086670415
2,1,6,0,8,0.8591799614788966
2,1,6,1,2,0.34814834606613704
2,1,6,1,8,0.6846470362794637
2,1,6,2,8,1.0327953823456009
2,1,7,0,1,0.5235987755982987
2,1,7,0,2,0.17188826927562545
2,1,7,0,8,1.1926292557932736
2,1,7,1,2,0.35171050632267314
2,1,7,1,8,0.669030480194975
2,1,7,2,8,1.020740986517648
2,1,9,0,1,1.2217304763960306
2,1,9,0,2,0.859775936719678
2,1,9,0,8,1.1953403031909309
2,1,9,1,2,0.36195453967635266
2,1,9,1,8,2.4170707795869615
2,1,9,2,8,2.0551162399106087
2,2,2,0,1,1.248527870864408
2,2,2,0,3,1.2504237938999934
2,2,2,0,9,0.8838079860226571
2,2,2,1,3,2.4989516647644017
2,2,2,1,9,0.36471988484175105
2,2,2,3,9,2.1342317799226507
2,2,4,0,1,0.5235987755982989
2,2,4,0,3,1.2217304763960306
2,2,4,0,9,0.17453292519943278
2,2,4,1,3,0.6981317007977317
2,2,4,1,9,0.3490658503988661
2,2,4,3,9,1.0471975511965979
2,2,5,0,1,0.17453292519943303
2,2,5,0,3,0.8726646259971648
2,2,5,0,9,0.17453292519943306
2,2,5,1,3,0.6981317007977318
2,2,5,1,9,0.34906585039886606
2,2,5,3,9,1.0471975511965979
2,2,6,0,1,0.17453292519943298
2,2,6,0,3,0.5235987755982988
2,2,6,0,9,0.5235987755982991
2,2,6,1,3,0.6981317007977319
2,2,6,1,9,0.3490658503988661
2,2,6,3,9,1.0471975511965979
2,2,7,0,1,0.5235987755982987
2,2,7,0,3,0.1745329251994332
2,2,7,0,9,0.8726646259971647
2,2,7,1,3,0.6981317007977317
2,2,7,1,9,0.34906585039886606
2,2,7,3,9,1.0471975511965979
2,2,8,0,1,0.8862218167026121
2,2,8,0,3,0.177812988854741
2,2,8,0,9,1.2510877093295216
2,2,8,1,3,0.7084088278478711
2,2,8,1,9,0.36486589262690944
2,2,8,3,9,1.0732747204747806
