pair,rank,rank_tolerance,sigma_min_rad_per_m,sigma_max_rad_per_m,condition_number
2-3,14,3.529223695834758e-11,1.600127081620512e-18,0.03529223695834758,
2-4,14,5.0831127537362936e-11,1.645670242180018e-18,0.050831127537362936,
2-5,14,4.642569933209176e-11,4.322145906038063e-18,0.04642569933209176,
2-6,14,4.542652268095934e-11,1.5120899575301106e-18,0.045426522680959334,
2-7,14,4.562741987186972e-11,2.6373374101123498e-18,0.04562741987186972,
2-8,14,4.8743436090921907e-11,4.4323974008743996e-18,0.0487434360909219,
2-9,14,3.583549431252525e-11,2.0356854879322247e-18,0.035835494312525244,
3-4,14,4.5036325336147465e-11,2.273001073916518e-18,0.04503632533614746,
3-5,14,5.1759197444774155e-11,4.4541342305100865e-18,0.051759197444774155,
3-6,14,4.879508726737498e-11,3.674944839216873e-18,0.04879508726737498,
3-7,14,4.832007330604076e-11,3.492732061157064e-18,0.04832007330604075,
3-8,14,4.8946013321204057e-11,4.10403304418787e-18,0.04894601332120405,
3-9,14,4.874343609092193e-11,1.7144488247679712e-18,0.04874343609092193,
4-5,14,3.896250245489609e-11,2.310555988546995e-18,0.03896250245489609,
4-6,14,5.126620454237296e-11,3.6444273426337e-18,0.051266204542372955,
4-7,14,4.7771775893428116e-11,2.9676502803255408e-18,0.04777177589342811,
4-8,14,4.832007330604074e-11,3.441508937831097e-18,0.04832007330604074,
4-9,14,4.5627419871869735e-11,2.6411694830631865e-18,0.04562741987186973,
5-6,14,3.7895687680922586e-11,2.088289280509776e-18,0.037895687680922586,
5-7,14,5.126620454237298e-11,2.6843164291992277e-18,0.051266204542372976,
5-8,14,4.879508726737496e-11,3.870922436425653e-18,0.048795087267374956,
5-9,14,4.54265226809593e-11,3.223724370141176e-18,0.0454265226809593,
6-7,14,3.896250245489606e-11,1.7315663757851792e-18,0.038962502454896054,
6-8,14,5.175919744477414e-11,1.981858731506937e-18,0.05175919744477414,
6-9,14,4.642569933209178e-11,1.1992218505495698e-18,0.04642569933209178,
7-8,14,4.503632533614743e-11,1.6795078975720636e-18,0.04503632533614743,
7-9,14,5.083112753736291e-11,2.241887215888864e-18,0.05083112753736291,
8-9,14,3.5292236958347566e-11,1.6775054827127154e-18,0.035292236958347566,
