state,pair,rank,rank_tolerance,sigma_min_rad_per_m,sigma_max_rad_per_m,condition_number
nominal,2-3,14,3.529223695834758e-11,1.600127081620512e-18,0.03529223695834758,
table1,2-3,16,3.3640038520650996e-11,0.00012096263938279601,0.03364003852065099,278.1027157831302
nominal,2-4,14,5.0831127537362936e-11,1.645670242180018e-18,0.050831127537362936,
table1,2-4,16,4.6470207977026874e-11,0.000231237183363529,0.04647020797702687,200.96338876421467
nominal,2-5,14,4.642569933209176e-11,4.322145906038063e-18,0.04642569933209176,
table1,2-5,16,4.491106639032248e-11,0.00036414501047843373,0.04491106639032248,123.33291710166742
nominal,2-6,14,4.542652268095934e-11,1.5120899575301106e-18,0.045426522680959334,
table1,2-6,16,4.160794171734598e-11,0.00019920614938079889,0.04160794171734598,208.86876156523152
nominal,2-7,14,4.562741987186972e-11,2.6373374101123498e-18,0.04562741987186972,
table1,2-7,16,4.38321798425156e-11,0.00020481741200135468,0.0438321798425156,214.00612093578104
nominal,2-8,14,4.8743436090921907e-11,4.4323974008743996e-18,0.0487434360909219,
table1,2-8,16,4.523778073244482e-11,0.00012436722622246235,0.04523778073244482,363.74358507864093
nominal,2-9,14,3.583549431252525e-11,2.0356854879322247e-18,0.035835494312525244,
table1,2-9,16,3.4582550174514575e-11,7.570051678689944e-05,0.03458255017451457,456.8337396145669
nominal,3-4,14,4.5036325336147465e-11,2.273001073916518e-18,0.04503632533614746,
table1,3-4,16,4.457144659425372e-11,0.00016892981643553353,0.044571446594253716,263.8459422659879
nominal,3-5,14,5.1759197444774155e-11,4.4541342305100865e-18,0.051759197444774155,
table1,3-5,16,4.9267990110447984e-11,0.00046067288170824566,0.04926799011044798,106.94788442452858
nominal,3-6,14,4.879508726737498e-11,3.674944839216873e-18,0.04879508726737498,
table1,3-6,16,4.582260774266763e-11,0.0004789521324983621,0.04582260774266763,95.67262495239925
nominal,3-7,14,4.832007330604076e-11,3.492732061157064e-18,0.04832007330604075,
table1,3-7,16,4.5823593321584043e-11,0.00046198904528872643,0.04582359332158404,99.1876188166885
nominal,3-8,14,4.8946013321204057e-11,4.10403304418787e-18,0.04894601332120405,
table1,3-8,16,4.625513727321907e-11,0.00039277822039479946,0.04625513727321907,117.76400745114101
nominal,3-9,14,4.874343609092193e-11,1.7144488247679712e-18,0.04874343609092193,
table1,3-9,16,4.6668764042939523e-11,0.0002121958913378786,0.04666876404293952,219.93245839349947
nominal,4-5,14,3.896250245489609e-11,2.310555988546995e-18,0.03896250245489609,
table1,4-5,16,3.6147333247465935e-11,0.000269602860112666,0.03614733324746593,134.0762231986712
nominal,4-6,14,5.126620454237296e-11,3.6444273426337e-18,0.051266204542372955,
table1,4-6,16,4.932224115857039e-11,0.000469783631818392,0.04932224115857039,104.98927126868753
nominal,4-7,14,4.7771775893428116e-11,2.9676502803255408e-18,0.04777177589342811,
table1,4-7,16,4.5480289276017504e-11,0.0005622874257952597,0.0454802892760175,80.8844146064504
nominal,4-8,14,4.832007330604074e-11,3.441508937831097e-18,0.04832007330604074,
table1,4-8,16,4.5685684278931774e-11,0.0004379535603510906,0.04568568427893177,104.31627554827344
nominal,4-9,14,4.5627419871869735e-11,2.6411694830631865e-18,0.04562741987186973,
table1,4-9,16,4.331706109828262e-11,0.0003075063944697785,0.04331706109828262,140.86556207383126
nominal,5-6,14,3.7895687680922586e-11,2.088289280509776e-18,0.037895687680922586,
table1,5-6,16,3.6202148521960454e-11,0.00019436502310586114,0.03620214852196045,186.258555904078
nominal,5-7,14,5.126620454237298e-11,2.6843164291992277e-18,0.051266204542372976,
table1,5-7,16,4.745755184974478e-11,0.00041085858632175986,0.047457551849744775,115.5082391598818
nominal,5-8,14,4.879508726737496e-11,3.870922436425653e-18,0.048795087267374956,
table1,5-8,16,4.640119737628275e-11,0.0003645550093045158,0.046401197376282746,127.28174402213041
nominal,5-9,14,4.54265226809593e-11,3.223724370141176e-18,0.0454265226809593,
table1,5-9,16,4.392494222792134e-11,0.00018934869354128377,0.043924942227921336,231.9791143335476
nominal,6-7,14,3.896250245489606e-11,1.7315663757851792e-18,0.038962502454896054,
table1,6-7,16,3.8541314472555094e-11,0.00018812272029939482,0.03854131447255509,204.87325726109583
nominal,6-8,14,5.175919744477414e-11,1.981858731506937e-18,0.05175919744477414,
table1,6-8,16,4.870517463438146e-11,0.0002547550303720682,0.048705174634381454,191.18434899302218
nominal,6-9,14,4.642569933209178e-11,1.1992218505495698e-18,0.04642569933209178,
table1,6-9,16,4.255989148994166e-11,0.00014681370324579797,0.04255989148994166,289.89045674222365
nominal,7-8,14,4.503632533614743e-11,1.6795078975720636e-18,0.04503632533614743,
table1,7-8,16,3.992609910348798e-11,9.203446083734049e-05,0.039926099103487975,433.81684143347576
nominal,7-9,14,5.083112753736291e-11,2.241887215888864e-18,0.05083112753736291,
table1,7-9,16,4.967541700014873e-11,7.486537371952104e-05,0.04967541700014873,663.5299409077275
nominal,8-9,14,3.5292236958347566e-11,1.6775054827127154e-18,0.035292236958347566,
table1,8-9,16,3.368279111885263e-11,2.064575101341804e-05,0.033682791118852626,1631.463592531053
