a,b,rank,rank_tolerance,sigma_min_rad_per_m,sigma_max_rad_per_m,condition_number
2-3,4-5,16,4.9734768082839946e-11,0.00425274040799301,0.04973476808283994,11.694757570756877
2-3,4-6,16,5.4966861094340766e-11,0.003815677394830404,0.05496686109434076,14.405531549604152
2-3,4-7,16,5.397859453782747e-11,0.0032155245822314436,0.05397859453782747,16.786870433554114
2-3,4-8,16,5.418216310807487e-11,0.0038457540312046732,0.05418216310807487,14.088826968245401
2-3,4-9,16,5.433877909940483e-11,0.00540537646056084,0.05433877909940483,10.05272796369984
2-3,5-6,16,4.144954906316874e-11,0.003951029476196761,0.041449549063168736,10.490822534451919
2-3,5-7,16,5.1821097699031655e-11,0.0038496822939086224,0.05182109769903165,13.46113620363647
2-3,5-8,16,5.08707958868173e-11,0.004619448929687433,0.0508707958868173,11.012308320996933
2-3,5-9,16,4.701371544051756e-11,0.0048724477731068635,0.04701371544051756,9.648890584319137
2-3,6-7,16,4.016552744287842e-11,0.0028945550550922763,0.040165527442878414,13.87623544151174
2-3,6-8,16,5.276344858797318e-11,0.004110998651266773,0.05276344858797318,12.834703453798147
2-3,6-9,16,4.742469966916468e-11,0.0042092826317226256,0.04742469966916468,11.266694070803316
2-3,7-8,16,4.870274414793859e-11,0.003309918010103726,0.048702744147938584,14.714184459938433
2-3,7-9,16,5.1980808204086846e-11,0.004339244720769382,0.05198080820408684,11.979229462511219
2-3,8-9,16,3.694706896161716e-11,0.005278186135848963,0.036947068961617154,6.999955668610473
2-4,3-5,16,7.132251328633536e-11,0.004487512842582048,0.07132251328633535,15.893550790441289
2-4,3-6,16,6.835070676735098e-11,0.0041375532952416996,0.06835070676735099,16.519595492813636
2-4,3-7,16,6.804914808455947e-11,0.0035571866901740338,0.06804914808455946,19.130046863306514
2-4,3-8,16,6.799117936329208e-11,0.004011227853956274,0.06799117936329208,16.950216202809916
2-4,3-9,16,6.810932318670523e-11,0.005329382605599286,0.06810932318670522,12.77996500291545
2-4,5-6,16,5.6654198287237304e-11,0.004032730662761482,0.0566541982872373,14.048594618625573
2-4,5-7,16,5.8005787496793754e-11,0.004448913214217729,0.05800578749679375,13.03819263352233
2-4,5-8,16,5.798725566939971e-11,0.004298396970415923,0.057987255669399704,13.490437497630358
2-4,5-9,16,5.823322915443958e-11,0.003946989591978736,0.058233229154439584,14.753833978377846
2-4,6-7,16,5.3084210084142905e-11,0.003834905367642884,0.0530842100841429,13.842378101958483
2-4,6-8,16,5.324627931501824e-11,0.004762766101259388,0.053246279315018234,11.179696458522004
2-4,6-9,16,5.305950179423092e-11,0.0040434887161168685,0.05305950179423091,13.122208449041048
2-4,7-8,16,5.2321076014613717e-11,0.004229195428630664,0.052321076014613714,12.371401818041386
2-4,7-9,16,5.2358046572563774e-11,0.004728634950090262,0.05235804657256377,11.072549927239432
2-4,8-9,16,5.198080820408686e-11,0.004339244720769381,0.051980808204086855,11.979229462511224
2-5,3-4,16,5.926445467755969e-11,0.004498741139735014,0.05926445467755969,13.173564078650344
2-5,3-6,16,6.194256668715303e-11,0.004018730296449423,0.06194256668715302,15.413466970371145
2-5,3-7,16,6.065277473057683e-11,0.003974536118226471,0.06065277473057682,15.260340559602582
2-5,3-8,16,6.087436109607383e-11,0.004698283210943777,0.06087436109607383,12.956724480609923
2-5,3-9,16,6.143026578850196e-11,0.0051748981427272665,0.061430265788501956,11.870816409176138
2-5,4-6,16,6.742666553093189e-11,0.004412171433207275,0.06742666553093188,15.281968652319206
2-5,4-7,16,6.090231069591794e-11,0.0046108798836853844,0.06090231069591793,13.208392374611138
2-5,4-8,16,5.999299291918865e-11,0.004813701333195221,0.059992992919188644,12.462965349652617
2-5,4-9,16,5.955883060660629e-11,0.004571216002096542,0.059558830606606286,13.029100042371708
2-5,6-7,16,5.4344500293126084e-11,0.0031000514240400482,0.05434450029312608,17.530193167667928
2-5,6-8,16,5.761648813849783e-11,0.0040361081522216685,0.057616488138497825,14.275258730810505
2-5,6-9,16,5.7229837962050656e-11,0.003195874945746652,0.05722983796205065,17.907408435432398
2-5,7-8,16,4.993781869221943e-11,0.004443215768793365,0.04993781869221943,11.23911628216537
2-5,7-9,16,5.3059501794230886e-11,0.004043488716116869,0.053059501794230884,13.122208449041038
2-5,8-9,16,4.742469966916467e-11,0.0042092826317226256,0.04742469966916467,11.266694070803313
2-6,3-4,16,5.737080928585431e-11,0.004058215623934817,0.05737080928585431,14.136954415997241
2-6,3-5,16,6.08689252394234e-11,0.0037523063195309316,0.060868925239423395,16.221736728315
2-6,3-7,16,6.051771987116413e-11,0.002895564513588656,0.060517719871164125,20.90014558030368
2-6,3-8,16,5.97387371232067e-11,0.004066135413478451,0.059738737123206695,14.691772665805559
2-6,3-9,16,6.035340662127433e-11,0.004681508123653345,0.060353406621274336,12.89187266734376
2-6,4-5,16,5.48856437837717e-11,0.004263515586512264,0.0548856437837717,12.873330159130596
2-6,4-7,16,5.951583093316738e-11,0.0039787828451063965,0.05951583093316738,14.958300879970711
2-6,4-8,16,5.310471410260847e-11,0.0048680347093946605,0.05310471410260847,10.908861023550925
