slot,epoch,transmitters,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_displacement_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,0,,0,0,0.0,0.0,12.01113974324003,7.414802070024728,12.000000000000014,0.2799999999999826,0.45999999999999375
1,1,0-1-2-3,4,4,19.59183809973066,19.59183809973066,12.006267382810929,7.12091700626663,12.0,1.2499999999999731,1.4599999999999795
2,1,0-1-2-4,4,8,14.458308820477349,34.05014692020801,10.258430885959113,6.166382326699143,10.0,1.5561525395316942,1.556152539531709
3,1,0-1-2-5,4,12,13.535128463152084,47.58527538336009,8.28614092616269,4.872325440958911,7.243991949411566,2.249999999999962,1.8900000000000077
4,1,0-1-2-6,4,16,12.926754583634217,60.512029966994305,7.31403574214203,4.639190207483691,7.243991949411566,2.581751306906423,2.139179299491829
5,1,0-1-2-7,4,20,13.989728374571731,74.50175834156603,5.466498302826866,3.618968190608641,5.465691701262955,1.8694869033125807,1.3810271625409385
6,1,0-1-2-8,4,24,14.733516320790276,89.2352746623563,4.360775846641674,2.775909430670079,3.3814030277940645,2.1241866303391537,2.124186630339132
7,1,0-1-2-9,4,28,15.289161904472142,104.52443656682844,4.1899609181924005,2.8268775789761946,3.6117969448857536,2.1241866303391537,2.124186630339132
8,1,0-1-3-4,4,32,7.769131613441446,112.29356818026989,3.682214257977441,2.565963873033566,3.6117969448857536,1.5019277136399536,1.501927713639958
9,1,0-1-3-5,4,36,6.590814059275142,118.88438223954503,4.04080362251809,2.59461901324573,3.272602552254412,2.0488778743463514,2.04887787434636
10,1,0-1-3-6,4,40,5.603348919544096,124.48773115908912,4.77494775056318,2.564090583075823,3.1341444818036166,2.5185314932696445,2.5185314932696485
11,1,0-1-3-7,4,44,4.368264212974669,128.8559953720638,5.148570621308729,2.5172538396753112,3.1341444818036166,2.7498644285063145,2.7498644285062994
12,1,0-1-3-8,4,48,3.883086815808573,132.73908218787238,5.334805217792162,2.453291207832521,3.1341444818036166,2.8632770952308007,2.8632770952307993
13,1,0-1-3-9,4,52,4.79930327577166,137.53838546364403,5.426769927145389,2.425552544801669,3.1341444818036166,2.9186191090290903,2.9186191090290876
14,1,0-1-4-5,4,56,5.555310994575514,143.09369645821954,3.554825103316672,1.815529110160578,2.203318415744647,1.9186191090291016,1.9186191090290947
15,1,0-1-4-6,4,60,3.288900337072483,146.38259679529202,2.433139163229528,1.6220448240509038,2.18964084032325,1.3089245537074867,1.4457525352678147
16,1,0-1-4-7,4,64,2.3563605210053002,148.73895731629733,2.4181384107140587,1.5948074321970636,2.18964084032325,1.0704528615534261,1.430408528841248
17,1,0-1-4-8,4,68,1.9886927551024287,150.72765007139975,2.40147344781305,1.6321435668061792,2.18964084032325,0.9155580712317911,1.425638305768402
18,1,0-1-4-9,4,72,1.6166440261318182,152.34429409753156,2.369078747595357,1.6835695621963525,2.18964084032325,0.9006850079879057,1.4246596339218414
19,1,0-1-5-6,4,76,4.12226414646435,156.4665582439959,2.3657040427092655,1.5682053665846343,1.9879245338049572,0.8521657840252362,0.74137762244208
20,1,0-1-5-7,4,80,2.012434677680096,158.478992921676,2.417584896014004,1.6032108346295557,1.9879245338049572,1.0685313658976288,0.9244336777194704
21,1,0-1-5-8,4,84,1.4929710668346972,159.97196398851068,2.557532010891534,1.6879562739233729,1.9879245338049572,1.1385134917805488,1.0440451559543718
22,1,0-1-5-9,4,88,1.2410362254063325,161.213000213917,2.694450555083069,1.7674356853484943,1.9879245338049572,1.2428809598264818,1.104368855039354
23,1,0-1-6-7,4,92,4.135988649549866,165.34898886346687,2.694450555083069,1.661055393738602,1.6220309557133135,1.2428809598264818,1.1931620838405195
24,1,0-1-6-8,4,96,2.261254390336171,167.61024325380305,2.694450555083069,1.7361322337583582,1.6220309557133135,1.3147513152304764,1.2604811482141898
25,1,0-1-6-9,4,100,1.7903220970046925,169.40056535080774,2.8995039076480915,1.8710699476717634,1.6220309557133135,1.4793149979155646,1.2604811482141898
26,1,0-1-7-8,4,104,4.8293046145171425,174.2298699653249,2.8995039076480915,1.9098890984273578,1.3533437786542066,1.4793149979155646,1.368437667193362
27,1,0-1-7-9,4,108,2.746771812890651,176.97664177821554,2.8995039076480915,2.071436222377177,1.4028821467380368,1.5384097030071613,1.5109394479353284
28,1,0-1-8-9,4,112,6.8582463906070625,183.8348881688226,3.6478381176851595,2.358196807270624,2.1876974911732248,1.9568942682619648,1.9568942682619692
29,2,0-1-2-3,4,116,5.456173823060606,189.2910619918832,3.7679049757898544,2.6388185023244164,2.1086721561912043,2.038679757423977,2.038679757423985
