gain,cycles,operator_norm
0.25,1,1.1785487713493175
0.25,2,0.2992970081774789
0.25,3,0.0746219188497545
0.25,4,0.01851845065390112
0.25,5,0.004592179060942724
0.25,6,0.001138677614388828
0.25,7,0.00028234387229346863
0.25,8,7.000925784102263e-05
0.5,1,2.5422045494979355
0.5,2,0.19193216646315928
0.5,3,0.015279746790843962
0.5,4,0.0012087696322852265
0.5,5,9.5786151369565e-05
0.5,6,7.587675596264461e-06
0.5,7,6.01102436524369e-07
0.5,8,4.76190675820178e-08
1.0,1,5.133855382210255
1.0,2,0.5068062372830812
1.0,3,1.3520376078250754e-15
1.0,4,2.823870057897994e-17
1.0,5,7.587828375329482e-31
1.0,6,6.519324085530284e-32
1.0,7,2.4995339774214193e-46
1.0,8,1.324235559216177e-47
