real,imaginary,modulus
0.07921979470772428,0.0,0.07921979470772428
-0.01727456226139795,0.0,0.01727456226139795
0.00030963091952585935,0.0,0.00030963091952585935
4.951653459928856e-06,0.0,4.951653459928856e-06
-5.434205087015254e-07,0.0,5.434205087015254e-07
5.991400890442258e-07,0.0,5.991400890442258e-07
2.1554200412375477e-07,0.0,2.1554200412375477e-07
1.5919495078273925e-07,0.0,1.5919495078273925e-07
-2.370860326036327e-08,0.0,2.370860326036327e-08
2.5863196122228245e-08,0.0,2.5863196122228245e-08
1.8736089442835427e-08,0.0,1.8736089442835427e-08
-4.683819834940311e-09,0.0,4.683819834940311e-09
6.6299889068094735e-09,4.9951575557403365e-09,8.301105463195035e-09
6.6299889068094735e-09,-4.9951575557403365e-09,8.301105463195035e-09
2.3502017418448302e-09,8.755969530012833e-09,9.0658949165476e-09
2.3502017418448302e-09,-8.755969530012833e-09,9.0658949165476e-09
