real,imaginary,modulus
1.8141092050881292e-08,0.0,1.8141092050881292e-08
-1.8141089396704796e-08,0.0,1.8141089396704796e-08
7.519590522995544e-18,0.0,7.519590522995544e-18
-4.582213350887149e-18,0.0,4.582213350887149e-18
4.293260261341407e-46,0.0,4.293260261341407e-46
1.1338757237089416e-47,0.0,1.1338757237089416e-47
1.3184466005328667e-63,0.0,1.3184466005328667e-63
9.529865792772722e-63,0.0,9.529865792772722e-63
9.051533096531683e-77,0.0,9.051533096531683e-77
-3.836625005420981e-79,0.0,3.836625005420981e-79
-1.995390616692882e-85,0.0,1.995390616692882e-85
8.733117620399626e-89,0.0,8.733117620399626e-89
1.238222186317676e-102,0.0,1.238222186317676e-102
-2.298106638031295e-101,0.0,2.298106638031295e-101
8.826586496000256e-110,0.0,8.826586496000256e-110
1.9040763033869802e-108,0.0,1.9040763033869802e-108
