slot,epoch,transmitters,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_displacement_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,0,,0,0,0.0,0.0,12.01113974324003,7.414802070024728,12.000000000000014,0.2799999999999826,0.45999999999999375
1,1,0-1-2-3,4,4,21.442636921308726,21.442636921308726,12.006267382810929,7.272819866237003,12.0,2.249999999999987,2.4599999999999937
2,1,0-1-2-4,4,8,16.78457777333585,38.22721469464457,10.814860272056016,6.307248320743898,10.000000000000014,2.5830056817558567,2.583005681755843
3,1,0-1-2-5,4,12,15.474929642066662,53.702144336711235,9.177546791042682,5.17302341878499,7.023182337131928,3.354214065160753,3.4542140651607554
4,1,0-1-2-6,4,16,14.945061587505217,68.64720592421645,6.952704700407994,4.5843067626323535,6.714719765740497,3.0167386128474867,2.7366418211970114
5,1,0-1-2-7,4,20,14.970881798486149,83.6180877227026,5.008670239254234,3.438582399957452,5.008062336024665,1.7241406184092702,1.632740464032672
6,1,0-1-2-8,4,24,14.884421276970219,98.50250899967281,4.281347246059062,2.6306608519126686,2.9868909823604497,2.2381345913804944,2.238134591380515
7,1,0-1-2-9,4,28,17.595479411127666,116.09798841080048,5.378457630365483,3.210743470638874,3.6860621599013115,2.539553629472593,2.4395536294725915
8,1,0-1-3-4,4,32,5.022062922173147,121.12005133297363,5.378457630365483,3.309526693484219,3.6860621599013115,2.539553629472593,2.1029839774285435
9,1,0-1-3-5,4,36,7.92391999668833,129.04397132966196,5.385237845382085,3.1886323708613578,3.1469630555366592,2.8224650774846007,2.822465077484594
10,1,0-1-3-6,4,40,6.742662678702079,135.78663400836405,6.0799984670230485,3.0635898740992764,3.1469630555366592,3.244012479667633,3.2440124796676173
11,1,0-1-3-7,4,44,5.628753877316629,141.41538788568067,6.416151753689145,2.9890525705990147,3.1469630555366592,3.4441988560695473,3.4441988560695336
12,1,0-1-3-8,4,48,5.659122352423936,147.0745102381046,6.577132980715423,3.0002513335567906,3.1469630555366592,3.538744654848326,3.5387446548483297
13,1,0-1-3-9,4,52,7.434012148840401,154.508522386945,6.653721644539995,3.230923843785392,3.1469630555366592,3.5831332984251127,3.5831332984251034
14,1,0-1-4-5,4,56,8.529763999114042,163.03828638605904,3.846629597987166,1.948098737089482,2.040195265403298,2.0594840407109163,2.0594840407109203
