slot,epoch,transmitters,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_displacement_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,0,,0,0,0.0,0.0,12.01113974324003,7.414802070024728,12.000000000000014,0.2799999999999826,0.45999999999999375
1,1,0-1-2-3,4,4,25.52966263411888,25.52966263411888,12.006267382810929,7.13163144940642,12.0,2.249999999999987,2.4599999999999937
2,1,0-1-2-4,4,8,24.048713053922345,49.57837568804122,10.814860272056016,6.061840842787128,10.000000000000014,3.4460113635116167,3.4460113635116443
3,1,0-1-2-5,4,12,25.365579810213298,74.94395549825452,9.503193923453232,5.687766201831467,7.999999999999986,4.24999999999999,3.8900000000000077
4,1,0-1-2-6,4,16,23.15356551337946,98.09752101163399,6.879073793377941,4.8488099838074294,6.767512717010703,2.6296432819889475,2.939072467369911
5,1,0-1-2-7,4,20,21.535387148262153,119.63290815989615,7.559183018691447,4.331454714854941,5.766473436291918,3.2979645634901082,2.55398863648837
6,1,0-1-2-8,4,24,26.62644303860217,146.2593511984983,8.730912884592946,5.093842294004302,5.357748857452464,4.553988636488395,4.553988636488377
7,1,0-1-2-9,4,28,31.059239468388462,177.31859066688676,11.75977918130169,7.100403187767238,10.357748857452464,4.553988636488395,4.553988636488377
8,1,0-1-3-4,4,32,12.919833328462488,190.23842399534925,11.75977918130169,7.27365456435526,10.357748857452464,4.823772974697989,4.823772974698009
9,1,0-1-3-5,4,36,26.802229299849387,217.04065329519864,9.793978612090502,7.353834960191948,8.941242628375392,4.217490312789198,4.099999999999994
10,1,0-1-3-6,4,40,22.07648699584811,239.11714029104675,11.49973311995526,7.546026450705024,8.38985272379395,6.100000000000002,6.099999999999994
11,1,0-1-3-7,4,44,22.408985535748666,261.5261258267954,13.124200499218903,7.406863741174375,7.669490865768083,7.111107999258493,7.111107999258486
12,1,0-1-3-8,4,48,23.027394359114215,284.55352018590963,13.030068883585583,7.0056693862383135,6.752764832834046,7.033396500321519,7.033396500321508
13,1,0-1-3-9,4,52,22.508931504332885,307.06245169024254,13.007217535933446,6.923389987604439,6.752764832834046,7.020223452175146,7.535154027607554
14,1,0-1-4-5,4,56,26.221862671903935,333.28431436214646,8.75264802037901,4.507290466271581,3.0975532192572217,5.0202234521751175,5.535154027607547
15,1,0-1-4-6,4,60,20.948128964093495,354.23244332623995,7.951220898124161,3.8945909426268406,3.0975532192572217,4.414855837192821,4.476126350577616
16,1,0-1-4-7,4,64,12.24243041508999,366.47487374132993,6.497913951009722,3.249266302056532,3.6150218434894583,3.32515402760754,3.937455948388852
17,1,0-1-4-8,4,68,12.161073046642308,378.6359467879722,6.497913951009722,3.6854158873197647,4.395131995848885,3.32515402760754,3.938533134538666
18,1,0-1-4-9,4,72,12.522242524966392,391.1581893129386,6.71013779026367,4.359944414196065,5.81200199896503,3.32515402760754,3.938459106648395
19,1,0-1-5-6,4,76,18.856217143881015,410.0144064568196,6.443064547419444,4.751464155786959,5.81200199896503,2.777099838404478,3.1795581868399125
20,1,0-1-5-7,4,80,10.23228373498824,420.24669019180783,7.389029040109303,5.1009064731462415,5.663449192237593,3.496902272144391,3.4969022721444034
21,1,0-1-5-8,4,84,10.554154215993401,430.8008444078012,10.082904715108656,5.570143360762662,5.198306357015369,5.492518886876144,5.492518886876148
22,1,0-1-5-9,4,88,13.238962699311974,444.0398071071132,10.082904715108656,5.570382213959765,5.198306357015369,5.492518886876144,5.492518886876148
23,1,0-1-6-7,4,92,27.24692492604113,471.2867320331543,7.876491957827359,4.157774870000268,2.757990726405211,4.3912584102181915,4.2947871863734335
24,1,0-1-6-8,4,96,15.283201578408253,486.56993361156253,7.876491957827359,4.505421440896203,3.5278881156610282,4.3912584102181915,4.3559757307751
25,1,0-1-6-9,4,100,6.592209111565672,493.1621427231282,7.876491957827359,5.19361619589446,3.5127123399026345,4.3912584102181915,4.36322266282459
26,1,0-1-7-8,4,104,8.737507691134317,501.89965041426257,6.781058568067545,5.001455158128701,3.4082946598786634,3.6874221359152886,3.6874221359153125
27,1,0-1-7-9,4,108,4.714917651710486,506.61456806597306,7.145439144495311,4.973826467311327,3.4097770960455165,3.889352534833317,3.6874221359153125
