phase,receiver_id,transmitters,selected_pair,best_sigma,second_sigma,relative_selection_gap,own_block_identity_error
1,4,0-1-2-3,1-3,0.005105851043008835,0.0037624365965285523,0.26311273775206334,1.4454430662670896e-15
1,5,0-1-2-3,1-3,0.004615311732486029,0.002716766594771478,0.41135794237931206,5.999074026854144e-16
1,6,0-1-2-3,1-3,0.004468205281232852,0.0022815779239972298,0.4893748652103772,5.808710225649758e-16
1,7,0-1-2-3,1-3,0.004468205281232846,0.0022815779239972293,0.4893748652103766,5.320598348665874e-16
1,8,0-1-2-3,1-3,0.004615311732486021,0.00271676659477148,0.4113579423793106,6.145383700789422e-16
1,9,0-1-2-3,1-3,0.005105851043008834,0.003762436596528555,0.26311273775206273,7.619158545468542e-16
2,3,0-1-2-4,2-4,0.007071067811865477,0.0068790945011233985,0.0271491259665112,5.846053278032561e-16
2,5,0-1-2-4,1-4,0.005777158104439242,0.005105851043008835,0.11620022324031018,2.685869791495007e-16
2,6,0-1-2-4,1-4,0.006019996690288536,0.004615311732486032,0.23333650001312173,2.884471301382306e-16
2,7,0-1-2-4,1-4,0.007071067811865474,0.004468205281232857,0.3681003491813403,5.576882169957362e-16
2,8,0-1-2-4,1-4,0.006019996690288539,0.004468205281232855,0.25777280103144146,3.4683209124801653e-16
2,9,0-1-2-4,1-4,0.005777158104439242,0.004615311732486028,0.20111036446456892,4.031023793912555e-16
3,3,0-1-2-5,1-5,0.0070710678118654745,0.006879094501123396,0.02714912596651121,3.396862205205276e-16
3,4,0-1-2-5,2-5,0.006879094501123398,0.006569541801853661,0.04499904736287388,1.1983899513301573e-15
3,6,0-1-2-5,1-5,0.006218192675908027,0.005777158104439243,0.07092648852415634,1.8724254621096337e-15
3,7,0-1-2-5,1-5,0.006845687652806596,0.00601999669028855,0.12061475842818054,5.112547440793773e-16
3,8,0-1-2-5,2-5,0.007071067811865475,0.006845687652806598,0.031873567763086925,3.434401933372704e-16
3,9,0-1-2-5,1-5,0.006218192675908026,0.006019996690288536,0.031873567763087626,8.475871036264302e-16
4,3,0-1-2-6,1-6,0.006845687652806597,0.0065695418018536615,0.04033865770076739,3.3357407489593955e-16
4,4,0-1-2-6,2-6,0.007071067811865475,0.006845687652806598,0.031873567763086925,4.6245527635111e-16
4,5,0-1-2-6,2-6,0.006569541801853661,0.00621819267590803,0.05348152680092453,1.1955129170004253e-15
4,7,0-1-2-6,1-6,0.00656954180185366,0.006218192675908042,0.05348152680092256,1.4159590803930987e-15
4,8,0-1-2-6,1-6,0.007071067811865476,0.006845687652806597,0.03187356776308729,2.688744418263445e-16
4,9,0-1-2-6,2-6,0.0068456876528065974,0.006569541801853661,0.04033865770076764,4.219175949528495e-16
5,3,0-1-2-7,2-7,0.006218192675908035,0.006019996690288546,0.03187356776308758,8.060593615561114e-16
5,4,0-1-2-7,1-7,0.007071067811865476,0.006845687652806598,0.03187356776308704,5.875999916553826e-16
5,5,0-1-2-7,2-7,0.006845687652806597,0.006019996690288542,0.12061475842818178,8.381192911744957e-16
5,6,0-1-2-7,2-7,0.006218192675908029,0.005777158104439241,0.070926488524157,8.306526528682605e-16
5,8,0-1-2-7,1-7,0.006879094501123398,0.00656954180185366,0.044999047362874,8.386365174190031e-16
5,9,0-1-2-7,2-7,0.007071067811865476,0.006879094501123398,0.027149125966511204,9.338864813272112e-17
6,3,0-1-2-8,2-8,0.005777158104439232,0.004615311732486024,0.20111036446456823,5.139068087824951e-16
6,4,0-1-2-8,2-8,0.006019996690288537,0.004468205281232853,0.25777280103144157,3.1808889819081507e-16
6,5,0-1-2-8,2-8,0.007071067811865475,0.0044682052812328584,0.3681003491813402,3.19323634714808e-16
6,6,0-1-2-8,2-8,0.006019996690288535,0.004615311732486029,0.2333365000131222,2.920995531180622e-16
6,7,0-1-2-8,2-8,0.005777158104439257,0.005105851043008839,0.11620022324031168,1.43867745817103e-15
6,9,0-1-2-8,1-8,0.007071067811865475,0.006879094501123396,0.027149125966511332,9.021890723263312e-16
7,3,0-1-2-9,2-9,0.005105851043008833,0.003762436596528558,0.263112737752062,4.26579224590061e-16
7,4,0-1-2-9,2-9,0.004615311732486023,0.0027167665947714793,0.411357942379311,7.172585214681018e-16
7,5,0-1-2-9,2-9,0.004468205281232853,0.002281577923997227,0.4893748652103779,2.721379630581435e-16
7,6,0-1-2-9,2-9,0.00446820528123285,0.0022815779239972298,0.4893748652103769,5.804299311930224e-16
7,7,0-1-2-9,2-9,0.00461531173248604,0.0027167665947714793,0.4113579423793132,4.1688304363291157e-16
7,8,0-1-2-9,2-9,0.005105851043008838,0.0037624365965285744,0.2631127377520594,9.351424457988327e-16
8,2,0-1-3-4,1-3,0.007071067811865471,0.006879094501123397,0.02714912596651061,1.5784890630270158e-15
8,5,0-1-3-4,1-4,0.005777158104439242,0.004615311732486029,0.20111036446456879,2.685869791495007e-16
8,6,0-1-3-4,1-4,0.006019996690288536,0.004468205281232852,0.25777280103144157,2.884471301382306e-16
8,7,0-1-3-4,1-4,0.007071067811865474,0.004468205281232846,0.36810034918134177,5.576882169957362e-16
8,8,0-1-3-4,1-4,0.006019996690288539,0.004615311732486021,0.23333650001312392,3.4683209124801653e-16
8,9,0-1-3-4,1-4,0.005777158104439242,0.005105851043008834,0.11620022324031032,4.031023793912555e-16
9,2,0-1-3-5,1-3,0.007071067811865471,0.006569541801853657,0.07092648852415721,1.5784890630270158e-15
9,4,0-1-3-5,3-5,0.007071067811865474,0.006569541801853661,0.07092648852415707,3.644883754790281e-16
9,6,0-1-3-5,1-5,0.006218192675908027,0.005105851043008834,0.17888503796430852,1.8724254621096337e-15
9,7,0-1-3-5,1-5,0.006845687652806596,0.004615311732486037,0.32580743285974334,5.112547440793773e-16
9,8,0-1-3-5,1-5,0.006845687652806598,0.004615311732486021,0.3258074328597459,4.7194778489729535e-16
9,9,0-1-3-5,1-5,0.006218192675908026,0.005105851043008834,0.1788850379643084,8.475871036264302e-16
10,2,0-1-3-6,1-3,0.007071067811865471,0.006218192675908031,0.12061475842818098,1.5784890630270158e-15
10,4,0-1-3-6,3-6,0.006879094501123397,0.006845687652806598,0.0048562857090192505,5.441871457731136e-16
10,5,0-1-3-6,3-6,0.006879094501123393,0.00621819267590803,0.09607395640624422,1.8219976405519643e-16
10,7,0-1-3-6,1-6,0.00656954180185366,0.005777158104439251,0.12061475842817992,1.4159590803930987e-15
10,8,0-1-3-6,1-6,0.007071067811865476,0.006019996690288539,0.1486439035152805,2.688744418263445e-16
