case,threshold,threshold_m,first_slot,transmitter_uses_at_first,endpoint_displacement_at_first_m,all_recorded_slots_after_first_below
gain_0.25,2cm,0.02,94,376,95.60024035513568,True
gain_0.25,1cm,0.01,103,412,95.66611671300016,True
gain_0.25,1mm,0.001,143,572,95.75813115130148,True
gain_0.5,2cm,0.02,80,320,253.94702148510274,True
gain_0.5,1cm,0.01,92,368,254.12160021143538,True
gain_0.5,1mm,0.001,113,452,254.22175776714965,True
gain_1,2cm,0.02,138,552,1516.33508098747,True
gain_1,1cm,0.01,141,564,1516.4006288551052,True
gain_1,1mm,0.001,141,564,1516.4006288551052,True
radial_limit_2.5m,2cm,0.02,76,304,196.7078953343604,True
radial_limit_2.5m,1cm,0.01,80,320,196.7693866152197,True
radial_limit_2.5m,1mm,0.001,104,416,196.89621634391708,True
radial_limit_10m,2cm,0.02,79,316,268.4830307612826,True
radial_limit_10m,1cm,0.01,86,344,268.56444055289836,False
radial_limit_10m,1mm,0.001,110,440,268.7601369807276,True
angular_limit_1deg,2cm,0.02,92,368,270.4903660535429,True
angular_limit_1deg,1cm,0.01,98,392,270.61398831441835,True
angular_limit_1deg,1mm,0.001,114,456,270.69128479638306,True
angular_limit_4deg,2cm,0.02,80,320,257.1733869337287,True
angular_limit_4deg,1cm,0.01,92,368,257.3565995971874,True
angular_limit_4deg,1mm,0.001,113,452,257.46173891401935,True
