slot,epoch,transmitters,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_displacement_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,0,,0,0,0.0,0.0,12.01113974324003,7.414802070024728,12.000000000000014,0.2799999999999826,0.45999999999999375
1,1,0-1-2-3,4,4,15.568724459921555,15.568724459921555,12.006267382810929,7.184820061608814,12.0,2.249999999999987,2.4599999999999937
2,1,0-1-2-4,4,8,15.335096129152038,30.903820589073593,10.046720905206676,6.137683525857319,9.499999999999986,2.448076084897529,2.4480760848975223
3,1,0-1-2-5,4,12,13.083404671540366,43.98722526061396,8.450654301981885,4.685156587637627,6.999999999999986,2.6225517037447195,2.7225517037447062
4,1,0-1-2-6,4,16,13.794002077493737,57.7812273381077,6.076972205471639,4.0980498305104645,5.9137041670109625,2.534275975238448,2.389212324564703
5,1,0-1-2-7,4,20,12.924604977421778,70.70583231552948,4.251565373653039,2.91782541229792,4.251534527247287,1.4937305138258856,1.2865502468028396
6,1,0-1-2-8,4,24,12.866872817246708,83.57270513277618,3.541701466985703,2.109280504193961,2.335102376224512,1.7570177499759936,1.7570177499759723
7,1,0-1-2-9,4,28,13.683944033777976,97.25664916655415,4.29159224115211,2.7043024095042822,3.3025255630461174,2.1128215457005197,2.0128215457005183
8,1,0-1-3-4,4,32,4.769013745642484,102.02566291219664,4.29159224115211,2.7258631185264943,3.3025255630461174,2.1128215457005197,1.6694731460879026
9,1,0-1-3-5,4,36,6.94966922365515,108.97533213585179,4.29159224115211,2.596284777622617,2.633348139718777,2.126132664010729,2.1261326640107185
10,1,0-1-3-6,4,40,5.851496662177722,114.82682879802951,4.628135944092102,2.4473689613025966,2.264744282776391,2.451824872589234,2.451824872589249
11,1,0-1-3-7,4,44,5.008508363408874,119.83533716143839,4.881248543493504,2.3515374349569913,2.264744282776391,2.6106227583517967,2.610622758351795
12,1,0-1-3-8,4,48,5.1047807850842455,124.94011794652263,5.005989855767557,2.3475358310608003,2.264744282776391,2.6878753795537373,2.687875379553738
13,1,0-1-3-9,4,52,6.684884028217688,131.62500197474031,5.067095341128552,2.5537690812582086,2.264744282776391,2.7253743640794035,2.7253743640794
14,1,0-1-4-5,4,56,7.004661273998423,138.62966324873872,2.7882969267543776,1.493802821425229,1.388826040497534,1.4933391215724594,1.4933391215724612
15,1,0-1-4-6,4,60,4.489968460419695,143.11963170915843,1.6647765615721792,1.163108337095687,0.9673953755305718,0.8781434826465592,1.052718516953263
16,1,0-1-4-7,4,64,3.339197834928813,146.45882954408725,1.244441816599387,1.0130367267940414,0.9136222309453501,0.6537154603198652,0.8009156870819751
17,1,0-1-4-8,4,68,3.139612466025197,149.59844201011245,1.2095278072443505,0.8692887247080426,0.8871785352551029,0.6494981380585254,0.6933152501865365
18,1,0-1-4-9,4,72,3.331496816752442,152.92993882686488,1.2095278072443505,0.7752193096448671,0.9823331532067812,0.6494981380585254,0.6494981380585187
19,1,0-1-5-6,4,76,2.1315416068478203,155.06148043371272,0.9914602696131325,0.6577784578555035,0.9823331532067812,0.3912682796379576,0.3656044197146784
20,1,0-1-5-7,4,80,1.231730147458544,156.29321058117125,0.9914602696131325,0.6769389238552491,0.9823331532067812,0.3832104337394655,0.38202517230450184
21,1,0-1-5-8,4,84,0.6002937236030901,156.89350430477435,0.9914602696131325,0.7065303402768383,0.9823331532067812,0.3809141424533065,0.4581971410410972
22,1,0-1-5-9,4,88,0.21812118608884878,157.1116254908632,0.9914602696131325,0.715301932288218,0.9823331532067812,0.37719682750204414,0.45411242608332714
23,1,0-1-6-7,4,92,2.1678778341444356,159.27950332500762,0.9456354283300898,0.5515134354140515,0.697006376122431,0.37682942749558906,0.43628488485095573
24,1,0-1-6-8,4,96,1.2494037574178036,160.52890708242543,0.9456354283300898,0.5597899602020664,0.6816291850221177,0.4611537167129868,0.42756892439633276
25,1,0-1-6-9,4,100,0.8754001578899657,161.4043072403154,1.0283303968944733,0.6116355353419017,0.6816291850221177,0.5128716661261081,0.4233083435762097
26,1,0-1-7-8,4,104,2.065372608282251,163.46967984859765,1.0283303968944733,0.6141805526012976,0.5101951875244168,0.5128716661261081,0.40584403457627616
27,1,0-1-7-9,4,108,1.181408305386658,164.65108815398432,1.0283303968944733,0.6884270695445603,0.5101951875244168,0.5347458095493073,0.5041403459763458
28,1,0-1-8-9,4,112,2.5580627565478258,167.20915091053214,1.2433127125890355,0.7894506249881064,0.7421639925507435,0.6684078417257003,0.6684078417256956
29,2,0-1-2-3,4,116,1.87902818209698,169.08817909262913,1.2433127125890355,0.8894256566477206,0.7181934306933044,0.6684078417257003,0.6684078417256956
