phase,expected_rms_per_radian_m
1,297.4584751405433
2,264.09066180386213
3,238.75403536869865
4,221.7235799080555
5,225.94044100982256
6,239.96294167242104
7,299.74136367038744
8,262.45369583264863
9,248.71375826838474
10,248.56795930321476
11,237.445692580026
12,235.14876224373006
13,253.8403703961244
14,226.7053682078278
15,220.34002229718018
16,219.70785382606448
17,224.91803546579771
18,236.7789742833342
19,212.61216955764044
20,212.31004171252596
21,216.28286325065255
22,220.63517125343424
23,208.07524502939836
24,206.5005384730955
25,216.20686328082454
26,217.36168043027436
27,226.66363604884023
28,260.2791201121687
