state,receiver_id,own_angle_count,local_rank,nuisance_rank,receiver_coordinate_constraints,alternative_receiver_displacement_m,alternative_max_formation_displacement_m,max_own_angle_difference_rad
nominal,2,6,3,2,1,0.5320866692037004,0.6811348072527486,3.885780586188048e-16
nominal,3,6,3,2,1,0.652700925071026,0.9172193216127309,4.440892098500626e-16
nominal,4,12,5,4,1,0.9999958333385405,1.3623053140774215,3.3306690738754696e-16
nominal,5,12,5,4,1,2.8793732441483444,3.3302281905144073,1.1102230246251565e-16
nominal,6,12,5,4,1,2.8793732441483177,3.3280988093746906,2.220446049250313e-16
nominal,7,12,5,4,1,0.9999958333385405,1.360086607087734,2.220446049250313e-16
nominal,8,6,3,2,1,0.6527009250710226,0.9149294027440816,4.440892098500626e-16
nominal,9,6,3,2,1,0.5320866692037061,0.6787714694135408,2.220446049250313e-16
table1,2,6,3,2,1,0.5271351527299245,0.7181914487102709,2.220446049250313e-16
table1,3,6,3,2,1,0.6944928362753913,0.9406495326707403,2.220446049250313e-16
table1,4,12,5,4,1,1.021241794906963,1.4321423548444807,2.220446049250313e-16
table1,5,12,5,4,1,2.830971046144844,3.30783736523379,2.220446049250313e-16
table1,6,12,5,4,1,3.0583416703722963,3.523909499041474,3.3306690738754696e-16
table1,7,12,5,4,1,1.0240143698374526,1.3634273313303455,2.220446049250313e-16
table1,8,6,3,2,1,0.6454182910218241,0.9754596181436993,2.220446049250313e-16
table1,9,6,3,2,1,0.5703896217057869,0.6544655501868993,2.220446049250313e-16
