slot,epoch,transmitters,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_displacement_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,0,,0,0,0.0,0.0,12.01113974324003,7.414802070024728,12.000000000000014,0.2799999999999826,0.45999999999999375
1,1,0-1-2-3,4,4,21.301044934993175,21.301044934993175,12.006267382810929,7.274766495100765,12.0,2.2631412334642294,2.473141233464233
2,1,0-1-2-4,4,8,16.742119589562137,38.04316452455531,10.752881469782093,6.28477653349581,9.92353302883997,2.59792881006559,2.5979288100656177
3,1,0-1-2-5,4,12,15.559472637322916,53.60263716187822,9.079608868043627,5.113470238732197,6.941319244862811,3.3329811041914628,3.4329811041914766
4,1,0-1-2-6,4,16,14.926252179641656,68.52888934151987,6.8626572476852585,4.5280413800005945,6.636389577767332,2.990190178090178,2.712231505025443
5,1,0-1-2-7,4,20,14.692281804182167,83.22117114570204,4.954417472512633,3.411956223054178,4.953751546996102,1.7320018459284066,1.6228268794296383
6,1,0-1-2-8,4,24,14.758579282998209,97.97975042870026,4.242422061648757,2.6110233569260863,2.947669063355846,2.217444706904419,2.2174447069044376
7,1,0-1-2-9,4,28,17.377880319450323,115.35763074815058,5.311249578061797,3.1845426640311576,3.7161365541260096,2.49161868473641,2.3916186847364216
8,1,0-1-3-4,4,32,5.0771257895885675,120.43475653773915,5.311249578061797,3.283798876796004,3.7161365541260096,2.49161868473641,2.0795074807587355
9,1,0-1-3-5,4,36,7.857829748718887,128.29258628645803,5.361439332300694,3.1719981528915318,3.1457933918013055,2.8105282552564383,2.8105282552564503
10,1,0-1-3-6,4,40,6.678107811161596,134.97069409761963,6.032168188999892,3.040212631098323,3.1457933918013055,3.217051913868926,3.2170519138689215
11,1,0-1-3-7,4,44,5.589484937922798,140.56017903554243,6.3711270443012635,2.9644180045149153,3.1457933918013055,3.4194737106866424,3.4194737106866384
12,1,0-1-3-8,4,48,5.581670160036653,146.14184919557908,6.532529015920271,2.9719654592970826,3.1457933918013055,3.5141853984669322,3.5141853984669424
13,1,0-1-3-9,4,52,7.298443409026234,153.4402926046053,6.610700714198322,3.1920070640940663,3.1457933918013055,3.559634985557116,3.5596349855571248
14,1,0-1-4-5,4,56,8.378276645090416,161.8185692496957,3.8404283586476806,1.9344415103242223,2.062235558178699,2.057646389830032,2.057646389830019
15,1,0-1-4-6,4,60,5.247261121886089,167.0658303715818,2.4286526240295863,1.519032906157936,1.5404942414892702,1.296359904904142,1.365366016138509
16,1,0-1-4-7,4,64,3.840342941576372,170.90617331315818,1.9504437354628132,1.3470512728056845,1.5404942414892702,0.924920824542779,1.1379003422487557
17,1,0-1-4-8,4,68,3.552829151302832,174.459002464461,1.7217650692594164,1.2186803087166898,1.5404942414892702,0.7622257800730419,1.0294602460412463
18,1,0-1-4-9,4,72,3.6641992106157915,178.1232016750768,1.6094013633070023,1.1628574145918253,1.5404942414892702,0.7089628641969337,0.9761973301651494
19,1,0-1-5-6,4,76,3.2783259306823727,181.40152760575918,1.547389576011112,1.0291770088415049,1.5395412861817164,0.5966594726539453,0.5204379835717887
20,1,0-1-5-7,4,80,1.8321775234746753,183.23370512923387,1.547389576011112,1.0640103280597428,1.5395412861817164,0.5880420983198581,0.4981663090519959
21,1,0-1-5-8,4,84,1.0243876543343804,184.25809278356826,1.6148843750191304,1.1125532600282937,1.5395412861817164,0.6849165499392338,0.5950407606713668
22,1,0-1-5-9,4,88,0.5040199331884729,184.76211271675672,1.6490104825751897,1.135024614914059,1.5395412861817164,0.6920227598901992,0.6021469706223357
23,1,0-1-6-7,4,92,3.276345734036058,188.03845845079277,1.6490104825751897,0.956249919323294,1.1300171099115488,0.6920227598901992,0.6797332114501842
24,1,0-1-6-8,4,96,1.8779081801401498,189.9163666309329,1.6490104825751897,0.995369208076373,1.1300171099115488,0.8081541633590683,0.7181729939206889
25,1,0-1-6-9,4,100,1.3567636171387152,191.27313024807162,1.7962964548096891,1.0890612837631317,1.1300171099115488,0.9032122431473226,0.7382061698323383
26,1,0-1-7-8,4,104,3.414393052310504,194.68752330038214,1.7962964548096891,1.1077168070254448,0.8737269904113418,0.9032122431473226,0.7454607188054254
27,1,0-1-7-9,4,108,1.9355323355443597,196.6230556359265,1.7962964548096891,1.227445522596606,0.8737269904113418,0.9395510127791361,0.9000845267681186
