slot,epoch,transmitters,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_displacement_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,0,,0,0,0.0,0.0,9.862911105749657,5.725441700220703,9.854039359126205,0.25239124480245795,0.35309477496978303
1,1,0-1-2-3,4,4,16.30309196148244,16.30309196148244,7.281924220349598,3.948369826789544,7.1970000169282144,0.887666758948923,0.8876667589489244
2,1,0-1-2-4,4,8,12.92747520881099,29.23056717029343,7.281924220349598,4.156031579907547,7.1970000169282144,1.5503489444188514,1.7082277981717198
3,1,0-1-2-5,4,12,8.485173822308706,37.715740992602136,6.811577622798213,4.299441416191998,6.624441252069474,1.5389334547134559,1.696812308466349
4,1,0-1-2-6,4,16,9.241079646996472,46.956820639598604,5.184612569494412,3.753672025052093,5.162359658031505,1.1348720706516289,0.6859340869515052
5,1,0-1-2-7,4,20,7.8386848701462934,54.7955055097449,4.147750323869363,3.3942089722428563,4.138966937779742,1.4545433042311853,1.365449492784819
6,1,0-1-2-8,4,24,7.3930164365873825,62.18852194633228,4.147750323869363,3.02585143931444,4.138966937779742,1.8260759842352308,1.8260759842352527
7,1,0-1-2-9,4,28,9.953285336696883,72.14180728302917,4.147750323869363,2.6357410099578713,4.138966937779742,1.8260759842352308,1.886316371477605
8,1,0-1-3-4,4,32,10.264194405958971,82.40600168898814,3.9706432855078884,2.6318883776645143,3.655263617747565,1.5007101742197595,1.9297632185941822
9,1,0-1-3-5,4,36,3.2714485333529284,85.67745022234107,3.9706432855078884,2.7120519270181043,3.655263617747565,1.705369414869496,2.610634454212594
10,1,0-1-3-6,4,40,2.57722404821323,88.25467427055429,4.093787611723394,2.8727661712718637,3.655263617747565,2.0870835142547164,2.9923485535978145
11,1,0-1-3-7,4,44,2.536171565751414,90.7908458363057,4.366086850042277,3.0525695131329895,3.655263617747565,2.2972633475915254,3.202528386934631
12,1,0-1-3-8,4,48,1.9557587734252675,92.74660460973098,4.530509761511855,3.17442682996357,3.655263617747565,2.4143981959629697,3.3196632353060593
13,1,0-1-3-9,4,52,2.205247676640294,94.95185228637128,4.6218111376775655,3.1621209430625545,3.655263617747565,2.476822185291459,3.3820872246345672
14,1,0-1-4-5,4,56,7.021859311153626,101.9737115975249,4.011027041857103,2.978172366914409,3.4788053842085986,1.6944500047922153,1.6944500047922162
15,1,0-1-4-6,4,60,2.6103173254075394,104.58402892293243,4.011027041857103,2.958727825021224,3.4788053842085986,1.555887227826008,1.9186681809134498
16,1,0-1-4-7,4,64,2.303383920761516,106.88741284369395,4.097148999547165,3.07426353796001,3.4788053842085986,1.6623814052787693,2.2144450352627274
17,1,0-1-4-8,4,68,2.225253633557247,109.1126664772512,4.214922392960102,3.2109432305352525,3.4788053842085986,1.949690608710103,2.36732835975495
18,1,0-1-4-9,4,72,2.614745242696994,111.7274117199482,4.417566895118126,3.2563431755621126,3.4788053842085986,1.949690608710103,2.4456688869651018
19,1,0-1-5-6,4,76,6.2289622564275735,117.95637397637577,4.417566895118126,2.9873771948139276,3.0067620637909585,2.053556362618031,2.053556362618039
20,1,0-1-5-7,4,80,2.86047580633786,120.81684978271363,4.417566895118126,2.9586171265124186,3.0067620637909585,2.015817382483482,2.0158173824835046
21,1,0-1-5-8,4,84,2.4847683726786585,123.30161815539229,4.44948749204609,3.1075461703966063,3.0067620637909585,2.204831392679737,2.2048313926797647
22,1,0-1-5-9,4,88,2.5865850690439305,125.88820322443623,4.780295297318642,3.2882287115162927,3.0067620637909585,2.3062723495545883,2.2963028156794465
23,1,0-1-6-7,4,92,6.321141436207357,132.20934466064358,4.780295297318642,3.1330561443188167,2.6612522832156316,2.370287120793696,2.370287120793698
24,1,0-1-6-8,4,96,3.2858257912963693,135.49517045193994,4.780295297318642,3.222447522183924,2.6612522832156316,2.467085227995543,2.467085227995547
25,1,0-1-6-9,4,100,2.800063369313675,138.29523382125362,5.073656675035336,3.422588425861861,2.6612522832156316,2.6109189101575088,2.467085227995547
26,1,0-1-7-8,4,104,7.7997215854651945,146.0949554067188,5.073656675035336,3.4729972439374293,2.3378424700650697,2.6109189101575088,2.579265806856583
27,1,0-1-7-9,4,108,4.403262618479829,150.49821802519864,5.104159982444206,3.71499704756084,2.5161618607067027,2.7108118709649363,2.7044198555947503
28,1,0-1-8-9,4,112,11.71898887941336,162.217206904612,6.485588376547431,4.208374116211135,3.8383876622570057,3.4715679662354395,3.4715679662354333
29,2,0-1-2-3,4,116,9.577858493212574,171.79506539782457,6.790609332318583,4.696129126257347,3.726402023175652,3.685800190154584,3.6858001901545805
30,2,0-1-2-4,4,120,9.683051179753598,181.47811657757816,6.485588376547431,3.895841154494765,3.264710185383038,3.4715679662354395,3.4715679662354333
31,2,0-1-2-5,4,124,10.95918538192481,192.43730195950297,6.485588376547431,3.0437526836302817,2.1394102370361026,3.4715679662354395,3.4715679662354333
32,2,0-1-2-6,4,128,9.06867701834607,201.50597897784905,6.485588376547431,2.617694113994932,2.1394102370361026,3.4715679662354395,3.4715679662354333
33,2,0-1-2-7,4,132,8.10950089616139,209.61547987401045,6.485588376547431,2.6787262694118543,2.1394102370361026,3.4715679662354395,3.4715679662354333
34,2,0-1-2-8,4,136,9.263661799619488,218.87914167362993,6.485588376547431,3.230056010818157,2.6236984426777212,3.4715679662354395,3.4715679662354333
35,2,0-1-2-9,4,140,13.056032291577141,231.93517396520707,6.574285938710587,4.369073978382073,4.913406815350044,3.4715679662354395,3.4715679662354333
36,2,0-1-3-4,4,144,10.824946360397032,242.7601203256041,4.346529629359411,2.873341247429572,3.7258578054656795,1.8649098012510679,1.7821611989959294
37,2,0-1-3-5,4,148,6.504618596558089,249.2647389221622,3.979919233787889,2.6253507364383637,3.7171721323256435,1.4073943474773696,1.551038379716104
38,2,0-1-3-6,4,152,5.418948301311159,254.68368722347336,3.979919233787889,2.616234933356339,3.7171721323256435,1.4503321150060595,1.345586555050808
39,2,0-1-3-7,4,156,6.107484668025808,260.7911718914992,3.868674129786532,2.4431273368289554,3.18042801398434,1.75493819663693,1.7549381966369566
40,2,0-1-3-8,4,160,7.150487324763432,267.9416592162626,4.143163657385653,2.1417170751505266,2.3897511347149702,2.243576118728789,2.243576118728811
41,2,0-1-3-9,4,164,9.747572691089141,277.68923190735177,4.143163657385653,1.9565064245692834,1.4332389754762431,2.243576118728789,2.243576118728811
42,2,0-1-4-5,4,168,4.608604228682769,282.29783613603456,2.8316306245129224,1.668287139615854,0.9970719912720227,1.5261705463252793,1.5261705463253037
