slot,epoch,transmitters,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_displacement_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,0,,0,0,0.0,0.0,12.01113974324003,7.414802070024728,12.000000000000014,0.2799999999999826,0.45999999999999375
1,1,0-1-2-3,4,4,22.68662293485719,22.68662293485719,12.006267382810929,7.175847746146568,12.0,2.249999999999987,2.4599999999999937
2,1,0-1-2-4,4,8,15.926259917167663,38.61288285202485,10.814860272056016,6.248817123524197,10.000000000000014,2.5102792461241,2.5102792461240853
3,1,0-1-2-5,4,12,15.138525062583774,53.75140791460863,8.988980503003203,5.095724089252025,7.002976444492518,3.3568744045506276,3.456874404550639
4,1,0-1-2-6,4,16,15.102602481238023,68.85401039584664,6.613586992621273,4.39877099609328,6.574029065940707,2.6116122944344076,2.636734680238739
5,1,0-1-2-7,4,20,14.318513731219948,83.1725241270666,5.036575783648708,3.400731334335947,5.032230895137317,1.8367668966819992,1.5867984231558978
6,1,0-1-2-8,4,24,16.25338026403143,99.42590439109803,4.431738136660512,2.7050347739869296,2.8051649805717602,2.3338157679143983,2.3338157679143734
7,1,0-1-2-9,4,28,17.424660136206647,116.85056452730467,5.626405712539772,3.310693328422319,3.663103633920244,2.6265893617373717,2.526589361737358
8,1,0-1-3-4,4,32,4.6401255816420575,121.49069010894672,5.626405712539772,3.466506247982413,3.663103633920244,2.6265893617373717,2.1997914949968447
9,1,0-1-3-5,4,36,8.192808009246262,129.68349811819297,5.626405712539772,3.2544535460316584,3.3693642747071237,2.67415026159109,2.6741502615910804
10,1,0-1-3-6,4,40,7.901599060758727,137.58509717895168,6.2794293075779555,3.1758138495710124,3.3693642747071237,3.3596696144936056,3.3596696144935976
11,1,0-1-3-7,4,44,5.6573043490082,143.24240152795988,6.480258597419704,3.098144176229487,3.3693642747071237,3.465447848771397,3.4654478487714044
12,1,0-1-3-8,4,48,6.705746512819212,149.9481480407791,7.055858033771214,3.201147908490469,3.3693642747071237,3.822313112570596,3.8223131125705976
13,1,0-1-3-9,4,52,9.110669928544997,159.0588179693241,7.089827013912737,3.4498931552594443,3.3693642747071237,3.837018148851186,3.837018148851186
14,1,0-1-4-5,4,56,10.098993227246032,169.15781119657015,3.862821251998302,1.968764204514696,2.10562478752189,2.089804704929983,2.089804704929989
15,1,0-1-4-6,4,60,5.855182730430603,175.01299392700076,2.443072499205145,1.5989413635086318,1.5610931474169263,1.324586604217159,1.4653944823392848
16,1,0-1-4-7,4,64,3.9452154854878634,178.95820941248863,2.082543107483737,1.4394683562448691,1.5610931474169263,1.116265759837919,1.3324188461160986
17,1,0-1-4-8,4,68,4.636550456807549,183.59475986929618,1.7941466130380785,1.1943771595186004,1.5610931474169263,0.8301733108837462,1.201671486163015
18,1,0-1-4-9,4,72,3.5943611445392163,187.1891210138354,1.7884025963152363,1.1575246598743358,1.5610931474169263,0.8361435810253978,1.2076417563046888
19,1,0-1-5-6,4,76,3.2266207865831853,190.4157418004186,1.5461344431554727,1.1134955371616648,1.5364851385106988,0.7272505486069528,0.7215410968118832
20,1,0-1-5-7,4,80,2.6348545961658214,193.0505963965844,1.7708629688308009,1.2221903701990557,1.5364851385106988,0.8513342953070526,0.8429810685185117
21,1,0-1-5-8,4,84,2.340925929896593,195.391522326481,2.038080875965066,1.30923688650175,1.5364851385106988,1.0408180771195092,1.0324648503309675
22,1,0-1-5-9,4,88,1.5079895357029736,196.89951186218397,1.9640829180127641,1.2364146634323496,1.5364851385106988,0.9952535925265712,0.9869003657380304
23,1,0-1-6-7,4,92,3.78896256376688,200.68847442595086,1.9640829180127641,0.9899542424606519,0.969532190776448,0.9952535925265712,1.128200722689634
24,1,0-1-6-8,4,96,2.617120081882343,203.3055945078332,1.9640829180127641,0.9665300605903082,0.9319281765404384,0.9952535925265712,0.9037353220404469
