slot,epoch,transmitters,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_displacement_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,0,,0,0,0.0,0.0,11.47185803543273,7.245772794811931,11.471279218137909,0.24222934835569138,0.4175467275055169
1,1,0-1-2-3,4,4,30.48308645853654,30.48308645853654,11.47185803543273,6.3841004847286085,11.471279218137909,2.242229348355669,2.2422293483556714
2,1,0-1-2-4,4,8,23.410197115278933,53.893283573815474,10.556913347293918,5.261229361854989,10.556116377544171,2.0701742397582774,4.050255323728848
3,1,0-1-2-5,4,12,13.494510262237915,67.38779383605339,10.556913347293918,4.887058087082234,10.556116377544171,3.3727291508531194,3.3528102348236786
4,1,0-1-2-6,4,16,10.14374709696866,77.53154093302206,10.556913347293918,5.204641860122809,10.556116377544171,3.1984625522602474,3.1198768495847418
5,1,0-1-2-7,4,20,7.648545820099046,85.1800867531211,10.556913347293918,5.55614710843708,10.556116377544171,2.328522522985416,1.9563205879587287
6,1,0-1-2-8,4,24,9.930112283718875,95.11019903683997,10.574587285291019,6.021637730954831,10.571002930279818,1.9601210613668945,1.4481613068805714
7,1,0-1-2-9,4,28,16.24348397000803,111.353683006848,12.383572236441035,7.200359590192084,12.014429750541368,2.2892371670870775,1.9188869226289
8,1,0-1-3-4,4,32,18.665783166642495,130.01946617349049,12.383572236441035,7.408646368656293,12.014429750541368,1.9214142973245119,1.9214142973245032
9,1,0-1-3-5,4,36,13.68083537855259,143.70030155204307,12.383572236441035,7.804592108714055,12.014429750541368,3.9214142973245147,3.9214142973245174
10,1,0-1-3-6,4,40,13.097042520369353,156.79734407241241,12.447813439585685,8.336596298489201,12.014429750541368,5.921414297324517,5.9214142973245245
11,1,0-1-3-7,4,44,11.848787183077285,168.6461312554897,15.26705360871016,8.87699383858533,12.014429750541368,7.92141429732452,7.9214142973245245
12,1,0-1-3-8,4,48,11.373617044589022,180.01974830007873,17.35516862288248,9.121159365104354,12.014429750541368,9.286037176640614,9.286037176640612
13,1,0-1-3-9,4,52,14.055224383186545,194.0749726832653,18.422918098710106,9.016334580793387,12.014429750541368,9.94996850357658,9.949968503576578
14,1,0-1-4-5,4,56,17.891772183864077,211.96674486712936,14.477279810329044,8.041948643935308,9.574672332805719,7.949968503576576,7.949968503576578
15,1,0-1-4-6,4,60,10.307924045434916,222.27466891256427,10.886728684983998,7.634940549863254,9.574672332805719,5.9499685035765735,6.058249634016143
16,1,0-1-4-7,4,64,8.37816590782206,230.65283482038632,11.195146462019906,7.645846478842215,9.574672332805719,4.821088947458215,6.460355641968491
17,1,0-1-4-8,4,68,7.494314441229627,238.14714926161594,11.254701290022526,7.939935460959276,9.574672332805719,4.485354113857727,6.704115981064362
18,1,0-1-4-9,4,72,4.921414958671676,243.0685642202876,11.221570822028246,8.16964907340264,9.574672332805719,4.510906845751671,6.8422629163775
19,1,0-1-5-6,4,76,17.627689580742558,260.6962538010302,11.221570822028246,7.592624964925007,8.732462025436988,4.510906845751671,4.423550322717361
20,1,0-1-5-7,4,80,8.509527884901361,269.2057816859316,11.417714724654182,7.654627309967216,8.732462025436988,5.253116905249,4.776459873240803
21,1,0-1-5-8,4,84,6.843703253017167,276.04948493894875,11.921332113782453,8.060998283659087,8.732462025436988,5.468112936493137,5.384764827839852
22,1,0-1-5-9,4,88,6.1784734400269885,282.22795837897576,12.625625785016291,8.47688720026606,8.732462025436988,6.066779279953533,5.734484937197244
23,1,0-1-6-7,4,92,17.722787220805188,299.95074559978093,12.625625785016291,7.988040534306723,7.46715126636127,6.066779279953533,5.968277032529002
24,1,0-1-6-8,4,96,9.954768166320907,309.9055137661018,12.625625785016291,8.275278468881362,7.46715126636127,6.2459695899776095,6.213213863440053
25,1,0-1-6-9,4,100,7.879676170486118,317.7851899365879,13.458469157654116,8.86020755220548,7.46715126636127,6.9951693325619315,6.213213863440053
26,1,0-1-7-8,4,104,20.404371620409105,338.18956155699703,13.458469157654116,9.084429666621437,6.472614094094226,6.9951693325619315,6.5812665558263745
27,1,0-1-7-9,4,108,12.858385572858356,351.0479471298554,13.458469157654116,9.687402328849405,6.472614094094226,7.217356165911967,7.094527209516926
28,1,0-1-8-9,4,112,28.968519707092646,380.01646683694804,17.109581014207617,11.028445335030062,9.5987319867113,9.094527209516935,9.09452720951693
29,2,0-1-2-3,4,116,22.333565476182855,402.3500323131309,17.109581014207617,11.905499156766668,9.5987319867113,9.094527209516935,9.09452720951693
30,2,0-1-2-4,4,120,21.8861505524498,424.2361828655807,17.109581014207617,10.328260987597188,8.31462443026679,9.094527209516935,9.09452720951693
31,2,0-1-2-5,4,124,25.01600645709984,449.2521893226805,17.109581014207617,8.472655554484867,5.2924153449526585,9.094527209516935,9.09452720951693
32,2,0-1-2-6,4,128,22.438533868377615,471.6907231910581,17.109581014207617,6.985412097697171,5.2924153449526585,9.094527209516935,9.09452720951693
33,2,0-1-2-7,4,132,19.96259512770413,491.6533183187622,17.109581014207617,6.775659375519303,5.2924153449526585,9.094527209516935,9.09452720951693
34,2,0-1-2-8,4,136,17.863618179505778,509.516936498268,17.109581014207617,7.692001920521287,6.814939227680753,9.094527209516935,9.09452720951693
35,2,0-1-2-9,4,140,24.297930590582485,533.8148670888505,17.109581014207617,9.712962239315212,11.434504081935927,9.094527209516935,9.09452720951693
36,2,0-1-3-4,4,144,15.54606493843625,549.3609320272868,12.829582316513639,7.627049656606003,9.651002521913924,7.094527209516932,7.094527209516926
37,2,0-1-3-5,4,148,12.652435518616489,562.0133675459033,10.165070788168597,7.001025597005503,9.651002521913924,5.0945272095169285,5.094527209516926
38,2,0-1-3-6,4,152,15.246498642621546,577.2598661885248,10.165070788168597,6.79264239047419,9.47266958606626,3.62600921205394,3.0945272095169187
39,2,0-1-3-7,4,156,14.536843823213559,591.7967100117384,9.550489073473951,6.374905661017008,8.231489284688806,4.608108765259336,4.608108765259345
40,2,0-1-3-8,4,160,17.246343697169742,609.0430537089081,10.800488921297843,5.719114856307912,6.279499277634258,5.907857227879607,5.90785722787961
41,2,0-1-3-9,4,164,23.050015875207446,632.0930695841156,10.800488921297843,5.08108951648127,3.8032667025418903,5.907857227879607,5.90785722787961
42,2,0-1-4-5,4,168,10.74621302157056,642.8392826056862,7.476554117854415,4.201754196021733,2.7410634781553256,4.042083240253829,4.042083240253831
43,2,0-1-4-6,4,172,9.021312494862599,651.8605951005488,5.947668574880441,3.444879713688793,1.6954229180515341,3.302231620216881,2.3952635462149985
44,2,0-1-4-7,4,176,5.140618230929569,657.0012133314784,5.947668574880441,3.2731818585763115,2.0196882731522123,3.302231620216881,2.652590801238965
45,2,0-1-4-8,4,180,2.9330277727908065,659.9342411042692,5.947668574880441,3.437550097204613,2.1863057586931234,3.302231620216881,2.8171196421952374
46,2,0-1-4-9,4,184,3.690984996065221,663.6252261003344,5.947668574880441,3.750508157810153,2.2682493146539997,3.302231620216881,2.90331472991128
47,2,0-1-5-6,4,188,7.692732459845637,671.31795856018,3.5846295470692042,2.7291468850391785,1.7937622896607195,1.9359165393786304,1.9359165393786313
48,2,0-1-5-7,4,192,4.695305790115791,676.0132643502958,3.0115319557185933,2.2588545450563524,1.7937622896607195,1.6206093714703058,1.6206093714703087
49,2,0-1-5-8,4,196,2.8778312703128788,678.8910956206087,3.3947733070099684,2.0813121432135264,1.7335931490411411,1.8297899372039652,1.8297899372039623
50,2,0-1-5-9,4,200,2.9070049872227375,681.7981006078314,3.3947733070099684,1.959710470269722,1.2037966460372473,1.8297899372039652,1.8297899372039623
51,2,0-1-6-7,4,204,2.5289688942263187,684.3270695020577,2.6673174535209387,1.6491321425485712,1.0910647625909604,1.4343908123384663,1.4343908123384779
52,2,0-1-6-8,4,208,1.317673773432067,685.6447432754898,2.5408202453211506,1.5335478836154006,1.0910647625909604,1.366661729296221,1.366661729296247
53,2,0-1-6-9,4,212,0.9569568430634984,686.6017001185533,2.5408202453211506,1.509719731947495,0.9044092837653324,1.366661729296221,1.366661729296247
54,2,0-1-7-8,4,216,1.6035643264226895,688.2052644449759,2.2680282511768706,1.3969401326196151,0.9177475480687463,1.2195171175488981,1.2195171175489108
55,2,0-1-7-9,4,220,0.803930139128035,689.009194584104,2.2680282511768706,1.3758480767414734,0.947888546045661,1.2195171175488981,1.2195171175489108
