condition,trial,bearing_std_deg,actuation_relative_std,status,stopped,final_below_1cm,joint_success_1cm,final_below_10cm,first_1cm_slot,first_1cm_tx,sustained_1cm_from_slot,max_position_error_m,rms_position_error_m,last28_mean_max_error_m,measurement_slots,transmitter_uses,movement_m,failed_local_fits,seconds
exact,-1,0.0,0.0,quiet_full_cycle,True,True,True,True,92,368,92,5.180445604679123e-05,2.757656521548579e-05,5.1804456046791226e-05,196,784,254.23378872280998,0,2.155357000003278
exact,0,0.0,0.0,quiet_full_cycle,True,True,True,True,76,304,79,6.313947280826661e-05,3.598889600517729e-05,6.31394728082666e-05,168,672,92.60778339251945,0,1.8520161250053206
exact,1,0.0,0.0,quiet_full_cycle,True,True,True,True,98,392,98,9.775510465017575e-05,6.425109202004262e-05,9.775510465017576e-05,196,784,588.2052619437876,0,2.3019595830046455
exact,2,0.0,0.0,quiet_full_cycle,True,True,True,True,92,368,92,6.747928224187674e-05,3.513855601609136e-05,6.747928224187673e-05,196,784,567.6419461095973,0,2.3110044579952955
exact,3,0.0,0.0,quiet_full_cycle,True,True,True,True,104,416,104,3.741471564431393e-05,2.6123102473447954e-05,3.741471564431393e-05,196,784,320.6873384583353,0,2.1504462499942747
exact,4,0.0,0.0,quiet_full_cycle,True,True,True,True,104,416,104,6.131449785137726e-05,3.68427849843429e-05,6.131449785137727e-05,196,784,430.6605091808696,0,2.2046046249961364
exact,5,0.0,0.0,quiet_full_cycle,True,True,True,True,114,456,114,3.6457524846362734e-05,2.0946964727048266e-05,3.645752484636273e-05,224,896,644.3809125344759,0,2.475407208999968
exact,6,0.0,0.0,quiet_full_cycle,True,True,True,True,107,428,107,6.488728387737398e-05,3.524817652348374e-05,6.488728387737396e-05,224,896,456.7467179172682,0,2.4475142090013833
exact,7,0.0,0.0,quiet_full_cycle,True,True,True,True,92,368,92,6.580616304278309e-05,3.426720197151694e-05,6.580616304278309e-05,196,784,184.8382885217319,0,2.0456382499978645
exact,8,0.0,0.0,quiet_full_cycle,True,True,True,True,103,412,103,8.294620892766436e-05,4.6680945614438336e-05,8.294620892766433e-05,196,784,628.210918591454,0,2.186375458994007
exact,9,0.0,0.0,quiet_full_cycle,True,True,True,True,120,480,120,5.4018449950056215e-05,2.8243414842588704e-05,5.401844995005622e-05,224,896,687.0464994415508,0,2.5211492919988814
exact,10,0.0,0.0,quiet_full_cycle,True,True,True,True,85,340,85,3.302363310912892e-05,1.9454005913454026e-05,3.3023633109128917e-05,196,784,231.07880133327436,0,1.9864449999950011
exact,11,0.0,0.0,quiet_full_cycle,True,True,True,True,103,412,103,8.853788954513282e-05,4.983448204341986e-05,8.853788954513284e-05,196,784,360.5672895243823,0,2.0332706249973853
exact,12,0.0,0.0,quiet_full_cycle,True,True,True,True,108,432,108,6.373987774795057e-05,3.0554591806358706e-05,6.373987774795058e-05,224,896,509.0051892159796,0,2.3131887080016895
exact,13,0.0,0.0,quiet_full_cycle,True,True,True,True,79,316,79,7.506783524925716e-05,4.060742725066955e-05,7.506783524925716e-05,168,672,148.89061755198182,0,1.6755546249987674
exact,14,0.0,0.0,quiet_full_cycle,True,True,True,True,85,340,85,3.253223643521958e-05,1.916449145308315e-05,3.2532236435219574e-05,196,784,305.95321231375374,0,1.8405290829978185
exact,15,0.0,0.0,quiet_full_cycle,True,True,True,True,76,304,79,6.356295093048484e-05,3.623059981317834e-05,6.356295093048484e-05,168,672,217.8607964862268,0,1.583982209005626
exact,16,0.0,0.0,quiet_full_cycle,True,True,True,True,86,344,86,3.942324779527642e-05,2.365473032978378e-05,3.9423247795276436e-05,196,784,493.29182063146345,0,1.866337207997276
exact,17,0.0,0.0,quiet_full_cycle,True,True,True,True,86,344,86,3.872114242265051e-05,2.2245579233976245e-05,3.872114242265051e-05,196,784,258.1113163891211,0,1.8939245829969877
exact,18,0.0,0.0,quiet_full_cycle,True,True,True,True,98,392,98,8.573907006864743e-05,5.21165342091914e-05,8.573907006864744e-05,196,784,229.112473022498,0,1.93539420900197
exact,19,0.0,0.0,quiet_full_cycle,True,True,True,True,93,372,98,7.04535304830132e-05,3.65698651018178e-05,7.045353048301321e-05,196,784,534.1438739145142,0,2.031038458000694
exact,20,0.0,0.0,quiet_full_cycle,True,True,True,True,79,316,79,7.130870526936133e-05,3.665994984193736e-05,7.130870526936133e-05,168,672,354.85847993346374,0,1.7515080000011949
exact,21,0.0,0.0,quiet_full_cycle,True,True,True,True,114,456,120,4.222795465811333e-05,2.4263397181416765e-05,4.222795465811333e-05,224,896,637.903572034801,0,2.3067212919995654
exact,22,0.0,0.0,quiet_full_cycle,True,True,True,True,64,256,64,6.21146951713549e-05,3.1911216077075666e-05,6.211469517135491e-05,168,672,76.15891306676521,0,1.4853714579949155
exact,23,0.0,0.0,quiet_full_cycle,True,True,True,True,120,480,120,5.39119153756465e-05,2.818770843693459e-05,5.3911915375646484e-05,224,896,736.1185910662975,0,2.2301040000020294
exact,24,0.0,0.0,quiet_full_cycle,True,True,True,True,86,344,86,3.653065571344319e-05,2.208314458554035e-05,3.6530655713443196e-05,196,784,338.8688246062138,0,1.8264927079944755
exact,25,0.0,0.0,quiet_full_cycle,True,True,True,True,103,412,103,8.53192142950859e-05,4.8022783451063744e-05,8.531921429508591e-05,196,784,269.7647843694609,0,1.9094572079993668
exact,26,0.0,0.0,quiet_full_cycle,True,True,True,True,82,328,82,7.134399803129182e-05,3.3067312787498824e-05,7.134399803129183e-05,196,784,137.2445340870115,0,1.7864329590011039
exact,27,0.0,0.0,quiet_full_cycle,True,True,True,True,92,368,92,6.827725096975101e-05,3.555409329377136e-05,6.827725096975103e-05,196,784,569.5534508745636,0,1.9973866250002175
exact,28,0.0,0.0,quiet_full_cycle,True,True,True,True,86,344,86,3.763230212564338e-05,2.161995967146665e-05,3.763230212564338e-05,196,784,270.21487224213377,0,1.8889230830027373
exact,29,0.0,0.0,quiet_full_cycle,True,True,True,True,80,320,80,6.893527790671532e-05,3.3048693930728756e-05,6.89352779067153e-05,196,784,319.2089808667059,0,1.8887264169970877
exact,30,0.0,0.0,quiet_full_cycle,True,True,True,True,76,304,76,4.3230051087950755e-05,2.696150311002883e-05,4.323005108795075e-05,168,672,406.5388837892648,0,1.69461258299998
exact,31,0.0,0.0,quiet_full_cycle,True,True,True,True,103,412,103,7.459612397051298e-05,4.890053391416264e-05,7.459612397051298e-05,196,784,284.6930597508056,0,1.928777708002599
exact,32,0.0,0.0,quiet_full_cycle,True,True,True,True,107,428,107,6.409803788031651e-05,3.9073328172527175e-05,6.409803788031653e-05,224,896,548.4173566618188,0,2.2464747080011875
exact,33,0.0,0.0,quiet_full_cycle,True,True,True,True,120,480,120,5.399679807099008e-05,2.823209272742954e-05,5.399679807099009e-05,224,896,744.1208841189504,0,2.3292087500012713
exact,34,0.0,0.0,quiet_full_cycle,True,True,True,True,86,344,86,3.8100060859217484e-05,2.1888859647636917e-05,3.8100060859217484e-05,196,784,233.75919856609687,0,1.881668375004665
exact,35,0.0,0.0,quiet_full_cycle,True,True,True,True,76,304,76,6.045458760401258e-05,3.6326189089188423e-05,6.045458760401257e-05,168,672,230.3806941645764,0,1.6160326250028447
exact,36,0.0,0.0,quiet_full_cycle,True,True,True,True,75,300,75,8.9491993512193e-05,5.429699860302702e-05,8.949199351219297e-05,168,672,393.58995616067534,0,1.7025540409958921
exact,37,0.0,0.0,quiet_full_cycle,True,True,True,True,120,480,120,5.301317574528171e-05,2.7717767615955428e-05,5.3013175745281726e-05,224,896,738.7845522966983,0,2.4230107499970472
exact,38,0.0,0.0,quiet_full_cycle,True,True,True,True,104,416,107,6.44971967146273e-05,3.6762785952264016e-05,6.449719671462731e-05,196,784,724.5112968040601,0,2.1292017080049845
exact,39,0.0,0.0,quiet_full_cycle,True,True,True,True,110,440,110,3.265805590688863e-05,1.923781887160639e-05,3.265805590688862e-05,224,896,602.1287654951618,0,2.309251583996229
exact,40,0.0,0.0,quiet_full_cycle,True,True,True,True,114,456,114,3.716252496091193e-05,2.2463643559274046e-05,3.716252496091192e-05,224,896,554.1694435260238,0,2.428318666999985
exact,41,0.0,0.0,quiet_full_cycle,True,True,True,True,79,316,79,7.53285706292529e-05,4.0748106788048887e-05,7.532857062925291e-05,168,672,93.66512425912585,0,1.7293063329998404
exact,42,0.0,0.0,quiet_full_cycle,True,True,True,True,114,456,114,4.002352233292737e-05,2.2996708969968136e-05,4.002352233292736e-05,224,896,695.51413668866,0,2.4808820840044064
exact,43,0.0,0.0,quiet_full_cycle,True,True,True,True,76,304,76,5.262824892617943e-05,3.271970402676339e-05,5.262824892617944e-05,168,672,94.43993495207445,0,1.7053927079978166
exact,44,0.0,0.0,quiet_full_cycle,True,True,True,True,114,456,114,3.792473294736782e-05,2.292436079701813e-05,3.792473294736783e-05,224,896,566.0650268428886,0,2.3857800839978154
exact,45,0.0,0.0,quiet_full_cycle,True,True,True,True,103,412,103,7.614781634894726e-05,4.9917754729565936e-05,7.614781634894726e-05,196,784,253.4752387784017,0,2.030474790997687
exact,46,0.0,0.0,quiet_full_cycle,True,True,True,True,120,480,120,5.242779497888517e-05,2.7908395595274174e-05,5.2427794978885155e-05,224,896,780.8017517837046,0,2.4884498750034254
exact,47,0.0,0.0,quiet_full_cycle,True,True,True,True,104,416,104,5.9802557319777616e-05,3.59342908119344e-05,5.980255731977762e-05,196,784,693.5279119816767,0,2.149656582994794
exact,48,0.0,0.0,quiet_full_cycle,True,True,True,True,75,300,75,6.792750565327938e-05,4.080501732446348e-05,6.792750565327938e-05,168,672,516.3595215974254,0,1.771094791998621
