slot,receiver_id,selected_pair,status,radial_command_m,angular_command_rad,consistency_rad
1,2,1-4,adjust,1.8299676800953164,-0.017453292519943295,0.05263744331377065
1,3,1-4,adjust,-3.905897006489405,-0.017453292519943295,0.0969432253337545
1,6,1-5,adjust,-5.0,-0.001530692163487409,0.06983960150870229
1,7,1-5,adjust,-3.2952778957328284,-0.005145954778590767,0.03559631111298667
1,8,1-5,adjust,0.6073413362894434,-0.0061829633139490634,0.012867707486730377
1,9,1-5,adjust,-5.0,-0.005406765955684717,0.006538654048668433
2,2,1-7,adjust,0.1011667907026857,0.007402397620374534,0.009283408793494203
2,3,1-7,adjust,-3.7980630369292547,0.003840061798969678,0.000519635671132285
2,4,1-7,adjust,-1.8873575802067795,-0.0013080166440340238,0.007115239753733029
2,5,1-7,adjust,1.8572384254057865,-0.00031508813035672443,0.015721796276091535
2,6,1-7,adjust,-2.4914591788279212,0.002822657661219124,0.02865399340448996
2,9,1-8,adjust,-3.8901595545157015,-0.014455000668651647,0.044927761780519125
3,2,1-4,adjust,0.5745960756068639,-0.010271850311958425,0.028879789929539393
3,3,1-4,adjust,-0.9609548920181304,-0.009202990549604675,0.04669321980048818
3,6,1-5,adjust,-2.365701994448061,-0.0004895420485235042,0.029276636306253653
3,7,1-5,adjust,-0.9794884246400455,0.0012353036408894208,0.012934941014633638
3,8,1-5,adjust,0.5950884374400088,0.0004070889969871727,0.0021078595042648687
3,9,1-5,adjust,-1.6026946827422521,0.006061523266978364,0.007092776971707463
4,2,1-7,adjust,-0.2277277120335121,0.008566265663839383,0.005509288910702625
4,3,1-7,adjust,-1.5262522387550326,0.007848572866521401,0.0011689551075389978
4,4,1-7,adjust,-1.2539465045937144,0.0010981716692467162,0.002672301570421206
4,5,1-7,adjust,0.48247196429353395,0.0006481513155352232,0.00696437784478419
4,6,1-7,adjust,-0.6301813364945235,0.0007180116864344365,0.013557138327124081
4,9,1-8,adjust,-0.98356914406841,-0.002217624893969106,0.021213682038926714
5,2,1-4,adjust,0.19584818851117206,-0.004190263647170355,0.015776573697852715
5,3,1-4,adjust,-0.19886288507980654,-0.0028017495658005753,0.023555080028985546
5,6,1-5,adjust,-0.6292843777527416,-0.00018824176578818955,0.012049608702091194
5,7,1-5,adjust,-0.3070608928438203,0.0016633852915202002,0.00414294202403043
5,8,1-5,adjust,0.39422124800306657,0.0013502576906522395,0.0010709915105353823
5,9,1-5,adjust,-0.28728212985341944,0.004864091789767087,0.005571823494672563
6,2,1-7,adjust,-0.23206974111834944,0.006962079961662699,0.0031195357299846674
6,3,1-7,adjust,-0.7420195280198477,0.006288751159294843,0.0007777662189025516
6,4,1-7,adjust,-0.7790617556404098,0.0014201016898814389,0.0012943744221465354
6,5,1-7,adjust,0.049508328204782216,0.0006666806515793812,0.003618029067400001
6,6,1-7,adjust,-0.1978814349941319,0.00011179272018431632,0.007194728199274707
6,9,1-8,adjust,-0.23349774371005746,-5.7088713835008423e-05,0.011327018378733632
7,2,1-4,adjust,0.08040952320981176,-0.0019332689990115442,0.008446051839089868
7,3,1-4,adjust,-0.019135066314171674,-0.0010553402927622017,0.011828648033782347
7,6,1-5,adjust,-0.18370326175413157,-9.282463213414688e-05,0.004584880397179023
7,7,1-5,adjust,-0.11859046399508319,0.001033743519262322,0.000828995949968389
7,8,1-5,adjust,0.2240999725391565,0.0009958316086196913,0.0016365130099879944
7,9,1-5,adjust,-0.014299419159534333,0.002810608112174454,0.0037853631918859567
8,2,1-7,adjust,-0.17152915088293497,0.0048805599242169465,0.0017093616747070842
8,3,1-7,adjust,-0.405953031698176,0.004213111408282908,0.00035362578403951006
8,4,1-7,adjust,-0.4649146460673429,0.0011441676335058855,0.0008429833013079434
8,5,1-7,adjust,-0.06436336869283857,0.0004916735154512121,0.002191610634594079
8,6,1-7,adjust,-0.09074776657258404,-4.4294405570207944e-05,0.004264295180184109
8,9,1-8,adjust,-0.04354577747546122,0.0004051180631089366,0.0064648119246061755
9,2,1-4,adjust,0.04246632366384123,-0.001099273815954813,0.004356890699212373
9,3,1-4,adjust,0.01769359494327165,-0.0005273985643820245,0.005697067460585161
9,6,1-5,adjust,-0.06897841950561762,-6.366844084512949e-05,0.001351879836037802
9,7,1-5,adjust,-0.06726737926642329,0.000471745484748365,0.0003261350132045359
9,8,1-5,adjust,0.11554966550749393,0.0005399524913400119,0.0014243554503401547
9,9,1-5,adjust,0.021047954213739468,0.0013772609569862424,0.002386298598827249
10,2,1-7,adjust,-0.11371959800185358,0.0031747135865947923,0.0009100418352862644
10,3,1-7,adjust,-0.2330689823387685,0.0026260141597182272,8.130127572569267e-05
10,4,1-7,adjust,-0.269998574754515,0.0007887119752358656,0.0006487898780284965
10,5,1-7,adjust,-0.0787244584984813,0.0003282559582428429,0.0014747234305294975
10,6,1-7,adjust,-0.05610048802965718,-6.989980064305088e-05,0.0027423588835526736
10,9,1-8,adjust,0.0017321193653073925,0.0004471000002984901,0.0038565766918424137
11,2,1-4,adjust,0.0277426675742302,-0.0007465678376347287,0.0021197667324789594
11,3,1-4,adjust,0.02169179047653977,-0.00033638257437814594,0.0025152037011709877
11,6,1-5,adjust,-0.037942217752071954,-5.237736822081195e-05,8.816234266516388e-06
11,7,1-5,adjust,-0.050899636388469914,0.00013662474776075597,0.0006407944550425123
11,8,1-5,adjust,0.054281956413984436,0.0002286241019067679,0.0010652396164025615
11,9,1-5,adjust,0.012884603425345266,0.0005528963578748314,0.0014379484173537927
12,2,1-7,adjust,-0.07167703924436002,0.001983699858642071,0.00047002900138557314
12,3,1-7,adjust,-0.13552864418479357,0.0015785693055875465,5.7312324058104484e-05
12,4,1-7,adjust,-0.15372070123606643,0.0005024552016928042,0.0005214018160268934
12,5,1-7,adjust,-0.06655567915200046,0.00021219074719011275,0.0010476386179807814
12,6,1-7,adjust,-0.038993068543064335,-6.1486268898396e-05,0.0018546774935299646
12,9,1-8,adjust,0.010118872509292364,0.0003771900967340277,0.002378219245509685
13,2,1-4,adjust,0.020228871652921997,-0.0005531822503302491,0.000933261382632388
13,3,1-4,adjust,0.018803031511847628,-0.00024331172730218884,0.0009150353058909139
13,6,1-5,adjust,-0.027146303524286132,-4.4230287377653035e-05,0.00048318903444160297
13,7,1-5,adjust,-0.04186598486320622,-2.6317281790706192e-05,0.0006437423667621682
13,8,1-5,adjust,0.022323313171493823,5.700574699342765e-05,0.0007485482382281104
13,9,1-5,adjust,0.00300151389768819,0.00013210792362468575,0.0008407175481135945
14,2,1-7,adjust,-0.04405541804799564,0.0012139643329756838,0.00023387182631931543
14,3,1-7,adjust,-0.07885038873672899,0.0009308499962289752,0.00011162021644512528
14,4,1-7,adjust,-0.08619944917033265,0.00030515968390414533,0.0004155230687742198
14,5,1-7,adjust,-0.05056918757177365,0.0001366235923227616,0.0007605817369687981
14,6,1-7,adjust,-0.027816781763412592,-4.723026453676591e-05,0.0012895577570267887
