slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg,max_tangential_error_m
0,,0,0,0,0.0,0.0,12.01113974324003,7.414802070024728,12.000000000000014,0.2799999999999826,0.45999999999999375,0.48869219055838187
1,0-1-4-5,4,4,4,21.89157292075799,21.89157292075799,8.435184344741195,4.800163519851931,8.094102993510575,1.308540359037142,1.1140740812753194,2.2838337660426866
2,0-1-7-8,4,8,8,15.273427166931306,37.16500008768929,4.538286417483351,2.772209474371563,4.508540821172062,0.8579954012483292,0.8579954012483171,1.497484471875321
3,0-1-4-5,4,12,12,7.971042807126776,45.13604289481607,3.9780219450044587,2.081658570900406,3.3290281280995657,1.2274705656138614,1.1172944311245914,2.142340284127897
4,0-1-7-8,4,16,16,6.104203058579663,51.240245953395736,2.198586215529462,1.2895099155551464,1.8586959151995188,0.7125743020938737,0.6377562475976859,1.243676773663882
5,0-1-4-5,4,20,20,2.7068733787207897,53.94711933211653,2.1846037952321598,1.1794390381934265,1.8586959151995188,0.8407829280643674,0.8268287155265241,1.4674430389281845
6,0-1-7-8,4,24,24,3.0503012798089046,56.997420611925435,1.1887103020262662,0.7223918909419903,1.079634159559106,0.46410937450966244,0.4213421701357589,0.8100236674565053
7,0-1-4-5,4,28,28,1.1666665822547428,58.164087194180176,1.2404230653466353,0.7023053106439544,1.079634159559106,0.528827388722086,0.5288273887220782,0.922977910792433
8,0-1-7-8,4,32,32,1.8235358317247203,59.987623025904895,0.6484108908462245,0.41625904480134607,0.6147195134917638,0.27095305766957406,0.24755114718356452,0.47290229746801415
9,0-1-4-5,4,36,36,0.587524551225564,60.57514757713046,0.6969649593109098,0.41638670938481714,0.6147195134917638,0.30971680972006604,0.3097168097200722,0.5405578078387929
10,0-1-7-8,4,40,40,1.1593522452586993,61.73449982238916,0.3657491027297963,0.24364333220190976,0.34472093873725385,0.14764645028664297,0.12741000820187054,0.25769166863840454
11,0-1-4-5,4,44,44,0.3254184426276556,62.05991826501682,0.38292262793844967,0.2474845906648685,0.34472093873725385,0.1699811313929283,0.16998113139292315,0.2966730409071694
12,0-1-7-8,4,48,48,0.7299771143025575,62.789895379319375,0.21213248134768453,0.14942407756609563,0.20902645532548547,0.07570745762125283,0.056221424012747434,0.1321344403804936
13,0-1-4-5,4,52,52,0.19548800060783514,62.985383379927214,0.20490121198411906,0.15028441117713048,0.19100023750118567,0.08952042954706932,0.08786549657377662,0.15624262433959757
14,0-1-7-8,4,56,56,0.4539981259311696,63.439381505858385,0.15641226236689873,0.09835307791641688,0.15406337003778958,0.03612264460152295,0.031215670236406368,0.06304590828243306
15,0-1-4-5,4,60,60,0.13829848692881488,63.5776799927872,0.13500064002606738,0.09485697850522914,0.1329624570055472,0.046576863988463155,0.042316291931669525,0.08129196318522602
16,0-1-7-8,4,64,64,0.2814083417188254,63.859088334506026,0.11676318821644964,0.06897131805190121,0.11309880054614041,0.028712262850396693,0.022068284369154867,0.05011235224374744
17,0-1-4-5,4,68,68,0.11581340732779194,63.97490174183382,0.09814809964082236,0.06264375582784647,0.0966594227198243,0.023296054699437456,0.020420422387417148,0.04065928572298816
18,0-1-7-8,4,72,72,0.1751438649820977,64.15004560681592,0.08807014719689836,0.05015743997206038,0.08251082692669343,0.0228798438137861,0.015642971825123198,0.039932860689262384
19,0-1-4-5,4,76,76,0.09491357444729616,64.24495918126321,0.07100390826983455,0.04301459001967834,0.06992539391440289,0.017561958973009724,0.014374707086105332,0.030651400717918165
20,0-1-7-8,4,80,80,0.11004254116296944,64.35500172242618,0.06538318422895799,0.03695537783577898,0.059862108769806355,0.017561958973009724,0.01342733201153834,0.030651400717918165
21,0-1-4-5,4,84,84,0.0746373831918716,64.42963910561805,0.05117760269186439,0.03031848497211326,0.05039993715050173,0.013166419184790999,0.010157141711864881,0.022979736547235063
22,0-1-7-8,4,88,88,0.07004281930551864,64.49968192492356,0.04799192272737565,0.02724594771196007,0.04324357774542875,0.013166419184790999,0.011124518080237067,0.022979736547235063
