gain,cycles,operator_norm
0.25,1,1.031498332407241
0.25,2,1.034665725551252
0.25,3,0.9997613906208382
0.25,4,0.9342826589915387
0.25,5,0.8505900388572922
0.25,6,0.7592973944044129
0.25,7,0.667767894686545
0.25,8,0.5805264549863665
0.5,1,1.1057169539076162
0.5,2,0.9508066564226073
0.5,3,0.7134683244526918
0.5,4,0.5012374871606676
0.5,5,0.3383571423213666
0.5,6,0.22224232037182862
0.5,7,0.1430662200912172
0.5,8,0.09066036237877682
1.0,1,1.7939688485907281
1.0,2,0.2657332199247924
1.0,3,1.257690542373999e-16
1.0,4,3.2538749715225116e-31
1.0,5,1.5908696860091362e-32
1.0,6,1.0746400656374281e-47
1.0,7,2.467038060850268e-62
1.0,8,9.52408719760019e-64
