real,imaginary,modulus
3.2610707860189404e-31,0.0,3.2610707860189404e-31
-2.1401915702451623e-32,0.0,2.1401915702451623e-32
4.278906057897698e-33,0.0,4.278906057897698e-33
-9.993108963731685e-33,0.0,9.993108963731685e-33
-1.9559616495585683e-11,3.387871133396403e-11,3.9119632911166875e-11
-1.9559616495585683e-11,-3.387871133396403e-11,3.9119632911166875e-11
3.912003282950815e-11,0.0,3.912003282950815e-11
4.665415583124664e-16,0.0,4.665415583124664e-16
2.225511127008484e-16,0.0,2.225511127008484e-16
-2.2452348462403833e-17,0.0,2.2452348462403833e-17
3.1488545757147383e-25,0.0,3.1488545757147383e-25
-5.065073558627857e-19,0.0,5.065073558627857e-19
-6.509738479592212e-33,0.0,6.509738479592212e-33
-1.1882281083599988e-31,0.0,1.1882281083599988e-31
3.1010319418273556e-31,0.0,3.1010319418273556e-31
-3.1801721766289934e-32,0.0,3.1801721766289934e-32
