slot,receiver_id,selected_pair,status,radial_command_m,angular_command_rad,consistency_rad
1,2,1-4,adjust,0.9149838400476582,-0.010594795040689758,0.05263744331377065
1,3,1-4,adjust,-1.9529485032447025,-0.013251764544807514,0.0969432253337545
1,6,1-5,adjust,-3.564977845790473,-0.0007653460817437046,0.06983960150870229
1,7,1-5,adjust,-1.6476389478664142,-0.0025729773892953834,0.03559631111298667
1,8,1-5,adjust,0.3036706681447217,-0.0030914816569745317,0.012867707486730377
1,9,1-5,adjust,-3.0316254708788968,-0.0027033829778423586,0.006538654048668433
2,2,1-7,adjust,0.22606675138712456,0.003434590745838955,0.01208683643761768
2,3,1-7,adjust,-2.380556799707597,0.0007883075629667997,0.0017814832966305907
2,4,1-7,adjust,-0.7929364149533792,-0.0015100160540697852,0.013984492689008872
2,5,1-7,adjust,1.214756818652335,-0.0006702914988489203,0.027763006470923158
2,6,1-7,adjust,-1.170021682370577,0.001948400196115473,0.04849970647828038
2,9,1-8,adjust,-2.4664355863962077,-0.010114103663640845,0.07064365969101484
3,2,1-4,adjust,0.5725800183385052,-0.007836037461364027,0.04077426131245682
3,3,1-4,adjust,-1.0893534767319648,-0.007667126978690224,0.06986082590333799
3,6,1-5,adjust,-2.039204051062916,-0.0005015853057499673,0.04724124600265149
3,7,1-5,adjust,-1.0206230343780862,-0.000704034163768198,0.022557236379659187
3,8,1-5,adjust,0.31657992751981795,-0.0012491823222882629,0.006184252866203386
3,9,1-5,adjust,-1.6570205253446346,0.0008948196140651074,0.007705955636463906
4,2,1-7,adjust,0.05107382455725152,0.0038845127653314242,0.009799919745889346
4,3,1-7,adjust,-1.535151630100188,0.0027777747606962393,0.00047496893328731395
4,4,1-7,adjust,-0.7099718398628286,-0.0004865824396213279,0.009583881210790032
4,5,1-7,adjust,0.7251403813876147,-0.00016580002403669618,0.019807534520667212
4,6,1-7,adjust,-0.6525996154777423,0.0011281033883064598,0.03539375573521508
4,9,1-8,adjust,-1.3997977150326455,-0.0045747110609428735,0.05015836814388102
5,2,1-4,adjust,0.362473250533234,-0.005701693534863376,0.031647454128454655
5,3,1-4,adjust,-0.5904548144158592,-0.004606177000675158,0.051248314123052384
5,6,1-5,adjust,-1.1823520421030924,-0.00034544917788471277,0.03173672727363843
5,7,1-5,adjust,-0.6396845351286646,0.000189354610144384,0.01389266813243084
5,8,1-5,adjust,0.29368514394477563,-0.0002656697985948913,0.0020648356538016726
5,9,1-5,adjust,-0.8876087040864179,0.00210186522632387,0.00800570870987736
6,2,1-7,adjust,-0.04321594052330261,0.0040903493504911145,0.007850016212277799
6,3,1-7,adjust,-1.0274941177645804,0.003528441796386283,0.00011753041212724933
6,4,1-7,adjust,-0.6187273428136755,0.0001232845012604193,0.0067532765187198794
6,5,1-7,adjust,0.4106977756667965,0.00011549033855559895,0.014447547878647984
6,6,1-7,adjust,-0.37306322299450567,0.0006335113704638846,0.026255127677295983
6,9,1-8,adjust,-0.7882961609826493,-0.0021328220620299944,0.03695133052665608
7,2,1-4,adjust,0.23376599628198633,-0.004132277863247532,0.024550531304173492
7,3,1-4,adjust,-0.3089869785988722,-0.0028715008091864743,0.037933430502798085
7,6,1-5,adjust,-0.6943307106736697,-0.0002449806451492013,0.021089854396904587
7,7,1-5,adjust,-0.40767454835721234,0.0005543439747497267,0.00817254344139362
7,8,1-5,adjust,0.2550846641871133,0.00021467305513761707,0.0003756827282938165
7,9,1-5,adjust,-0.4630305901683677,0.0023160807823896794,0.007698026807489875
8,2,1-7,adjust,-0.08912715881861523,0.004053739551373127,0.006227449854217927
8,3,1-7,adjust,-0.7158588769304715,0.0036418065500940983,0.00032116266320801915
8,4,1-7,adjust,-0.5284536286438555,0.00045958182164986824,0.004926397701975211
8,5,1-7,adjust,0.2131150946748121,0.0002567886063028046,0.010802523884738598
8,6,1-7,adjust,-0.2228699964076137,0.000337550146784519,0.019846063627558058
8,9,1-8,adjust,-0.44000903230273525,-0.0009351307981799589,0.027893292202537497
9,2,1-4,adjust,0.15464009513048976,-0.003014842186827846,0.018993445978199387
9,3,1-4,adjust,-0.1530627645406669,-0.0018604871930385373,0.028157525100311893
9,6,1-5,adjust,-0.4140028590432629,-0.00017818488761431052,0.01375914026214039
9,7,1-5,adjust,-0.26631340810751775,0.000642233830757378,0.00442739815043135
9,8,1-5,adjust,0.21219296413633232,0.00040898565658469124,0.0017345718982197035
9,9,1-5,adjust,-0.232470916736608,0.0021212048583596622,0.007044320846072894
10,2,1-7,adjust,-0.10696621019128048,0.0038359033882441,0.004900743814487546
10,3,1-7,adjust,-0.5182402180309802,0.0034374801530584146,0.00032496849709979294
10,4,1-7,adjust,-0.444448697625033,0.0006201859423941285,0.0037356720148019754
10,5,1-7,adjust,0.0918041350203021,0.00031414760570285265,0.008287954354479212
10,6,1-7,adjust,-0.14199392270406647,0.00016242565224227492,0.015300027919358986
10,9,1-8,adjust,-0.2420583342591409,-0.00031156833922562526,0.021445050016310082
11,2,1-4,adjust,0.10560489865189793,-0.0022344583976199217,0.014626321332461561
11,3,1-4,adjust,-0.06823541705863011,-0.0012561416217036164,0.020861406564980884
11,6,1-5,adjust,-0.25211306506778336,-0.00013350391308802545,0.008704988038364704
11,7,1-5,adjust,-0.1801708622949299,0.0005945760104021763,0.002004781502059492
11,8,1-5,adjust,0.17104829541043573,0.0004482339426231999,0.002409413326262115
11,9,1-5,adjust,-0.1100162505802123,0.0017797131845418868,0.006232425450095062
12,2,1-7,adjust,-0.1091148191613824,0.00350563727350029,0.0038299181357328393
12,3,1-7,adjust,-0.3877623461512721,0.00308944588599387,0.00023743098307588633
12,4,1-7,adjust,-0.3692980907147273,0.0006717261494815664,0.0029456508641438816
12,5,1-7,adjust,0.019482671762598165,0.0003235825490512722,0.00652028347779806
12,6,1-7,adjust,-0.09781802259744544,6.0584978222259816e-05,0.012025519971803905
12,9,1-8,adjust,-0.1298299863267511,2.236147804622986e-05,0.01672911803796552
13,2,1-4,adjust,0.07484324607807095,-0.0016942427116987827,0.011191265775886233
13,3,1-4,adjust,-0.02309017579894737,-0.0008859189222505759,0.015363685928510925
13,6,1-5,adjust,-0.15822970705513323,-0.00010366219244109477,0.0052248754315784305
13,7,1-5,adjust,-0.12755822974013367,0.0004900164517259308,0.00046630938105297746
13,8,1-5,adjust,0.13448112094591616,0.0004099680367149538,0.0026620592395630513
13,9,1-5,adjust,-0.04710163691423683,0.0014117740028173266,0.0053824994115821735
14,2,1-7,adjust,-0.10298455427772064,0.0031204297184828644,0.002974210452173842
14,3,1-7,adjust,-0.29774200631114256,0.002692910500532378,0.00011890081513240701
14,4,1-7,adjust,-0.3038750640593797,0.0006586559964877162,0.002407044349442592
14,5,1-7,adjust,-0.021808915549699378,0.00030744457848661547,0.005249083778020179
14,6,1-7,adjust,-0.0728770461873554,3.0020871640971187e-06,0.009623442257694178
14,9,1-8,adjust,-0.06649408654706453,0.00019999199265526246,0.01320703687080746
15,2,1-4,adjust,0.05521490044181121,-0.0013199101672617876,0.008492697511545128
15,3,1-4,adjust,0.00018722218901622532,-0.0006531917086179099,0.011201841200914647
15,6,1-5,adjust,-0.10350843119717174,-8.367631495326822e-05,0.002840031668989357
15,7,1-5,adjust,-0.09517853862331009,0.00037080094693545286,0.0004827188646373482
15,8,1-5,adjust,0.10348420318258506,0.00033885859954883526,0.0026631558496753834
15,9,1-5,adjust,-0.01645283431430316,0.0010706770587145605,0.004565304164314689
16,2,1-7,adjust,-0.09294317475209858,0.0027220150938638975,0.002295896446020426
16,3,1-7,adjust,-0.23294152595642703,0.0022990145012125483,1.1482888916624195e-06
16,4,1-7,adjust,-0.2480410244673854,0.0006100565458562521,0.0020260503127589
16,5,1-7,adjust,-0.04373260097186704,0.0002791752246068401,0.004311112525955005
16,6,1-7,adjust,-0.057949316821722295,-2.801790041994652e-05,0.007825673204017936
16,9,1-8,adjust,-0.031051520488452774,0.0002889807056413821,0.010531778134960784
17,2,1-4,adjust,0.0424027920021535,-0.0010577179700112563,0.006378905940765051
17,3,1-4,adjust,0.011565645337360073,-0.0005025520816649434,0.00804831883051583
17,6,1-5,adjust,-0.07134069559184761,-7.008786256317732e-05,0.001221057031651861
17,7,1-5,adjust,-0.07490357139522134,0.0002581785949125341,0.0010406311288800269
17,8,1-5,adjust,0.07805487629183093,0.0002595666663375264,0.0025225372587903
17,9,1-5,adjust,-0.0028739370671016034,0.0007772422894460181,0.003818479256316471
18,2,1-7,adjust,-0.08151348893804349,0.0023376792794658425,0.0017618484296683075
18,3,1-7,adjust,-0.18455570261485346,0.0019337343873181015,0.0001007483040728888
18,4,1-7,adjust,-0.20110572890771983,0.0005445151062501756,0.0017442572613224276
18,5,1-7,adjust,-0.05378383544551327,0.0002465771483678772,0.003599885850761025
18,6,1-7,adjust,-0.048237782002764726,-4.324953050451364e-05,0.006452004498789837
18,9,1-8,adjust,-0.011513191889038366,0.00032616881032915984,0.008471153810900614
19,2,1-4,adjust,0.03379021216633972,-0.000870298378320875,0.004730285751474187
19,3,1-4,adjust,0.016561400505716327,-0.00040162437328665707,0.0056635906081862345
19,6,1-5,adjust,-0.05213805386987908,-6.054435650185657e-05,0.00013928040787464314
19,7,1-5,adjust,-0.06179840142270295,0.00016148373133711917,0.0013410192335683458
19,8,1-5,adjust,0.05769905071315565,0.00018478171923505638,0.0023097620346363753
19,9,1-5,adjust,0.002007604596906239,0.0005363911888113566,0.0031585439830673473
20,2,1-7,adjust,-0.07010507223202182,0.0019833624161701615,0.001343893006015858
20,3,1-7,adjust,-0.14738073646551328,0.0016085875723344015,0.00018118581321728187
20,4,1-7,adjust,-0.1621178845170984,0.0004735484967790311,0.0015256257116444687
20,5,1-7,adjust,-0.05673634933373193,0.00021396780086236158,0.003045749718070533
20,6,1-7,adjust,-0.04128793164328609,-4.924335925534069e-05,0.005380819752346284
20,9,1-8,adjust,-0.001024180463684362,0.00033285012414080445,0.00686508514015372
21,2,1-4,adjust,0.02778657349405575,-0.000732415574958889,0.0034515402714044713
21,3,1-4,adjust,0.01819615847056066,-0.00033122439604421877,0.003868381137031566
21,6,1-5,adjust,-0.04036806980630726,-5.349686264217059e-05,0.0005653130137138283
21,7,1-5,adjust,-0.052898040559658493,8.350927875950787e-05,0.0014738885408818198
21,8,1-5,adjust,0.04172311820126391,0.00012020740216369938,0.002067904233693851
21,9,1-5,adjust,0.0027297432346372053,0.00034546575817139935,0.0025891483346836817
22,2,1-7,adjust,-0.05945875706355348,0.0016668711039522941,0.0010185763328311958
22,3,1-7,adjust,-0.11823306446806249,0.001326875245600475,0.000239690316769737
22,4,1-7,adjust,-0.1300422241949906,0.00040397515329613663,0.0013481274468439605
22,5,1-7,adjust,-0.05560108796137596,0.00018355952411733565,0.0026029041848225722
22,6,1-7,adjust,-0.03586615961341492,-4.9971044595936725e-05,0.0045294449769622035
22,9,1-8,adjust,0.004339483373472684,0.00032188605636972395,0.005600480752866969
23,2,1-4,adjust,0.023422811755984135,-0.0006274044103710247,0.002466282910683098
23,3,1-4,adjust,0.018109278329308892,-0.00027987475293563593,0.0025263283548780297
23,6,1-5,adjust,-0.032849129117964324,-4.79631253164311e-05,0.0010054601470730709
23,7,1-5,adjust,-0.04644630328662106,2.3664409914833382e-05,0.0014998234903817105
23,8,1-5,adjust,0.02939546620213215,6.76204696295498e-05,0.001822772577630312
23,9,1-5,adjust,0.0016913485740777151,0.00019852529525574324,0.0021065396041929966
24,2,1-7,adjust,-0.049917340550227896,0.0013905810063177084,0.0007666687570075565
24,3,1-7,adjust,-0.09507359743122915,0.0010873893352518712,0.00027833884002120786
24,4,1-7,adjust,-0.1038626539354006,0.0003395436578927347,0.0011984178400996329
24,5,1-7,adjust,-0.0522548432221212,0.00015632678834040826,0.0022409863922997425
24,6,1-7,adjust,-0.03136301174827842,-4.7828600699488676e-05,0.003841097216257113
24,9,1-8,adjust,0.006825302522998914,0.00030124940381791304,0.004595819129742035
25,2,1-4,adjust,0.020107675742694474,-0.0005444507283633468,0.0017131275415934507
25,3,1-4,adjust,0.017181677894316016,-0.00024066628205719485,0.0015325985044624213
25,6,1-5,adjust,-0.02776218112859108,-4.334544516888575e-05,0.0012610284142890807
25,7,1-5,adjust,-0.041422147853280744,-2.0202176898086637e-05,0.0014595023853880027
25,8,1-5,adjust,0.020029547206895638,2.6718228066232828e-05,0.0015890469541847301
25,9,1-5,adjust,0.00011094762702750627,8.858727566325277e-05,0.0017030862675669442
26,2,1-7,adjust,-0.04159120891009347,0.00115349094192571,0.0005725842576331751
26,3,1-7,adjust,-0.07652519014624824,0.0008866265141328934,0.00030026671915940573
26,4,1-7,adjust,-0.08263816864604004,0.0002820407570590812,0.0010684682620221721
26,5,1-7,adjust,-0.04784918461115156,0.00013254200790335815,0.0019396255075943194
26,6,1-7,adjust,-0.027480356579528395,-4.424883217485893e-05,0.0032762564475164405
26,9,1-8,adjust,0.007720038035565346,0.00027592406956945174,0.0037913344855395634
27,2,1-4,adjust,0.01748010175635445,-0.00047662951693798765,0.0011427397178338362
27,3,1-4,adjust,0.015881827122281197,-0.00020942259546031985,0.000806066650463824
27,6,1-5,adjust,-0.024075806735202456,-3.929673926374529e-05,0.0013888305456126462
27,7,1-5,adjust,-0.03724593316091575,-5.0781907495321525e-05,0.0013801090365805875
27,8,1-5,adjust,0.013021019223565479,-3.7904598547321823e-06,0.0013743429679461718
27,9,1-5,adjust,-0.001433699157318448,8.773760465483302e-06,0.001369486374470004
28,2,1-7,adjust,-0.0344599211833246,0.0009526844460955731,0.0004238042272561398
28,3,1-7,adjust,-0.061606958456617976,0.0007201006338946067,0.00030883704413693105
28,4,1-7,adjust,-0.06552917942661426,0.00023203745282197093,0.000953456886439698
28,5,1-7,adjust,-0.043075044379881605,0.00011210082082624596,0.0016849281425319268
28,6,1-7,adjust,-0.02407046219194908,-4.007592597207156e-05,0.0028069727733790796
28,9,1-8,adjust,0.007758923654227508,0.00024900037641612573,0.003142573079974999
29,2,1-4,adjust,0.015319299289805405,-0.00041954398161401536,0.0007155382613740907
29,3,1-4,adjust,0.014455677052856176,-0.00018360915482776768,0.00028373680161763694
29,6,1-5,adjust,-0.021211430214130106,-3.5626469979239487e-05,0.0014293789503186975
29,7,1-5,adjust,-0.03359847672001581,-7.076473921299969e-05,0.0012796676896771897
29,8,1-5,adjust,0.00785899626352925,-2.556158459052175e-05,0.001181887444004258
29,9,1-5,adjust,-0.002704051221714032,-4.714143236901058e-05,0.001096102031021341
30,2,1-7,adjust,-0.028434334870534487,0.0007843164144509124,0.00031034829550173637
30,3,1-7,adjust,-0.04958703619250506,0.0005831025884893383,0.0003072086860798225
30,4,1-7,adjust,-0.05180579429643181,0.00018938493170809944,0.0008504620775347656
30,5,1-7,adjust,-0.038333153669651045,9.471540735276186e-05,0.0014672142490750205
30,6,1-7,adjust,-0.021055272190354673,-3.5795102559417446e-05,0.0024131099987882345
30,9,1-8,adjust,0.007360141742278538,0.00022234652375065065,0.002616051310341036
31,2,1-4,adjust,0.013489769870651586,-0.0003704089063497722,0.0003998604895821249
31,3,1-4,adjust,0.013029939724516685,-0.00016167803118557924,8.336491009850151e-05
31,6,1-5,adjust,-0.018848666876750086,-3.223735277228729e-05,0.0014115797429551237
31,7,1-5,adjust,-0.03031071244981751,-8.257798086203838e-05,0.0011699833243163655
31,8,1-5,adjust,0.004123538143256899,-4.027705953172905e-05,0.0010122652497993178
31,9,1-5,adjust,-0.0036340299404762724,-8.451677113585785e-05,0.0008737229673563793
32,2,1-7,adjust,-0.023394174047089537,0.0006442461241645689,0.00022430950651178194
32,3,1-7,adjust,-0.03989952192805477,0.00047112003048793136,0.00029813931389661183
32,4,1-7,adjust,-0.04084554168221628,0.00015353873877859352,0.0007576638732592041
32,5,1-7,adjust,-0.03384335710591083,8.00261374769417e-05,0.001279560959034426
32,6,1-7,adjust,-0.018387298105632863,-3.1673700258526885e-05,0.0020798624590488554
32,9,1-8,adjust,0.006759468980927896,0.00019703838241862608,0.0021862659459444232
33,2,1-4,adjust,0.011907635881998694,-0.00032744799186898356,0.00017047464518003228
33,3,1-4,adjust,0.011667771222279225,-0.00014267232619528944,0.0003332860589778125
33,6,1-5,adjust,-0.01681259229575194,-2.9084480565281398e-05,0.0013560255373083095
33,7,1-5,adjust,-0.027297327306583737,-8.828463937948828e-05,0.001058641921997598
33,8,1-5,adjust,0.001476553568616651,-4.947570420468789e-05,0.000864547339218792
33,9,1-5,adjust,-0.00423925611646431,-0.00010780729919685286,0.0006939641557165412
34,2,1-7,adjust,-0.019210218197520394,0.0005284199479183223,0.00015945759452488896
34,3,1-7,adjust,-0.032096057843891926,0.0003800489548306955,0.00028392245702490494
34,4,1-7,adjust,-0.03212534410862642,0.00012376599946123103,0.000673864316915088
34,5,1-7,adjust,-0.029714384637546033,6.76633765578399e-05,0.0011168671071086552
34,6,1-7,adjust,-0.0160316101377968,-2.78479544398636e-05,0.0017961078151618403
34,9,1-8,adjust,0.006087761231268209,0.0001736415440584892,0.0018335974222189262
35,2,1-4,adjust,0.010520050267721967,-0.00028950599665874285,7.363200254737926e-06
35,3,1-4,adjust,0.010398573543425037,-0.00012598727542531798,0.0004955233786745832
35,6,1-5,adjust,-0.015008883146379085,-2.615001114277081e-05,0.0012773256838736471
35,7,1-5,adjust,-0.024517588263630003,-8.956838396629407e-05,0.0009503747335169082
35,8,1-5,adjust,-0.0003497734284865997,-5.4482800061868756e-05,0.0007370083710875713
35,9,1-5,adjust,-0.004568851834859857,-0.00012062201820389359,0.0005494346236105329
36,2,1-7,adjust,-0.01575685637686503,0.0004330839962381087,0.00011090712803307535
36,3,1-7,adjust,-0.025816123592377692,0.00030628011366528484,0.00026639703500255384
36,4,1-7,adjust,-0.025210776521904493,9.927383093926806e-05,0.0005982057221363871
36,5,1-7,adjust,-0.025988119784905055,5.727940082179682e-05,0.0009752524083880154
36,6,1-7,adjust,-0.013958180957560953,-2.437636156322977e-05,0.0015533086219905506
36,9,1-8,adjust,0.005415633427163805,0.00015239832871634815,0.0015428160853574102
37,2,1-4,adjust,0.009292665757759128,-0.0002558041343969413,0.00010527608097266213
37,3,1-4,adjust,0.009233858651155741,-0.00011122654265880133,0.0005928684864937651
37,6,1-5,adjust,-0.01338686480231452,-2.342822364925249e-05,0.0011857687335460638
37,7,1-5,adjust,-0.021952804238920837,-8.776192127088329e-05,0.0008479906414238447
37,8,1-5,adjust,-0.0015647898748099194,-5.639445196101594e-05,0.0006275737417497993
37,9,1-5,adjust,-0.004680844272419834,-0.0001258237612667147,0.00043376820921512326
