slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg,max_tangential_error_m
0,,0,0,0,0.0,0.0,12.01113974324003,7.414802070024728,12.000000000000014,0.2799999999999826,0.45999999999999375,0.48869219055838187
1,0-1-4-5,4,4,4,12.543490873238746,12.543490873238746,10.09725678947205,5.763450920772046,10.047051496755316,0.5492701795185776,0.5070370406376554,0.9586573115619501
2,0-1-7-8,4,8,8,8.700689707692424,21.24418058093117,7.720659056399457,4.58586463343857,7.666494697047725,0.504103483202319,0.4543878885223265,0.8798265552652396
3,0-1-4-5,4,12,12,7.393590186368758,28.63777076729993,6.793241139794079,3.733576346924126,6.577141220315767,0.9433975000721646,0.7592213611889633,1.6465392531342715
4,0-1-7-8,4,16,16,5.532812810268366,34.170583577568294,5.233507353972425,3.030813436028013,5.041989590215579,0.7842427298463175,0.66523013749471,1.3687617770646643
5,0-1-4-5,4,20,20,4.469240735737676,38.63982431330597,4.828216027784758,2.612727910830966,4.451534775799729,1.048157231675217,0.8633381498954833,1.8293794771321537
6,0-1-7-8,4,24,24,3.7290449395934733,42.368869252899444,3.738825937659856,2.156168170193676,3.424040658035125,0.8459924084847212,0.6670038335277582,1.4765352974935197
7,0-1-4-5,4,28,28,2.7853721146015906,45.15424136750104,3.5931822699288967,1.9603746828306952,3.1150536794362864,1.0105172857195288,0.8657404767176828,1.7636853784122053
8,0-1-7-8,4,32,32,2.64470597230376,47.7989473398048,2.785984097042297,1.6306308696224772,2.399194802505818,0.8018571405960283,0.6334783091787486,1.399504723402778
9,0-1-4-5,4,36,36,1.8042663050885823,49.60321364489338,2.7596199567303725,1.5413130372536645,2.349910773726279,0.9084552045952786,0.8062160423819762,1.5855534427066331
10,0-1-7-8,4,40,40,1.9581822017323545,51.561395846625736,2.134084391125044,1.282040118588132,1.9054620761012444,0.711502099665039,0.5864349676156522,1.2418054274007775
11,0-1-4-5,4,44,44,1.2215152997419276,52.78291114636767,2.1576141798030677,1.2419203157083478,1.9054620761012444,0.783473713059388,0.7144600032968356,1.3674195895711616
12,0-1-7-8,4,48,48,1.5082515877682883,54.29116273413595,1.6590126994308507,1.0286279052295142,1.5361639853865228,0.6064615027579006,0.5136017830215209,1.0584750009718036
13,0-1-4-5,4,52,52,0.8632368623566538,55.1543995964926,1.70049706735748,1.0113479361832542,1.5361639853865228,0.657220917993635,0.610674739872664,1.1470668931968577
14,0-1-7-8,4,56,56,1.2242303115203612,56.37862990801296,1.2970474034203323,0.833295499937275,1.2322889213271395,0.5029285117066641,0.431887286736405,0.8777758431436136
15,0-1-4-5,4,60,60,0.6326544617037181,57.01128436971668,1.3426678935378284,0.8268560313452604,1.2322889213271395,0.5403536398233951,0.5075125686569066,0.9430950140053795
16,0-1-7-8,4,64,64,1.0249334598435662,58.03621782956024,1.0359615538876696,0.6785100271921132,0.9842478968597561,0.40862981186454456,0.35155259200759303,0.7131935638841291
17,0-1-4-5,4,68,68,0.4770811966156106,58.51329902617585,1.0582155654864924,0.6771579730765303,0.9842478968597561,0.4374239251294533,0.41215536760438454,0.7634487720506123
18,0-1-7-8,4,72,72,0.8669522455766789,59.38025127175253,0.8278055542358305,0.554745132422596,0.7831421679520361,0.3266291060368267,0.2782162110358044,0.5700753333188313
19,0-1-4-5,4,76,76,0.3677895718633652,59.74804084361589,0.8307763058437944,0.555459363183978,0.7831421679520361,0.34964048757575544,0.3280806350306733,0.6102377706475259
20,0-1-7-8,4,80,80,0.7339594297976286,60.48200027341352,0.6590139969749734,0.455743374484877,0.6210242834349344,0.25747520870377405,0.21444233933925005,0.44937901341404185
21,0-1-4-5,4,84,84,0.28869880795779296,60.77069908137131,0.6590139969749734,0.4568010835989861,0.6210242834349344,0.27645296866889324,0.2564066606340418,0.48250145301849123
22,0-1-7-8,4,88,88,0.6187794502017944,61.389478531573104,0.5228956736959065,0.3767216803043655,0.5128497699180059,0.20042861715559426,0.16090198138525835,0.3498139284584312
23,0-1-4-5,4,92,92,0.23023939091410817,61.61971792248721,0.5228956736959065,0.3771187190258518,0.49098205923993987,0.21646425929108126,0.19684960614740987,0.3778014037520095
24,0-1-7-8,4,96,96,0.519043387958903,62.138761310446114,0.4552038370015656,0.3137366063590477,0.44863762905177396,0.15416143969359988,0.11717518341435351,0.26906247022679963
