slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg,max_tangential_error_m
0,,0,0,0,0.0,0.0,12.01113974324003,7.414802070024728,12.000000000000014,0.2799999999999826,0.45999999999999375,0.48869219055838187
1,0-1-4-5,4,4,4,28.326499762799497,28.326499762799497,7.709903671520375,4.754851637984507,7.000000000000014,1.900000000000009,1.9000000000000057,3.316125578789242
2,0-1-7-8,4,8,8,25.385299890475636,53.711799653275136,2.8464700298593835,1.5424274034454342,2.000000000000014,1.1490750199882962,1.1490750199883237,2.0055142451215424
3,0-1-4-5,4,12,12,8.253535263750443,61.96533491702558,1.0623883922664883,0.6758838019234417,0.7954351833242157,0.559642445684003,0.5596424456839983,0.9767603311099382
4,0-1-7-8,4,16,16,4.593733066166862,66.55906798319243,0.4370707634354588,0.26132154753684644,0.37938236959568883,0.1750424109423488,0.1750424109423605,0.3055066401572937
5,0-1-4-5,4,20,20,1.4777843365711147,68.03685231976355,0.17550634494401274,0.08918808262793838,0.17283426827962955,0.03289229095000093,0.03285416371616634,0.05740787756014498
6,0-1-7-8,4,24,24,0.41732587543917476,68.45417819520273,0.11473772275616302,0.0684594248401072,0.09932676996112377,0.04588759371187091,0.045887593711860575,0.08008895960895936
7,0-1-4-5,4,28,28,0.3876897056308828,68.8418679008336,0.04529765673595451,0.023003590098222358,0.04460912023586161,0.008475217756294454,0.008472467716870824,0.01479204546708246
8,0-1-7-8,4,32,32,0.10618462211617265,68.94805252294978,0.02957862241411982,0.017662052545638008,0.02561316560731086,0.011822601501109933,0.011822601501101815,0.02063433223455924
9,0-1-4-5,4,36,36,0.10010112060784353,69.04815364355763,0.011680302082759636,0.005930594653987135,0.011502827905772506,0.002184396683038972,0.0021842134955605275,0.003812491428867304
10,0-1-7-8,4,40,40,0.02740742303784303,69.07556106659547,0.0076246201793000205,0.004553769879829487,0.006602937394973196,0.003047100170182878,0.003047100170178396,0.005318193060777077
11,0-1-4-5,4,44,44,0.030428155556442155,69.1059892221519,0.003011118175428845,0.001639224160220058,0.0029653709199948253,0.0011621462670579111,0.0011624997783954427,0.0020283278749921863
12,0-1-7-8,4,48,48,0.009717161779482184,69.11570638393138,0.0014088368695642662,0.0005848369219925742,0.0006721484057692351,0.0007585204771074292,0.0007585204771061171,0.0013238679769322914
13,0-1-4-5,4,52,52,0.0024545360148737314,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
14,0-1-7-8,4,56,56,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
15,0-1-4-5,4,60,60,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
16,0-1-7-8,4,64,64,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
17,0-1-4-5,4,68,68,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
18,0-1-7-8,4,72,72,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
19,0-1-4-5,4,76,76,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
20,0-1-7-8,4,80,80,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
21,0-1-4-5,4,84,84,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
22,0-1-7-8,4,88,88,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
23,0-1-4-5,4,92,92,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
24,0-1-7-8,4,96,96,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
25,0-1-4-5,4,100,100,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
26,0-1-7-8,4,104,104,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
27,0-1-4-5,4,108,108,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
28,0-1-7-8,4,112,112,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
29,0-1-4-5,4,116,116,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
30,0-1-7-8,4,120,120,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
31,0-1-4-5,4,124,124,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
32,0-1-7-8,4,128,128,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
33,0-1-4-5,4,132,132,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
34,0-1-7-8,4,136,136,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
35,0-1-4-5,4,140,140,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
36,0-1-7-8,4,144,144,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
37,0-1-4-5,4,148,148,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
38,0-1-7-8,4,152,152,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
39,0-1-4-5,4,156,156,0.0,69.11816091994626,2.5618982671915015e-13,1.4911995775621936e-13,1.7053025658242404e-13,1.2722218725854067e-13,1.4921397450962104e-13,2.220446049250313e-13
