phase,receiver_id,transmitters,selected_pair,best_sigma,second_sigma,relative_selection_gap,own_block_identity_error,two_configuration_phase
14,2,0-1-4-5,1-4,0.006879094501123397,0.006569541801853657,0.04499904736287426,7.253859300250428e-16,1
14,3,0-1-4-5,1-5,0.0070710678118654745,0.0068790945011233985,0.027149125966510843,3.396862205205276e-16,1
14,6,0-1-4-5,1-5,0.006218192675908027,0.006019996690288536,0.031873567763087765,1.8724254621096337e-15,1
14,7,0-1-4-5,1-4,0.007071067811865474,0.006845687652806596,0.03187356776308706,5.576882169957362e-16,1
14,8,0-1-4-5,1-5,0.006845687652806598,0.006019996690288539,0.12061475842818252,4.7194778489729535e-16,1
14,9,0-1-4-5,1-5,0.006218192675908026,0.005777158104439242,0.07092648852415634,8.475871036264302e-16,1
26,2,0-1-7-8,1-7,0.005777158104439228,0.005105851043008836,0.1162002232403079,5.729878868244106e-16,2
26,3,0-1-7-8,1-7,0.006019996690288546,0.004615311732486024,0.2333365000131244,1.8825124715603894e-16,2
26,4,0-1-7-8,1-7,0.007071067811865476,0.004468205281232853,0.36810034918134105,5.875999916553826e-16,2
26,5,0-1-7-8,1-7,0.006019996690288542,0.0044682052812328584,0.25777280103144135,2.257856850699595e-16,2
26,6,0-1-7-8,1-7,0.005777158104439241,0.004615311732486029,0.20111036446456865,7.416884282763896e-16,2
26,9,0-1-7-8,1-8,0.007071067811865475,0.006879094501123398,0.027149125966511086,9.021890723263312e-16,2
