case,threshold,threshold_m,first_slot,transmitter_uses_at_first,endpoint_m_at_first,all_recorded_slots_after_first_below
gain_0.25,2cm,0.02,71,284,66.30519572531801,True
gain_0.25,1cm,0.01,80,320,66.3719913578209,True
gain_0.25,1mm,0.001,101,404,66.42234220062014,True
gain_0.5,2cm,0.02,27,108,64.70566851479464,True
gain_0.5,1cm,0.01,31,124,64.78127542635883,True
gain_0.5,1mm,0.001,41,164,64.83413913534511,True
gain_1,2cm,0.02,9,36,69.04815364355763,True
gain_1,1cm,0.01,10,40,69.07556106659547,True
gain_1,1mm,0.001,13,52,69.11816091994626,True
radial_limit_2.5m,2cm,0.02,31,124,67.79969444173483,True
radial_limit_2.5m,1cm,0.01,34,136,67.84916631717766,True
radial_limit_2.5m,1mm,0.001,43,172,67.89968185029818,True
radial_limit_10m,2cm,0.02,27,108,64.7755268996242,True
radial_limit_10m,1cm,0.01,31,124,64.85113378081925,True
radial_limit_10m,1mm,0.001,41,164,64.90399748778147,True
angular_limit_1deg,2cm,0.02,27,108,63.82918006035426,True
angular_limit_1deg,1cm,0.01,31,124,63.9047869672669,True
angular_limit_1deg,1mm,0.001,41,164,63.95765067594397,True
angular_limit_4deg,2cm,0.02,27,108,64.70566851479464,True
angular_limit_4deg,1cm,0.01,31,124,64.78127542635883,True
angular_limit_4deg,1mm,0.001,41,164,64.83413913534511,True
