slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg,max_tangential_error_m
0,,0,0,0,0.0,0.0,12.01113974324003,7.414802070024728,12.000000000000014,0.2799999999999826,0.45999999999999375,0.48869219055838187
1,0-1-4-5,4,4,4,25.077526374411732,25.077526374411732,8.435184344741195,4.324803945216694,8.094102993510575,1.308540359037142,1.1140740812753194,2.2838337660426866
2,0-1-7-8,4,8,8,13.701706769362087,38.77923314377382,4.538286417483351,2.5250180415160988,4.291653648261558,0.8279534149491804,0.81467609082096,1.4450513143994037
3,0-1-4-5,4,12,12,7.174792220133486,45.954025363907306,3.9780219450044587,2.0051272447623276,3.3290281280995657,1.2274705656138614,1.1172944311245914,2.142340284127897
4,0-1-7-8,4,16,16,5.712469365491932,51.66649472939924,2.198586215529462,1.24913304339229,1.8586959151995188,0.7125743020938737,0.6228444180672312,1.243676773663882
5,0-1-4-5,4,20,20,2.530301366043931,54.19679609544317,2.1846037952321598,1.1669203958254388,1.8586959151995188,0.8407829280643674,0.8268287155265241,1.4674430389281845
6,0-1-7-8,4,24,24,2.949866645919365,57.14666274136253,1.1887103020262662,0.7149063259028323,1.079634159559106,0.46410937450966244,0.4213421701357589,0.8100236674565053
7,0-1-4-5,4,28,28,1.1289108855728938,58.275573626935426,1.2404230653466353,0.6995309548058213,1.079634159559106,0.528827388722086,0.5288273887220782,0.922977910792433
8,0-1-7-8,4,32,32,1.7994584168106968,60.07503204374612,0.6484108908462245,0.4143887495007699,0.6147195134917638,0.27095305766957406,0.24755114718356452,0.47290229746801415
9,0-1-4-5,4,36,36,0.5787898698333083,60.65382191357943,0.6969649593109098,0.415607081460873,0.6147195134917638,0.30971680972006604,0.3097168097200722,0.5405578078387929
10,0-1-7-8,4,40,40,1.1547619422269233,61.808583855806354,0.3657491027297963,0.2430880991562415,0.34472093873725385,0.14764645028664297,0.12741000820187054,0.25769166863840454
11,0-1-4-5,4,44,44,0.3233014885443465,62.1318853443507,0.38292262793844967,0.2472460902128027,0.34472093873725385,0.1699811313929283,0.16998113139292315,0.2966730409071694
12,0-1-7-8,4,48,48,0.7289335867909945,62.860818931141694,0.2110647308545912,0.14925647111884666,0.2079433542152458,0.07570745762125283,0.056221424012747434,0.1321344403804936
13,0-1-4-5,4,52,52,0.19495566422077867,63.05577459536247,0.20490121198411906,0.15021169038046148,0.19100023750118567,0.08952042954706932,0.08786549657377662,0.15624262433959757
14,0-1-7-8,4,56,56,0.4537433786519583,63.50951797401443,0.15614421169364393,0.09830548728022662,0.1537913999031133,0.03612264460152295,0.031215122305304988,0.06304590828243306
15,0-1-4-5,4,60,60,0.13815247705472297,63.64767045106915,0.13486638224850406,0.09483571239826373,0.13282623130690752,0.046576863988463155,0.042316291931669525,0.08129196318522602
16,0-1-7-8,4,64,64,0.2813449931633775,63.92901544423253,0.11676318821644964,0.06895871480640504,0.1130305838781851,0.028712262850396693,0.02206813141928876,0.05011235224374744
17,0-1-4-5,4,68,68,0.11577768433795595,64.04479312857049,0.09811444213021112,0.06263785529365609,0.09662527163338552,0.023296054699437456,0.02042034290011685,0.04065928572298816
