slot,receiver_id,selected_pair,status,radial_command_m,angular_command_rad,consistency_rad
1,2,1-4,adjust,1.8299676800953164,-0.021189590081379515,0.05263744331377065
1,3,1-4,adjust,-2.5,-0.02650352908961503,0.0969432253337545
1,6,1-5,adjust,-2.5,-0.001530692163487409,0.06983960150870229
1,7,1-5,adjust,-2.5,-0.005145954778590767,0.03559631111298667
1,8,1-5,adjust,0.6073413362894434,-0.0061829633139490634,0.012867707486730377
1,9,1-5,adjust,-2.5,-0.005406765955684717,0.006538654048668433
2,2,1-7,adjust,0.07317464770494178,0.01005590690421951,0.010389806553029571
2,3,1-7,adjust,-2.5,0.007776175746186794,0.00024484550849826877
2,4,1-7,adjust,-1.6857363758700017,-0.0024533268466816346,0.009663925853544102
2,5,1-7,adjust,2.1818889243317683,-0.0008968934296917544,0.020143205863747453
2,6,1-7,adjust,-2.5,0.003560812664239377,0.035772228318461906
2,9,1-8,adjust,-2.5,-0.016547099995323604,0.0553285566495197
3,2,1-4,adjust,0.6335653515977305,-0.010894745126117787,0.029262009571486
3,3,1-4,adjust,-2.1770827283167757,-0.008410906004105455,0.047082344986125076
3,6,1-5,adjust,-2.5,-0.0005849645153132271,0.02685751292223499
3,7,1-5,adjust,-1.2812401983627968,0.0017840351397712282,0.011050407203279237
3,8,1-5,adjust,0.6311908199039433,0.0008357028183711442,0.0005290284566799279
3,9,1-5,adjust,-2.5,0.007109510920133084,0.008257304695867858
4,2,1-7,adjust,-0.2704894074954047,0.010203307072585379,0.00603992557812757
4,3,1-7,adjust,-2.2611850491332706,0.009884862334343098,0.0005841747118226759
4,4,1-7,adjust,-1.2538323898067565,0.0010901406538203816,0.004261775615410186
4,5,1-7,adjust,0.5119997001199593,0.0005977862271334755,0.009660587666143326
4,6,1-7,adjust,-1.5463560120467785,0.0008431206156249195,0.017914343147081662
4,9,1-8,adjust,-2.4712044983280017,-0.0021664946361510877,0.0268879173238037
5,2,1-4,adjust,0.246997534174149,-0.005361509595068957,0.01603733050817478
5,3,1-4,adjust,-0.4842631382307496,-0.0027749979746134646,0.022955746707094195
5,6,1-5,adjust,-1.1856274606912403,-0.00028655174525664043,0.00940428905464578
5,7,1-5,adjust,-0.4511790974792082,0.0019770389610462625,0.0021052043269346307
5,8,1-5,adjust,0.4154612179593195,0.0016021165453451028,0.0027195661926913543
5,9,1-5,adjust,-1.038483544827056,0.005366947280471446,0.006842535931851214
6,2,1-7,adjust,-0.2798540016984969,0.008388127252936277,0.0033503950661499435
6,3,1-7,adjust,-0.9859296521745365,0.007539122987911941,0.00028409283521182413
6,4,1-7,adjust,-0.829651723244136,0.001706314981548305,0.002432926754029863
6,5,1-7,adjust,-0.007181675086773096,0.0007694724084738176,0.005475508854380533
6,6,1-7,adjust,-0.4678222026177824,7.849965577731665e-05,0.01016043997305282
6,9,1-8,adjust,-0.590463961873272,0.0006818669499144505,0.014368599672131239
7,2,1-4,adjust,0.11855532818837487,-0.002942444659739263,0.008447852325518241
7,3,1-4,adjust,-0.06693006946503265,-0.0013200872308221064,0.010947954320646311
7,6,1-5,adjust,-0.35822398585561704,-0.0001775957989899223,0.0022907706509258923
7,7,1-5,adjust,-0.20779873774728097,0.0010942842831581341,0.0008738538211492575
7,8,1-5,adjust,0.22850659714822136,0.0010489881952398306,0.0029539299461769767
7,9,1-5,adjust,-0.21267536832147635,0.002685652917189008,0.004761088951087043
8,2,1-7,adjust,-0.2127175147756415,0.006039153759555127,0.0017888953493171297
8,3,1-7,adjust,-0.511348856942728,0.005060548355073096,6.527546790552898e-05
8,4,1-7,adjust,-0.515507628593474,0.0014332979320458125,0.0017022523833910732
8,5,1-7,adjust,-0.1334272336151821,0.0006155139236485485,0.0035458920892633868
8,6,1-7,adjust,-0.1889074560925524,-0.00010542826755142873,0.0063812012929233015
8,9,1-8,adjust,-0.120761053269934,0.000945960193841595,0.008445993067157207
9,2,1-4,adjust,0.07083001904522607,-0.0018805796227464688,0.00416277372526117
9,3,1-4,adjust,0.024702523126493472,-0.0008185242198027704,0.004746155473199171
9,6,1-5,adjust,-0.13905443853811272,-0.00013101035297632342,0.0004853909922903363
9,7,1-5,adjust,-0.13187032172333618,0.00038793589490681917,0.0016310925937267548
9,8,1-5,adjust,0.11016432117230043,0.00047685072446299775,0.0023813256298750828
9,9,1-5,adjust,-0.039730624514735774,0.0010426871529886556,0.0030381138455775492
10,2,1-7,adjust,-0.1448617758284902,0.004034630810077658,0.0009195475527473129
10,3,1-7,adjust,-0.29009958237644834,0.003204636677486139,0.0002617297486007433
10,4,1-7,adjust,-0.3078853905176991,0.0010060858617213849,0.0013022351407397706
10,5,1-7,adjust,-0.13834972313520247,0.00043464492982688447,0.00247890095907458
10,6,1-7,adjust,-0.1035318600518348,-0.00012532661000123292,0.004285701414958786
10,9,1-8,adjust,-0.008383330408768996,0.0008363743006657402,0.005223259669162994
11,2,1-4,adjust,0.04899252115669747,-0.001337386952691402,0.0018269012671264955
11,3,1-4,adjust,0.03781943114596632,-0.0005807785879315471,0.001609152294132616
11,6,1-5,adjust,-0.07581551328695497,-0.00010501550992946597,0.00141002748245908
11,7,1-5,adjust,-0.10031186284925873,-3.595390000417363e-06,0.0016048948505458212
11,8,1-5,adjust,0.04500179543732689,0.000118798551923035,0.0017322284458814376
11,9,1-5,adjust,-0.012457995676521979,0.00019130305306032345,0.0018442035298702455
12,2,1-7,adjust,-0.09361324307361661,0.0025852507031162188,0.0004512834224161253
12,3,1-7,adjust,-0.1700372059739644,0.0019646572503009647,0.0003283287039041521
12,4,1-7,adjust,-0.17891360421241198,0.0006472845701898252,0.001014267358491181
12,5,1-7,adjust,-0.11280482521737865,0.00029444720851465686,0.00179190821790404
12,6,1-7,adjust,-0.06763574492249418,-0.00010490455735628794,0.002984945927633624
12,9,1-8,adjust,0.014394101818696391,0.0006614592744994559,0.0033401462513143357
13,2,1-4,adjust,0.036146212492662415,-0.0009956022039504758,0.000617082824414228
13,3,1-4,adjust,0.033564265666379066,-0.0004325988689429306,0.00011701276213747756
13,6,1-5,adjust,-0.05218564621985044,-8.483362643305325e-05,0.0015565683764542056
13,7,1-5,adjust,-0.07982180828750819,-0.00017281791779670967,0.0013440766234202705
13,8,1-5,adjust,0.01254522050278397,-5.913302347473515e-05,0.0012053480038607064
13,9,1-5,adjust,-0.011789831434221408,-0.00019018309980456464,0.0010835171354374945
14,2,1-7,adjust,-0.058924027037596714,0.0016207622376964647,0.0002069062896562548
14,3,1-7,adjust,-0.1005116635204473,0.0011826183534598272,0.0003197995558288121
14,4,1-7,adjust,-0.10189347736134911,0.0003954811721978107,0.0007830053717718745
14,5,1-7,adjust,-0.08489058310400954,0.0001975245638796544,0.0013088831427273974
14,6,1-7,adjust,-0.04713282046344481,-7.95149754950574e-05,0.0021153072608266913
14,9,1-8,adjust,0.01568354549553281,0.0004972432851989156,0.002188809391380351
15,2,1-4,adjust,0.02711594272853222,-0.0007481394522834753,3.635804248584671e-05
15,3,1-4,adjust,0.026574741262515873,-0.0003250532986373026,0.0005099604730151487
15,6,1-5,adjust,-0.03908835439332192,-6.71279207713415e-05,0.00140117427601059
15,7,1-5,adjust,-0.06291050292710018,-0.00021916654442641917,0.0010512186148238327
15,8,1-5,adjust,-0.0019233411828255592,-0.0001272692934049397,0.0008228448898022746
15,9,1-5,adjust,-0.012907848208367826,-0.0003209254019029912,0.0006220572527743594
16,2,1-7,adjust,-0.036677786101937344,0.0010070975994181856,8.390752633444015e-05
16,3,1-7,adjust,-0.0595308868251743,0.0007056167896102365,0.0002775505436505334
16,4,1-7,adjust,-0.057140597520107674,0.00023351415480231538,0.0005953803782218999
16,5,1-7,adjust,-0.061849710268251416,0.00013300278043470028,0.000956493238674377
16,6,1-7,adjust,-0.03343330234284695,-5.8055666102469425e-05,0.0015101147492981035
16,9,1-8,adjust,0.012651501752824684,0.000364203537112524,0.0014615082143878935
17,2,1-4,adjust,0.020281436200229003,-0.0005592315911102808,0.00020761458714642676
17,3,1-4,adjust,0.020193468888868072,-0.00024287736673313717,0.0007018989687523236
17,6,1-5,adjust,-0.029642620199657944,-5.182118258485081e-05,0.0011548796146762894
17,7,1-5,adjust,-0.04852251386920331,-0.00020814642622136214,0.0007938135938966588
17,8,1-5,adjust,-0.007254901263618438,-0.0001386880088898364,0.0005582209778542355
17,9,1-5,adjust,-0.01236078636943028,-0.0003310353860670437,0.0003510205000638189
18,2,1-7,adjust,-0.02280439250586385,0.0006258039853243573,2.4962158398573408e-05
18,3,1-7,adjust,-0.03535385285854809,0.00042031691156119107,0.00022577372259151524
18,4,1-7,adjust,-0.03165541724385652,0.00013457342890599454,0.00044623804509305874
18,5,1-7,adjust,-0.044454709800539026,9.036775756519559e-05,0.000696829763543605
18,6,1-7,adjust,-0.023803422124313568,-4.1749595830920806e-05,0.001080949958507336
18,9,1-8,adjust,0.009428662982535915,0.00026323774567679943,0.0009903913548298885
19,2,1-4,adjust,0.01503867063285183,-0.0004142341763090366,0.00028118408367246145
19,3,1-4,adjust,0.015037028574807536,-0.0001798294206294403,0.0006913950995079601
19,6,1-5,adjust,-0.022278283070885953,-3.9172379429566614e-05,0.0009073653506112469
19,7,1-5,adjust,-0.03667778972068985,-0.00017578868345961046,0.0005875994670429934
19,8,1-5,adjust,-0.008305957353547814,-0.000125144135345542,0.00037895568004926635
19,9,1-5,adjust,-0.010683412820143677,-0.00029131901931740315,0.0001954409111369774
20,2,1-7,adjust,-0.014261153600713476,0.0003913555265819136,1.1579290215551684e-06
20,3,1-7,adjust,-0.021120342113658274,0.0002514165223463468,0.0001764170276934272
20,4,1-7,adjust,-0.01736469651751717,7.616188948760258e-05,0.0003305186128633646
20,5,1-7,adjust,-0.03177738040409309,6.202688555218282e-05,0.000505716928084605
20,6,1-7,adjust,-0.016956141276902082,-2.9843781692208272e-05,0.0007742389495458731
20,9,1-8,adjust,0.006840724498372875,0.00018901582925017396,0.0006790654945130212
21,2,1-4,adjust,0.011052029760943797,-0.0003041484353015195,0.00027548798340792057
21,3,1-4,adjust,0.011060025336198613,-0.00013199686418354702,0.0005997705793759761
21,6,1-5,adjust,-0.0165405845766683,-2.9138772446798366e-05,0.0006923377345955197
21,7,1-5,adjust,-0.0272880222106137,-0.00013958256673851074,0.00042973055099625635
21,8,1-5,adjust,-0.007573987697538271,-0.00010337099348038546,0.0002583745695578942
21,9,1-5,adjust,-0.008655642287709417,-0.0002372378567078842,0.0001076569084101353
22,2,1-7,adjust,-0.00901296548239194,0.00024738790025792404,1.1070056227031234e-05
22,3,1-7,adjust,-0.012740195694884262,0.000151744124558423,0.00013425274202723438
22,4,1-7,adjust,-0.009448229146778432,4.250316951882768e-05,0.00024256715627389195
22,5,1-7,adjust,-0.02267159260363676,4.2975026964262164e-05,0.0003657238103193514
22,6,1-7,adjust,-0.012080865727852799,-2.128880724287784e-05,0.0005544659450409842
22,9,1-8,adjust,0.004914469152901721,0.00013530140403526867,0.0004699781647947693
23,2,1-4,adjust,0.008061626736454544,-0.0002217109817488093,0.00023825558110412095
23,3,1-4,adjust,0.008066989781240127,-9.619976114505344e-05,0.00048692681964162393
