slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg,max_tangential_error_m
0,,0,0,0,0.0,0.0,12.01113974324003,7.414802070024728,12.000000000000014,0.2799999999999826,0.45999999999999375,0.48869219055838187
1,0-1-4-5,4,4,4,15.129778578666379,15.129778578666379,9.795976654120297,5.944459687097972,9.500000000000014,1.308540359037142,1.1140740812753194,2.2838337660426866
2,0-1-7-8,4,8,8,13.138410621797183,28.26818920046356,7.219184617646534,4.390793287221899,7.000000000000014,0.9778638629887696,0.9778638629887695,1.7066944045424748
3,0-1-4-5,4,12,12,10.656624655007906,38.92481385547147,5.388492411475791,3.1407518381329353,4.82291727168321,1.344907723945141,1.1621359710843464,2.347306791834569
4,0-1-7-8,4,16,16,9.34661694019724,48.27143079566871,2.9580475413635314,1.8623926318371735,2.953643987953228,0.7785468311194496,0.6946498918521584,1.3588205584002646
5,0-1-4-5,4,20,20,4.450618441221245,52.72204923688995,2.654992706995174,1.4961569162119435,2.0774690843191763,0.9375425032221643,0.8847214103655716,1.6363203558616313
6,0-1-7-8,4,24,24,4.1233932363014025,56.845442473191355,1.4066258954162723,0.9235413679249217,1.3001943246442096,0.505582574784733,0.4041171207536607,0.8824080570704054
7,0-1-4-5,4,28,28,1.6556731601992165,58.50111563339057,1.4454758696518226,0.8688286585077959,1.2307795110791062,0.5812180016999392,0.572706781207529,1.0144167801525938
8,0-1-7-8,4,32,32,2.389062965806884,60.890178599197455,0.7611006447931277,0.5357272341983383,0.7530628826960282,0.29126993893239966,0.2266887589544595,0.5083619446453191
9,0-1-4-5,4,36,36,0.7960204934103772,61.68619909260783,0.7997688495121095,0.5314376672819038,0.7152718824856521,0.3381679221563181,0.3344380343761415,0.5902143666255633
10,0-1-7-8,4,40,40,1.5199376956641264,63.206136788271955,0.5174210712139722,0.336713772142476,0.510476584106101,0.15455576566354062,0.10327071706523583,0.26975069887695824
11,0-1-4-5,4,44,44,0.45821236116314623,63.664349149435104,0.4409037928650097,0.3337220543748069,0.4346610708191463,0.1878319275835696,0.1798973450303123,0.3278285576700846
12,0-1-7-8,4,48,48,0.9783405843696565,64.64268973380476,0.3724604595423942,0.22703538211369254,0.36702532589664827,0.07537114187389506,0.07226724684909414,0.13154745866872375
13,0-1-4-5,4,52,52,0.33155970630749,64.97424944011225,0.31958766821226614,0.21655541599645814,0.31483967967679405,0.10005144836413388,0.08881719511880704,0.17462271953432307
14,0-1-7-8,4,56,56,0.6242343819907223,65.59848382210296,0.27291558560630075,0.16162351674425568,0.267706859213348,0.06546940455990742,0.051533441729311846,0.11426566688905737
15,0-1-4-5,4,60,60,0.27535766919490207,65.87384149129787,0.23212238676800864,0.145752202643683,0.22861850482003376,0.05291208655379316,0.047687295181574996,0.09234901244639104
16,0-1-7-8,4,64,64,0.39703327728630355,66.27087476858416,0.20668838214563695,0.11841509293249501,0.19518520247719096,0.05291208655379316,0.03674045255470304,0.09234901244639104
17,0-1-4-5,4,68,68,0.2249813825966693,66.49585615118083,0.16809292800806913,0.10118965234003768,0.16554258227752428,0.040986174810591004,0.03377131750320217,0.07153436982427763
18,0-1-7-8,4,72,72,0.2534328957976311,66.74928904697846,0.15399379882920708,0.08754131722302502,0.14173916015320742,0.040986174810591004,0.032708100248093785,0.07153436982427763
19,0-1-4-5,4,76,76,0.17686853322133167,66.9261575801998,0.12130410664272932,0.07172402751990563,0.119460877082318,0.030914225162202436,0.023957138738339268,0.05395550147833106
20,0-1-7-8,4,80,80,0.16314890198981233,67.08930648218961,0.1133474382609398,0.0646417203972745,0.10250473580541097,0.030914225162202436,0.026846559226505917,0.05395550147833106
21,0-1-4-5,4,84,84,0.13510473533208883,67.2244112175217,0.08729099796793333,0.05141189877904975,0.085964151228751,0.022916733194520467,0.017023808562811382,0.03999724480454603
22,0-1-7-8,4,88,88,0.10624132600599845,67.3306525435277,0.08270234629509667,0.04749760197380773,0.07388328550089795,0.022916733194520467,0.021006030709827428,0.03999724480454603
23,0-1-4-5,4,92,92,0.10115245561858965,67.4318049991463,0.06268359258551494,0.03702747538382484,0.06173079752987576,0.016793137107060915,0.012114379400195219,0.02930955342570485
24,0-1-7-8,4,96,96,0.07008010413404722,67.50188510328034,0.059968676010154605,0.034705130641464965,0.053120432918035476,0.016793137107060915,0.01595957584227392,0.02930955342570485
25,0-1-4-5,4,100,100,0.07468502980849107,67.57657013308884,0.044946154645079055,0.02669770345249681,0.044263037203350564,0.012210077910954093,0.008630494873273165,0.021310606147117994
26,0-1-7-8,4,104,104,0.04683215813957409,67.62340229122842,0.04329407077572157,0.02522965000765179,0.038123368627694276,0.012210077910954093,0.011896390208377738,0.021310606147117994
27,0-1-4-5,4,108,108,0.05461086020997016,67.67801315143839,0.03219435785078822,0.019238195650506936,0.03170509927673493,0.008830537061190484,0.006153757387558301,0.015412194643715793
28,0-1-7-8,4,112,112,0.031681771664448015,67.70969492310284,0.031159933326755387,0.018264619173627004,0.027325133411864044,0.008830537061190484,0.008755093054197971,0.015412194643715793
29,0-1-4-5,4,116,116,0.03966243589539993,67.74935735899824,0.023043752312883716,0.013845562168935819,0.022693585057112386,0.006362992170639593,0.004390537217219048,0.011105516365628176
30,0-1-7-8,4,120,120,0.021668086595989438,67.77102544559423,0.022378385434924538,0.013178900406454114,0.019567687014045987,0.0063871977166506675,0.006387197716620108,0.0111477630131418
31,0-1-4-5,4,124,124,0.028668996140600714,67.79969444173483,0.016485755483370012,0.00995086023503897,0.0162352579145022,0.004573344101809873,0.0031882268102165767,0.007981991240324504
32,0-1-7-8,4,128,128,0.014958819205120731,67.81465326093995,0.016047455700089884,0.00948531296177713,0.014003619916735488,0.00463154374052034,0.004631543740522659,0.008083568772221383
33,0-1-4-5,4,132,132,0.024106280618884764,67.83875954155883,0.011789987853654463,0.006597187015460706,0.011610849889294172,0.002655867614340885,0.0023130804212314615,0.004635363436733542
34,0-1-7-8,4,136,136,0.010406775618835115,67.84916631717766,0.008890513958231979,0.0057523923589427985,0.008755434661438244,0.0033442251523220913,0.003344225152339675,0.005836773983602939
35,0-1-4-5,4,140,140,0.014384627443050453,67.86355094462071,0.0074893216324155845,0.004142784052490131,0.007375533217327757,0.0018547672532998648,0.0016707740832515583,0.00323717954282543
