slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,,0,0,0,0.0,0.0,12.01113974324003,7.414802070024728,12.000000000000014,0.2799999999999826,0.45999999999999375
1,0-1-4-5,4,4,4,21.79422763005858,21.79422763005858,8.396513111647758,4.814787327183428,8.054344597400757,1.307751533038734,1.1232498118621095
2,0-1-7-8,4,8,8,15.21666622501624,37.01089385507482,4.576094099212754,2.793522901272151,4.575608886828192,0.8640054875221203,0.8640054875221281
3,0-1-4-5,4,12,12,8.138736095875286,45.14962995095011,3.961582872731162,2.083643636306451,3.2988878615589954,1.2365807418973938,1.1245157669127366
4,0-1-7-8,4,16,16,6.147839328253637,51.297469279203746,2.181118276332139,1.2892424423941236,1.8573618243884624,0.7125743031587235,0.6504084853424601
5,0-1-4-5,4,20,20,2.7223796886517846,54.01984896785553,2.1763724164288836,1.1776945342080982,1.8573618243884624,0.840971840201452,0.8293735579042405
6,0-1-7-8,4,24,24,3.0603937310012976,57.08024269885683,1.181843394645433,0.7218436037108814,1.0755619497051612,0.4610136729747175,0.42560744751769874
7,0-1-4-5,4,28,28,1.1750853493788649,58.2553280482357,1.2376981413497599,0.70153242018236,1.0755619497051612,0.5318882976934831,0.5318882976934916
8,0-1-7-8,4,32,32,1.8085932131779445,60.06392126141364,0.6539385809050348,0.4175395327876853,0.6084076890646486,0.2745453156119529,0.25311411384212334
9,0-1-4-5,4,36,36,0.5905427038429822,60.654463965256625,0.6977378638051448,0.41648187441886214,0.6084076890646486,0.31451079952117156,0.3145107995211802
10,0-1-7-8,4,40,40,1.148077496517888,61.80254146177451,0.35978214990808255,0.24508100261744908,0.3385481133653059,0.1537464058239624,0.13575141944094327
11,0-1-4-5,4,44,44,0.30937931318764966,62.11192077496216,0.3853732882117278,0.24781249299765057,0.3385481133653059,0.17411241301155356,0.17411241301156366
12,0-1-7-8,4,48,48,0.7226860859177747,62.83460686087993,0.21279358216081815,0.14998334604293653,0.20962219833661777,0.07865825575642357,0.05907350472841699
13,0-1-4-5,4,52,52,0.19106628396442146,63.025673144844355,0.20526486109729333,0.1501953424193042,0.1880529264022499,0.09034567249766227,0.08877622581423594
14,0-1-7-8,4,56,56,0.44395396091179157,63.469627105756146,0.1559797286543076,0.09852084989490312,0.15433453839898448,0.038202358602565885,0.02839750198435098
15,0-1-4-5,4,60,60,0.13428248215615066,63.6039095879123,0.1351522328538806,0.09473121852743557,0.1337635246755724,0.04778931768151872,0.043316059606098634
16,0-1-7-8,4,64,64,0.2837330840941006,63.8876426720064,0.11596660654755557,0.06804693090645758,0.11296840212040138,0.02895941217131663,0.02093883481911263
17,0-1-4-5,4,68,68,0.11374076365129945,64.0013834356577,0.09841052388026951,0.06220895301148154,0.0964423216232575,0.022128970941429373,0.02160020669546725
18,0-1-7-8,4,72,72,0.18276053250601565,64.18414396816371,0.08668017531536254,0.04939564363669054,0.08137738890938806,0.0221209607908992,0.015159543274947396
19,0-1-4-5,4,76,76,0.08656924440836446,64.27071321257208,0.07049145918343865,0.04280709760108807,0.06936733813338947,0.016084242609337534,0.012054789658890286
20,0-1-7-8,4,80,80,0.10284985273045401,64.37356306530253,0.06447488412532426,0.03774124751949518,0.060870871363405854,0.016084242609337534,0.014967859420821128
21,0-1-4-5,4,84,84,0.08646102014670026,64.46002408544923,0.04993638244154406,0.030214208184653993,0.04874423271614603,0.012895616899288127,0.011406607751140996
22,0-1-7-8,4,88,88,0.06365472067365928,64.52367880612289,0.046612197726826704,0.027050383245887558,0.04303136488719872,0.012895616899288127,0.010915433722253454
23,0-1-4-5,4,92,92,0.0519232116741168,64.57560201779701,0.03858331368487374,0.022002072311132177,0.038381233149578975,0.009095913061535073,0.006149644846615843
24,0-1-7-8,4,96,96,0.05596109388379586,64.6315631116808,0.032337066209332486,0.019632951069885243,0.03035378012214096,0.010002504375472895,0.010002504375471233
