slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,,0,0,0,0.0,0.0,10.942295143026705,7.675765428959371,10.930687776829998,0.2903357591607027,0.5260161517106212
1,0-1-4-5,4,4,4,26.437785474824615,26.437785474824615,5.946306743235216,4.51410841524224,5.9441626482231555,0.9651088150028226,1.0976855203188052
2,0-1-7-8,4,8,8,18.30656987557675,44.744355350401364,5.515517022718637,3.2417419449276648,5.503712119008711,1.3936069905152837,2.1108348933053165
3,0-1-4-5,4,12,12,11.371525962572198,56.11588131297356,2.788494625468977,1.6404531741699004,2.78216997160321,0.5530387585112183,0.9955834252437867
4,0-1-7-8,4,16,16,4.787027679523483,60.902908992497046,2.6419939970745836,1.589467397895174,2.623801145478481,0.9048147732951777,1.3496583891651923
5,0-1-4-5,4,20,20,4.820236851607609,65.72314584410465,1.8381599713569026,1.0587033629633646,1.8214750919609912,0.5315016883209361,0.5434940210442036
6,0-1-7-8,4,24,24,1.2863968627079165,67.00954270681257,1.6652340691288856,1.019512432827062,1.6456123306473813,0.5167062686538422,0.7004510915799713
7,0-1-4-5,4,28,28,2.4354595497484923,69.44500225656105,1.3683009925201246,0.8592741830404855,1.3501934499406758,0.3961394141438934,0.3343624601507216
8,0-1-7-8,4,32,32,1.6559243338175667,71.10092659037862,1.1920760546239069,0.7312123502925592,1.1754891578699898,0.34015552149515116,0.36281763400772604
9,0-1-4-5,4,36,36,1.4970828468824613,72.59800943726108,1.0368368172896754,0.657544844160572,1.0176199066491023,0.2633927266430456,0.24437413722056078
10,0-1-7-8,4,40,40,1.5261780036094448,74.12418744087053,0.8822299937477817,0.5349754164729235,0.8696651982190957,0.237208453743517,0.23720845374351995
11,0-1-4-5,4,44,44,1.0079776571919137,75.13216509806244,0.7751016385031423,0.4825639477097582,0.7606236725977311,0.16143166002588272,0.1763192081410665
12,0-1-7-8,4,48,48,1.1897288533719346,76.32189395143438,0.6555433514867155,0.3956195417793487,0.6447751906501082,0.1777275748248368,0.1777275748248286
13,0-1-4-5,4,52,52,0.7778747435092824,77.09976869494366,0.5660659035538879,0.34447826024912465,0.5572035225664536,0.11238750733891982,0.12513954371937075
14,0-1-7-8,4,56,56,0.8417726673756843,77.94154136231934,0.48011743395327366,0.2924386699051638,0.4738220451770019,0.13279086546244528,0.13279086546244656
15,0-1-4-5,4,60,60,0.5927178906270479,78.53425925294638,0.4111278172384047,0.2464497930166323,0.4051793119211453,0.09285452771578255,0.0883038084311849
16,0-1-7-8,4,64,64,0.5875144863925358,79.12177373933892,0.36365725740957416,0.2158236977408566,0.3436340223749852,0.09975098814665949,0.09975098814665984
17,0-1-4-5,4,68,68,0.4315909809345508,79.55336472027346,0.29728023979339063,0.17690437926520897,0.2932028561932327,0.07141122413465771,0.05923887421717211
18,0-1-7-8,4,72,72,0.38598258116090933,79.93934730143437,0.27230564676040303,0.16048869562686996,0.2528139113244947,0.07683969308010538,0.07683969308008898
19,0-1-4-5,4,76,76,0.35373591678931193,80.29308321822369,0.21419461320332156,0.1257719731022931,0.21117675376261502,0.05293274227727915,0.04378182582997425
20,0-1-7-8,4,80,80,0.25067880682438853,80.54376202504807,0.19703032578403876,0.1156727471151915,0.18002685785569383,0.05381049225816147,0.053810492258165254
21,0-1-4-5,4,84,84,0.24350973520549907,80.78727176025356,0.15512030859604795,0.09177093837592463,0.15295341893978787,0.0387089101506097,0.028564411188646943
22,0-1-7-8,4,88,88,0.16502931333182053,80.95230107358537,0.146952477409637,0.08612320050959642,0.13363958694093014,0.03968437128703267,0.03968437128704494
23,0-1-4-5,4,92,92,0.20112762032168366,81.15342869390706,0.11122570178074667,0.06614904707830978,0.10852067556977829,0.030718943818851503,0.024611062696514807
24,0-1-7-8,4,96,96,0.13482750125729753,81.28825619516435,0.10743312279565355,0.062430889636716745,0.09365001525682715,0.030718943818851503,0.029911086684819566
25,0-1-4-5,4,100,100,0.14379609922154157,81.4320522943859,0.07968088866309589,0.04676369308123967,0.07827048763913069,0.019924959796244254,0.017736740157474173
26,0-1-7-8,4,104,104,0.06956893789613412,81.50162123228203,0.07452001275964729,0.043122467199406385,0.06640704231185168,0.019940205968208023,0.019940205968175917
27,0-1-4-5,4,108,108,0.08830769919555223,81.58992893147759,0.05721713462999992,0.034088661893775414,0.05692566744716032,0.015897587275512857,0.012593753781693806
28,0-1-7-8,4,112,112,0.06686163545812038,81.65679056693571,0.05610585795285719,0.03185688572926498,0.04973983886398514,0.015897587275512857,0.01515811458420302
29,0-1-4-5,4,116,116,0.07019609688529739,81.72698666382101,0.04076930199724523,0.02350615154601478,0.039722936561659594,0.009558936192232198,0.008654204704953372
30,0-1-7-8,4,120,120,0.031131120362310256,81.75811778418331,0.037336858061586216,0.022942969592828766,0.03409458123606157,0.010842548397492937,0.010842548397491214
31,0-1-4-5,4,124,124,0.0392594501228669,81.79737723430618,0.032255389314672825,0.019564372765544086,0.03201400556677925,0.008787811976640797,0.006432617508956184
32,0-1-7-8,4,128,128,0.03135946019180507,81.82873669449799,0.029177544530682782,0.018334380421098383,0.02831781473204842,0.009962899007293169,0.00996289900728442
33,0-1-4-5,4,132,132,0.0346969451532059,81.86343363965119,0.024749794915136656,0.01482093406709521,0.02366052390873108,0.006993259191688121,0.005624801117370737
34,0-1-7-8,4,136,136,0.024660576149802427,81.88809421580099,0.024749794915136656,0.015016398023548585,0.02366052390873108,0.008847649994484999,0.008847649994493167
