slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,,0,0,0,0.0,0.0,12.01113974324003,7.414802070024728,12.000000000000014,0.2799999999999826,0.45999999999999375
1,0-1-4-5,4,4,4,21.893242987479063,21.893242987479063,8.43427091474575,4.799906958672283,8.09396322839666,1.307014591899007,1.1134722147331502
2,0-1-7-8,4,8,8,15.272594141350494,37.16583712882956,4.538501267371965,2.7722059932421983,4.508751135284143,0.8579320534767405,0.8579320534767234
3,0-1-4-5,4,12,12,7.972714970648863,45.138552099478424,3.9768731348525765,2.0812787170996168,3.329831776011531,1.2255890044323074,1.1158513709197493
4,0-1-7-8,4,16,16,6.105722144261852,51.24427424374028,2.19792319332582,1.2889819310363209,1.859231220687576,0.7108733986221987,0.6382544331754048
5,0-1-4-5,4,20,20,2.7090801327790874,53.953354376519364,2.1827927858030454,1.178577031505235,1.859231220687576,0.8387398576291653,0.8250660003077215
6,0-1-7-8,4,24,24,3.0520659656669284,57.00542034218629,1.1874471413363352,0.7214415263519125,1.0799161069618748,0.46230774791370227,0.41887274061875246
7,0-1-4-5,4,28,28,1.1687433719380318,58.174163714124326,1.238128791814678,0.7009781044609301,1.0799161069618748,0.5269084722019468,0.5269084722019457
8,0-1-7-8,4,32,32,1.824205893884376,59.9983696080087,0.6468611894081999,0.4148808140142543,0.6147758188067769,0.26911096464271994,0.24511240951068203
9,0-1-4-5,4,36,36,0.5894321434195879,60.58780175142829,0.6943773325995614,0.4145902530088596,0.6147758188067769,0.30772219265864564,0.30772219265863043
10,0-1-7-8,4,40,40,1.1579020002976992,61.74570375172598,0.3653132784341994,0.2417294756259459,0.3446162304253306,0.1457940356077099,0.12504082989703846
11,0-1-4-5,4,44,44,0.327365847186572,62.073069598912554,0.3801757638286969,0.24520689990512326,0.3446162304253306,0.16795871740477564,0.16795871740477963
12,0-1-7-8,4,48,48,0.7277265153790472,62.8007961142916,0.2075835318789277,0.14692692686916964,0.20542903554986935,0.07386148374732478,0.05393015242334798
13,0-1-4-5,4,52,52,0.1974154340497054,62.9982115483413,0.20348945619494824,0.14754783089718485,0.19079139941675294,0.08718276654410646,0.08584242022377708
14,0-1-7-8,4,56,56,0.45122880115579145,63.449440349497095,0.15150930645729732,0.09538071944819397,0.15010146141918312,0.034308445632538626,0.028137923267635756
15,0-1-4-5,4,60,60,0.1352796601649474,63.58472000966204,0.13010167762358468,0.0917486882353008,0.12899004314336082,0.044227163435264505,0.04030570475890727
16,0-1-7-8,4,64,64,0.2782779034293164,63.86299791309136,0.11235894704310832,0.06573000513257299,0.10886987773132262,0.029121509600082182,0.021410379432140303
17,0-1-4-5,4,68,68,0.11260864287627764,63.97560655596764,0.09306794005577694,0.05930720749956982,0.09246304744907263,0.02322917696893082,0.01730397354351254
18,0-1-7-8,4,72,72,0.17176378270125006,64.14737033866889,0.08354578825060473,0.046830872842196294,0.07808825124865848,0.02322917696893082,0.018607705106418848
19,0-1-4-5,4,76,76,0.0914302721639286,64.23880061083283,0.06582939020019446,0.03960478521621542,0.0655674877000223,0.01786709492941733,0.014507068864624273
20,0-1-7-8,4,80,80,0.10649080292901814,64.34529141376184,0.06077811976894296,0.03366402718724113,0.05529998628243504,0.01786709492941733,0.015542529499462887
21,0-1-4-5,4,84,84,0.07093877481925051,64.4162301885811,0.04598906523448552,0.0269660565843567,0.04592605612324974,0.01343933751225411,0.012060801589989012
22,0-1-7-8,4,88,88,0.0663730871613362,64.48260327574243,0.0433437672507602,0.024070102798442457,0.038581313823158325,0.01343933751225411,0.012802253572232303
23,0-1-4-5,4,92,92,0.05312079446521678,64.53572407020765,0.031674919784590444,0.018485667178246592,0.03167474471774767,0.00997026659204038,0.010030595848924406
24,0-1-7-8,4,96,96,0.04150019409305844,64.57722426430071,0.030291826783621256,0.017016620015774104,0.02640582169860295,0.00997026659204038,0.01056267775754094
25,0-1-4-5,4,100,100,0.04178129734077077,64.61900556164149,0.021468483141432553,0.012140527496447392,0.02138248734021886,0.006441138691468849,0.0075408917047070645
26,0-1-7-8,4,104,104,0.025879980043292266,64.64488554168477,0.017601307095262426,0.010883038428688192,0.01644608285381821,0.007494690261445831,0.008039488436722309
27,0-1-4-5,4,108,108,0.02578178276467358,64.67066732444944,0.013561962686828266,0.007993740675894537,0.013135714351918182,0.004633392285109649,0.0065660822681934405
