slot,receiver_id,selected_pair,status,radial_command_m,angular_command_rad,consistency_rad
1,2,1-4,adjust,2.3987073735712756,-0.02034857537580622,0.0386676654403027
1,3,1-4,adjust,-0.045221805665917186,-0.02579914310090635,0.062761152916477
1,6,1-5,adjust,2.705258204622197,0.0030635310652207016,0.0362961735241033
1,7,1-5,adjust,2.2994405403522835,0.003934587553699938,0.014509119322920188
1,8,1-5,adjust,-4.564330095364512,0.0028172702896398947,1.3368932765509568e-05
1,9,1-5,adjust,-4.71225867545225,-3.532384292418221e-05,0.012539629563660542
2,2,1-7,adjust,0.2540262846041814,0.012544068108010002,0.030560783854357256
2,3,1-7,adjust,-2.276527674526071,0.013462296360197724,0.010261568702996458
2,4,1-7,adjust,-3.381863228956901,0.002542816440559465,0.00786310717752177
2,5,1-7,adjust,-1.5958965023518146,0.0005598616853916486,0.027712141728168885
2,6,1-7,adjust,-0.14777138560373257,-0.0011326932190113652,0.05797660991753327
2,9,1-8,adjust,-1.0072763843065813,0.03490658503988659,0.10295639229628373
3,2,1-4,adjust,0.5106558433732716,-0.004099982058299247,0.01852352531340489
3,3,1-4,adjust,-0.09591595906454285,-0.005783697708226437,0.03104613396920233
3,6,1-5,adjust,0.7442843350178162,0.0008823244169885258,0.022337000856768
3,7,1-5,adjust,0.664249464212518,-0.0008611257596814211,0.010731020296894638
3,8,1-5,adjust,-2.540070218731817,-0.0017267031494862576,0.003094634832008759
3,9,1-5,adjust,-1.8766786392664143,-0.018637668284248957,0.003907570318320898
4,2,1-7,adjust,-0.13552077867541656,0.008542217391119947,0.01596143338683562
4,3,1-7,adjust,-1.020863483763512,0.008741722317206026,0.005934665843190352
4,4,1-7,adjust,-1.4718220748241435,3.6988704137586196e-05,0.0030166006593586427
4,5,1-7,adjust,-0.46503819976902355,-0.00029736358805893567,0.012883432293576795
4,6,1-7,adjust,-0.0743457574758418,-0.0003473057019312885,0.02798014001877108
