slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,,0,0,0,0.0,0.0,11.464967703545197,7.121594234244358,11.460342605196445,0.233258116704722,0.4315349746011137
1,0-1-4-5,4,4,4,21.926830750311588,21.926830750311588,11.464967703545197,6.390875544732705,11.460342605196445,2.2332581167046994,2.431534974601121
2,0-1-7-8,4,8,8,21.12058404836133,43.04741479867292,6.46160187787154,3.5621351292028027,6.4603426051964306,1.4371223512344864,1.4371223512344997
3,0-1-4-5,4,12,12,6.993647180190175,50.04106197886309,6.46160187787154,3.7736263020133785,6.4603426051964306,2.3157893245085326,2.315789324508536
4,0-1-7-8,4,16,16,9.906512846693635,59.94757482555673,3.734726456776948,2.3418134788783034,3.50852181223253,1.6350764276445537,1.635076427644556
5,0-1-4-5,4,20,20,1.7054460593881924,61.65302088494492,3.8072765480175788,2.308087259140567,3.50852181223253,1.7086898627764757,1.708689862776481
6,0-1-7-8,4,24,24,5.3496815011197665,67.00270238606468,2.361981798265431,1.5637256538984068,1.8982632141840412,1.2340015800597346,1.2340015800597328
7,0-1-4-5,4,28,28,1.5446387786229367,68.54734116468762,2.245962980340339,1.41122959106908,1.8982632141840412,1.109906469375845,1.1099064693758578
8,0-1-7-8,4,32,32,2.9838279870752102,71.53116915176284,1.5540069181022378,1.0282110793661017,1.0220068400327165,0.8277529761489388,0.8277529761489433
9,0-1-4-5,4,36,36,1.433018498425517,72.96418765018835,1.2963864366772353,0.8663457776241471,1.0220068400327165,0.6845783805338708,0.6845783805338854
10,0-1-7-8,4,40,40,1.6720326955970934,74.63622034578545,0.9921312706315818,0.6730094773190649,0.7233617517192386,0.5311207531873767,0.5311207531873663
11,0-1-4-5,4,44,44,1.1241773407795765,75.76039768656503,0.7705515815899101,0.5390505126898052,0.568788230146481,0.41299767257654846,0.4129976725765445
12,0-1-7-8,4,48,48,0.9432110696812753,76.7036087562463,0.6257916000860619,0.44305539523957305,0.5141927849049779,0.33575634430292345,0.3357563443029079
13,0-1-4-5,4,52,52,0.821610067872376,77.52521882411867,0.46102285343029525,0.342419061601745,0.40134731422185155,0.24742149127416593,0.24742149127416724
14,0-1-7-8,4,56,56,0.5371095281157381,78.0623283522344,0.428449948280344,0.29509001815277464,0.3623755272712259,0.2121957112973046,0.21219571129731207
15,0-1-4-5,4,60,60,0.5833455192691431,78.64567387150355,0.2993919783498654,0.2228067555865961,0.2844970308961905,0.14852200899051096,0.14852200899051837
16,0-1-7-8,4,64,64,0.3095059478242276,78.95517981932777,0.2993919783498654,0.19926863416110366,0.2551371588878766,0.1350895125097851,0.1350895125097935
17,0-1-4-5,4,68,68,0.410032802849474,79.36521262217724,0.2100263074427128,0.1484246364151457,0.20220401149053657,0.08981440681360149,0.08981440681360198
18,0-1-7-8,4,72,72,0.1809220327969762,79.54613465497421,0.2100263074427128,0.13639024637964642,0.17998948553065475,0.08692193499619151,0.08692193499619094
19,0-1-4-5,4,76,76,0.2878783039364341,79.83401295891065,0.14793814642132078,0.1009103081359892,0.14393737543244356,0.054853779874629235,0.05485377987461959
20,0-1-7-8,4,80,80,0.1137793364991764,79.94779229540983,0.14793814642132078,0.09448550465566781,0.1273355302702157,0.056547437389225,0.05654743738921297
21,0-1-4-5,4,84,84,0.20272697338523177,80.15051926879505,0.10485473249369202,0.06974167920192086,0.10254900717598048,0.03382754071858595,0.0338275407185904
22,0-1-7-8,4,88,88,0.07735160163359386,80.22787087042865,0.10457771212285454,0.06614391109422672,0.09059251469442131,0.037122263362972176,0.037122263362974195
23,0-1-4-5,4,92,92,0.14347283745312053,80.37134370788176,0.07496695665102779,0.048827368219041975,0.07309059552562758,0.02118346340057777,0.020994744035391477
24,0-1-7-8,4,96,96,0.053259171367744995,80.4246028792495,0.07413953845441802,0.046736836415797955,0.06497271854495068,0.02601794264399216,0.026017942643989045
25,0-1-4-5,4,100,100,0.10214467990306603,80.52674755915257,0.053684738743097114,0.034551111025947726,0.05209635189692108,0.015029384736394221,0.013663879846639304
26,0-1-7-8,4,104,104,0.03896652550373543,80.5657140846563,0.05267775027324559,0.03332299901469922,0.046748512562942324,0.019168124804473614,0.019168124804451736
27,0-1-4-5,4,108,108,0.07321129861152118,80.63892538326783,0.03852938350442587,0.02469351748455575,0.0371216030358994,0.011161860435747841,0.010186914022085602
28,0-1-7-8,4,112,112,0.028582501810370843,80.66750788507821,0.037491873372517116,0.023995595365621493,0.03376904665995539,0.014382566686830087,0.014382566686833798
29,0-1-4-5,4,116,116,0.05287564419233189,80.72038352927053,0.027747285507943226,0.017845633334510058,0.026434347060202867,0.008473675042545984,0.0077681271349021586
30,0-1-7-8,4,120,120,0.02080779966809744,80.74119132893863,0.026718146950897144,0.017494575198864812,0.024516335017125357,0.011026458850568528,0.011026458850579957
31,0-1-4-5,4,124,124,0.03853191059223852,80.77972323953087,0.020095631006170286,0.013086222874883993,0.019154899803453418,0.006593041676755409,0.006077081875943691
32,0-1-7-8,4,128,128,0.015061601282844013,80.7947848408137,0.019209896322560094,0.012973061015127624,0.0179157989633012,0.008664340868552927,0.008664340868541842
33,0-1-4-5,4,132,132,0.02838423151571989,80.82316907232942,0.014693222563939042,0.009798040350615,0.014277870756743027,0.00527057530333483,0.004889534993040456
34,0-1-7-8,4,136,136,0.010853803263695073,80.83402287559312,0.014545906100630357,0.009852654385256144,0.013204877014501903,0.006996555622373295,0.006996555622365008
35,0-1-4-5,4,140,140,0.02479724628659797,80.85882012187972,0.01091498501048004,0.0071260111855983325,0.010787778202796972,0.004336880831001601,0.004052403298182128
36,0-1-7-8,4,144,144,0.00815412548936588,80.86697424736909,0.01059233094901217,0.0069855738812590815,0.008522294828068766,0.005815879896143275,0.005815879896111653
37,0-1-4-5,4,148,148,0.01577769101126694,80.88275193838035,0.007783668159069905,0.005419441229597894,0.007589428855496294,0.0036213381339204116,0.0034604621429679128
38,0-1-7-8,4,152,152,0.00602907688018795,80.88878101526053,0.0089565953298837,0.005503427559628793,0.0052845758748532035,0.0049333795788348974,0.004933379578851316
39,0-1-4-5,4,156,156,0.010336358986459659,80.899117374247,0.006565033899462278,0.004504124628512282,0.005266121182998518,0.003083172096915455,0.0032635848699911207
40,0-1-7-8,4,160,160,0.0046712615868179565,80.90378863583382,0.007728033582097272,0.004765446244912636,0.0037605586033322425,0.004270039465888531,0.004270039465886555
41,0-1-4-5,4,164,164,0.007210382664278991,80.9109990184981,0.005688482930866599,0.0040563341062556605,0.0037437042447692193,0.0030108541673670303,0.003142480813139059
42,0-1-7-8,4,168,168,0.004294180847342718,80.91529319934544,0.006830958567621131,0.004383124201066354,0.0031965328444414354,0.0037852460523201746,0.0037852460523239984
43,0-1-4-5,4,172,172,0.005692049891150314,80.9209852492366,0.00565514368036275,0.0038381149900352566,0.0028076634648073195,0.0030964862504287423,0.003008467455387631
44,0-1-7-8,4,176,176,0.004044759868216256,80.92503000910482,0.00620059730563512,0.00417053891576222,0.0028076634648073195,0.0034442720297679424,0.003444272029746287
45,0-1-4-5,4,180,180,0.00477153811851805,80.92980154722333,0.005709861803769238,0.003725436386054289,0.002549651839203193,0.003140235104107184,0.003063452094657748
46,0-1-7-8,4,184,184,0.0038911961892386772,80.93369274341258,0.005936575662476838,0.004045406445911057,0.002549651839203193,0.003312418475621767,0.003213265604500748
47,0-1-4-5,4,188,188,0.005296055941084286,80.93898879935367,0.006795417036103493,0.0038587289731830273,0.002383801942457353,0.003882317150110618,0.003097067949354937
48,0-1-7-8,4,192,192,0.003840964565391668,80.94282976391906,0.006494611668246371,0.004060763789777591,0.002383801942457353,0.0036934329343268246,0.0031161418898975057
49,0-1-4-5,4,196,196,0.004504836905400712,80.94733460082446,0.00705126549985075,0.0038728904364030495,0.0022799365032994956,0.00403669931052173,0.0031161418898975057
50,0-1-7-8,4,200,200,0.003954586214696763,80.95128918703917,0.006623696300706477,0.004036395412545549,0.0022799365032994956,0.0037755898571887043,0.003126807598661685
51,0-1-4-5,4,204,204,0.0041941615462564455,80.95548334858542,0.007086437749989271,0.003858423091950537,0.0022162789889392798,0.004057542339900792,0.003126807598661685
52,0-1-7-8,4,208,208,0.0039438599889948245,80.95942720857441,0.006644207793001353,0.0040114967011811,0.0022162789889392798,0.0037884844142699737,0.0031327026922838286
53,0-1-4-5,4,212,212,0.004049387520538569,80.96347659609495,0.0070784069296670835,0.0038438985939802397,0.00217796292990613,0.00405279055825614,0.0031327026922838286
54,0-1-7-8,4,216,216,0.003919547330868725,80.96739614342582,0.006642385432503877,0.003994002067215201,0.00217796292990613,0.003787340253182416,0.0031359303008784423
55,0-1-4-5,4,220,220,0.003973735647092817,80.97136987907291,0.00706707904572331,0.0038339152305499734,0.002155249904447487,0.004046080555835541,0.0031359303008784423
56,0-1-7-8,4,224,224,0.0039016250185587827,80.97527150409147,0.006638020446825741,0.003983020193743203,0.002155249904447487,0.003784598759469622,0.0031376835969894046
57,0-1-4-5,4,228,228,0.0039318561564554945,80.97920336024792,0.00705914011256539,0.0038277650709488105,0.0021419608175534677,0.00404137271686159,0.0031376835969894046
