slot,receiver_id,selected_pair,status,radial_command_m,angular_command_rad,consistency_rad
1,2,1-4,adjust,3.659935360190633,-0.03490658503988659,0.05263744331377065
1,3,1-4,adjust,-5.0,-0.03490658503988659,0.0969432253337545
1,6,1-5,adjust,-5.0,-0.003061384326974818,0.06983960150870229
1,7,1-5,adjust,-5.0,-0.010291909557181534,0.03559631111298667
1,8,1-5,adjust,1.2146826725788868,-0.012365926627898127,0.012867707486730377
1,9,1-5,adjust,-5.0,-0.010813531911369434,0.006538654048668433
2,2,1-7,adjust,-1.3947908968356786,0.023990671098252286,0.0054191103362946315
2,3,1-7,adjust,-5.0,0.02316709499866673,0.003298732468921621
2,4,1-7,adjust,-4.191490776529333,-0.00024528005562028584,0.001539230205841024
2,5,1-7,adjust,2.6918584405228323,0.0012029300395021204,0.00043224884534273525
2,6,1-7,adjust,-5.0,0.004253234857545717,0.003311383581748264
2,9,1-8,adjust,-5.0,-0.013912391760775824,0.014299880155464056
3,2,1-4,adjust,0.06418194134244061,-0.0008410248179699022,0.006390327145448979
3,3,1-4,adjust,-1.2205032704871805,-0.0003290794471599582,0.0068598760175017665
3,6,1-5,adjust,-1.5445511674548285,0.0004090856158922613,0.0019171796504290903
3,7,1-5,adjust,0.310783486817617,0.010981986411476375,0.0033823067264504725
3,8,1-5,adjust,0.9144220645154939,0.010867544902453159,0.004340021125885246
3,9,1-5,adjust,-2.1444718137414776,0.01995139492900571,0.0051181159272582115
4,2,1-7,adjust,-0.46364073178516463,0.012951448267609102,4.231445262360035e-05
4,3,1-7,adjust,-0.7850893446644576,0.009685731327983576,0.0006607904234336891
4,4,1-7,adjust,-0.8276359498207213,0.004591497496223173,0.001202903403062033
4,5,1-7,adjust,-0.465326531751503,0.0009395675518214287,0.0018163733642575805
4,6,1-7,adjust,-0.22778415575127225,-0.0004462474830533176,0.0027540870459173764
4,9,1-8,adjust,0.09711011178166193,0.0025163055355581086,0.0023356645791650856
5,2,1-4,adjust,0.10608708454933616,-0.0027516166172625134,0.0011065836042120163
5,3,1-4,adjust,0.10224390228441192,-0.0012659392172226583,0.0020093235404950163
5,6,1-5,adjust,-0.15966385839659913,-0.0002750644462654446,0.0017699473305681735
5,7,1-5,adjust,-0.26113349656944185,-0.0014625134474952556,0.000975612348012402
5,8,1-5,adjust,-0.08544854705222694,-0.0011460227197323618,0.00045781127862875323
5,9,1-5,adjust,-0.08985617087931828,-0.0025259402641470354,1.792746882752061e-06
6,2,1-7,adjust,-0.026793374313856425,0.0007262733934176127,2.4307570036153757e-05
6,3,1-7,adjust,-0.02511953308429388,0.0003129543360219905,0.0001664642182054687
6,4,1-7,adjust,0.0026447679671169296,3.3085564138219245e-05,0.00029139953165409533
6,5,1-7,adjust,-0.1247276126157255,0.00022550788347513794,0.0004334905964705045
6,6,1-7,adjust,-0.06776211372766439,-0.00012288061583324677,0.0006513213546530148
6,9,1-8,adjust,0.02604267612391462,0.000706204297117865,0.0005342970141633038
7,2,1-4,adjust,0.02701089660771764,-0.0007346241934729454,0.0002853153102827955
7,3,1-4,adjust,0.026641503276303255,-0.000319865365100408,0.0005036309402061684
7,6,1-5,adjust,-0.041772493167382914,-6.975929199017249e-05,0.0004194398699246704
7,7,1-5,adjust,-0.06865052772473106,-0.00042510752090100384,0.00022416500563054447
7,8,1-5,adjust,-0.02776901305611291,-0.00031446528040641764,9.676343225854521e-05
7,9,1-5,adjust,-0.025881379256532878,-0.0007123277063457276,1.532862412754717e-05
8,2,1-7,adjust,-0.00582302515806601,0.00016869580623999486,6.4603519166593885e-06
8,3,1-7,adjust,-0.005103506657255332,5.325809841145043e-05,4.2935538196371246e-05
8,4,1-7,adjust,0.0019069565681173214,-1.0473021548818115e-05,7.500620213449489e-05
8,5,1-7,adjust,-0.0293451299255924,5.0761182049041265e-05,0.0001114756276118852
8,6,1-7,adjust,-0.01614585016715777,-2.726049304528066e-05,0.00016736009687238346
8,9,1-8,adjust,0.00625322558328517,0.0001725670212411242,0.0001368847797904006
9,2,1-4,adjust,0.00662895323305963,-0.00017971103214611855,7.103846870696977e-05
9,3,1-4,adjust,0.006559179853424115,-7.805591560192823e-05,0.00012600486397293257
9,6,1-5,adjust,-0.010112115599856168,-1.7417621336347854e-05,0.00010594907075563373
9,7,1-4,adjust,-0.022393045670230493,-0.00013626782014217642,8.7233386165775e-05
9,8,1-5,adjust,-0.006297377240234349,-7.911770172619416e-05,2.495745139558832e-05
9,9,1-5,adjust,-0.006155863847372497,-0.00017275596010459917,3.172090316500735e-06
10,2,1-7,adjust,0.0003548039932530781,-4.72737700999609e-06,3.5432432729914776e-05
10,3,1-7,adjust,0.0004796460930432277,-5.106052823543376e-06,2.782512367215767e-05
10,4,1-7,adjust,0.0005863635436331172,-3.4412926470570944e-06,2.1135457940498127e-05
10,5,1-7,adjust,-0.00982851617799176,1.6424153415909182e-05,1.3526866170032379e-05
10,6,1-7,adjust,-0.008674286948575008,-1.5258389216592787e-05,1.8706660688213777e-06
10,9,1-8,adjust,0.0014916113664460884,4.2045083547061327e-05,5.4911777290214896e-05
11,2,1-4,adjust,6.2414266644677505e-06,-3.330419529566761e-07,9.459266476924952e-08
11,3,1-5,adjust,5.610393933477027e-06,-1.0544728871871404e-07,1.2320524242889233e-07
11,6,1-5,adjust,-2.784261461219488e-06,-5.2230088693677275e-08,9.50167739974082e-08
11,7,1-4,adjust,-1.974705107131454e-05,-7.624909858983352e-08,1.5230998376746416e-07
11,8,1-5,adjust,-0.002200057765375122,-2.818252246693148e-05,1.0228263158821252e-07
11,9,1-5,adjust,-0.0016158911357873928,-4.387908482178849e-05,1.0480656842852844e-07
12,2,1-7,adjust,-3.8008883877830792e-06,1.0694493293174761e-07,8.39625476467287e-09
12,3,1-7,adjust,-3.7141981606601026e-06,4.571216229630664e-08,8.534463560558687e-08
12,4,1-7,adjust,-8.809980152284664e-06,3.06956556723425e-08,1.530118987357322e-07
12,5,1-7,adjust,-1.129068257938377e-05,-6.637840267876235e-08,2.2996028864662896e-07
12,6,1-7,adjust,-1.2138971231012316e-05,-2.0907455819335525e-08,3.478520491353175e-07
12,9,1-8,adjust,3.259152510272289e-05,-6.05408738415891e-07,2.924923516817855e-07
13,2,1-4,adjust,5.379569675227918e-07,-1.1100410293079503e-08,7.206195590250172e-09
13,3,1-5,adjust,9.479942616734895e-07,-1.10687223771283e-08,1.7643491795870416e-08
13,6,1-5,adjust,-9.787238175433188e-07,-1.4660483224847086e-09,5.412813699500727e-09
13,7,1-4,adjust,-1.5365302545364565e-06,-1.0540141764320116e-08,2.7833658676196373e-09
13,8,1-5,adjust,-2.3499461881261333e-05,1.342487260915501e-07,5.30445992837922e-10
13,9,1-5,adjust,-9.815245640053349e-06,-2.560705589443144e-07,2.5945446660461755e-09
14,2,1-7,adjust,5.313963580389324e-08,-1.5961070821275592e-09,1.3159494200608384e-09
14,3,1-7,adjust,-3.9523957139733184e-07,4.97277450336416e-09,1.0351079949240427e-09
14,4,1-7,adjust,1.360574555180022e-07,-9.605611852663086e-10,7.881414484201087e-10
14,5,1-7,adjust,-5.295520476735499e-07,2.944242658007273e-09,5.073019782947208e-10
14,6,1-7,adjust,-3.922859793889004e-07,-6.829521720464485e-10,7.702894961851619e-11
14,9,1-8,adjust,4.931071875821164e-08,3.892742558260391e-09,2.0328676637118193e-09
15,2,1-4,adjust,1.0023223793057533e-08,-2.8715550671578854e-10,1.067973734818972e-10
15,3,1-5,adjust,1.3489794023200761e-08,-2.027351619522917e-10,2.7608055411865626e-10
15,6,1-5,adjust,-1.0307428885197259e-08,-2.8728299181772356e-11,1.0258925808832944e-10
15,7,1-4,adjust,-3.27022559744301e-08,-2.3088631001993763e-10,6.668831391589792e-11
15,8,1-5,adjust,-1.0848653643059307e-07,-1.1228607254364654e-09,4.9792236281688065e-12
15,9,1-5,adjust,-7.650040388879195e-08,-2.0794370502377457e-09,2.8920894112553808e-11
16,2,1-7,adjust,9.41139270442755e-10,-2.1676618556321144e-11,8.322069750483465e-12
16,3,1-7,adjust,-6.3696484695886284e-09,7.642151312292508e-11,3.093229992397649e-12
16,4,1-7,adjust,2.1613331409292786e-09,-6.174394329113931e-12,1.503724981079043e-12
16,5,1-7,adjust,-9.402128995560194e-09,4.336476708595086e-11,6.731363284391362e-12
16,6,1-7,adjust,-7.580077369792741e-09,-1.3632582154738575e-11,1.4742201196686353e-11
16,9,1-8,adjust,-5.469063506443081e-10,-3.676148274549276e-11,2.624821634559886e-11
17,2,1-4,adjust,-8.750490733618652e-11,2.6670783822048593e-12,2.5760649533089558e-12
17,3,1-5,adjust,-1.8886699118615347e-10,2.2791768472480236e-12,6.990257834534299e-12
17,6,1-5,adjust,1.1583570198103122e-10,-1.216378692727937e-13,2.9798871203187984e-12
17,7,1-4,adjust,3.5181884322356827e-10,2.2518653608423623e-12,2.1828511541505552e-12
17,8,1-5,adjust,1.7626302644338006e-09,1.2437215584864774e-12,4.1142039084788186e-13
17,9,1-5,adjust,9.53607034405046e-10,2.6334160363265615e-11,4.83484543858911e-13
18,2,1-7,adjust,-0.0,-0.0,5.980583989129173e-13
18,3,1-7,adjust,-0.0,-0.0,2.3382516823832754e-12
18,4,1-7,adjust,-0.0,-0.0,3.040123236497394e-13
18,5,1-7,adjust,2.839409398051248e-10,-1.1106580233225855e-12,1.2169200355222988e-13
18,6,1-7,adjust,2.4067386281677197e-10,4.246690151179104e-13,5.467627136188235e-13
18,9,1-8,adjust,-6.196287452279874e-11,-1.2845280394897305e-12,1.560516506995682e-12
19,2,1-4,adjust,-0.0,-0.0,2.0478307461316578e-13
19,3,1-5,adjust,1.883670391041276e-10,-2.2535306953792928e-12,5.890683612390177e-13
19,6,1-5,adjust,-0.0,-0.0,3.6927283301413085e-13
19,7,1-4,adjust,-0.0,-0.0,2.482632769957775e-13
19,8,1-5,adjust,-0.0,-0.0,8.721293741908281e-13
19,9,1-5,adjust,-0.0,-0.0,9.509804121028882e-13
20,2,1-7,adjust,-0.0,-0.0,5.980583989129173e-13
20,3,1-7,adjust,-0.0,-0.0,3.7172754358100875e-13
20,4,1-7,adjust,-0.0,-0.0,3.040123236497394e-13
20,5,1-7,adjust,-0.0,-0.0,1.177114485425329e-13
20,6,1-7,adjust,-0.0,-0.0,5.467939411266821e-13
20,9,1-8,adjust,-0.0,-0.0,1.550377305965483e-12
21,2,1-4,adjust,-0.0,-0.0,2.0478307461316578e-13
21,3,1-5,adjust,-0.0,-0.0,5.226263334286956e-13
21,6,1-5,adjust,-0.0,-0.0,3.6927283301413085e-13
21,7,1-4,adjust,-0.0,-0.0,2.482632769957775e-13
21,8,1-5,adjust,-0.0,-0.0,8.721293741908281e-13
21,9,1-5,adjust,-0.0,-0.0,9.509804121028882e-13
22,2,1-7,adjust,-0.0,-0.0,5.980583989129173e-13
22,3,1-7,adjust,-0.0,-0.0,3.7172754358100875e-13
22,4,1-7,adjust,-0.0,-0.0,3.040123236497394e-13
22,5,1-7,adjust,-0.0,-0.0,1.177114485425329e-13
22,6,1-7,adjust,-0.0,-0.0,5.467939411266821e-13
22,9,1-8,adjust,-0.0,-0.0,1.550377305965483e-12
23,2,1-4,adjust,-0.0,-0.0,2.0478307461316578e-13
23,3,1-5,adjust,-0.0,-0.0,5.226263334286956e-13
23,6,1-5,adjust,-0.0,-0.0,3.6927283301413085e-13
23,7,1-4,adjust,-0.0,-0.0,2.482632769957775e-13
23,8,1-5,adjust,-0.0,-0.0,8.721293741908281e-13
23,9,1-5,adjust,-0.0,-0.0,9.509804121028882e-13
24,2,1-7,adjust,-0.0,-0.0,5.980583989129173e-13
24,3,1-7,adjust,-0.0,-0.0,3.7172754358100875e-13
24,4,1-7,adjust,-0.0,-0.0,3.040123236497394e-13
24,5,1-7,adjust,-0.0,-0.0,1.177114485425329e-13
24,6,1-7,adjust,-0.0,-0.0,5.467939411266821e-13
24,9,1-8,adjust,-0.0,-0.0,1.550377305965483e-12
25,2,1-4,adjust,-0.0,-0.0,2.0478307461316578e-13
25,3,1-5,adjust,-0.0,-0.0,5.226263334286956e-13
25,6,1-5,adjust,-0.0,-0.0,3.6927283301413085e-13
25,7,1-4,adjust,-0.0,-0.0,2.482632769957775e-13
25,8,1-5,adjust,-0.0,-0.0,8.721293741908281e-13
25,9,1-5,adjust,-0.0,-0.0,9.509804121028882e-13
26,2,1-7,adjust,-0.0,-0.0,5.980583989129173e-13
26,3,1-7,adjust,-0.0,-0.0,3.7172754358100875e-13
26,4,1-7,adjust,-0.0,-0.0,3.040123236497394e-13
26,5,1-7,adjust,-0.0,-0.0,1.177114485425329e-13
26,6,1-7,adjust,-0.0,-0.0,5.467939411266821e-13
26,9,1-8,adjust,-0.0,-0.0,1.550377305965483e-12
27,2,1-4,adjust,-0.0,-0.0,2.0478307461316578e-13
27,3,1-5,adjust,-0.0,-0.0,5.226263334286956e-13
27,6,1-5,adjust,-0.0,-0.0,3.6927283301413085e-13
27,7,1-4,adjust,-0.0,-0.0,2.482632769957775e-13
27,8,1-5,adjust,-0.0,-0.0,8.721293741908281e-13
27,9,1-5,adjust,-0.0,-0.0,9.509804121028882e-13
28,2,1-7,adjust,-0.0,-0.0,5.980583989129173e-13
28,3,1-7,adjust,-0.0,-0.0,3.7172754358100875e-13
28,4,1-7,adjust,-0.0,-0.0,3.040123236497394e-13
28,5,1-7,adjust,-0.0,-0.0,1.177114485425329e-13
28,6,1-7,adjust,-0.0,-0.0,5.467939411266821e-13
28,9,1-8,adjust,-0.0,-0.0,1.550377305965483e-12
29,2,1-4,adjust,-0.0,-0.0,2.0478307461316578e-13
29,3,1-5,adjust,-0.0,-0.0,5.226263334286956e-13
29,6,1-5,adjust,-0.0,-0.0,3.6927283301413085e-13
29,7,1-4,adjust,-0.0,-0.0,2.482632769957775e-13
29,8,1-5,adjust,-0.0,-0.0,8.721293741908281e-13
29,9,1-5,adjust,-0.0,-0.0,9.509804121028882e-13
30,2,1-7,adjust,-0.0,-0.0,5.980583989129173e-13
30,3,1-7,adjust,-0.0,-0.0,3.7172754358100875e-13
30,4,1-7,adjust,-0.0,-0.0,3.040123236497394e-13
30,5,1-7,adjust,-0.0,-0.0,1.177114485425329e-13
30,6,1-7,adjust,-0.0,-0.0,5.467939411266821e-13
30,9,1-8,adjust,-0.0,-0.0,1.550377305965483e-12
31,2,1-4,within_tolerance,0.0,0.0,2.0478307461316578e-13
31,3,1-5,within_tolerance,0.0,0.0,5.226263334286956e-13
31,6,1-5,within_tolerance,0.0,0.0,3.6927283301413085e-13
31,7,1-4,adjust,-0.0,-0.0,2.482632769957775e-13
31,8,1-5,adjust,-0.0,-0.0,8.721293741908281e-13
31,9,1-5,adjust,-0.0,-0.0,9.509804121028882e-13
32,2,1-7,within_tolerance,0.0,0.0,5.980583989129173e-13
32,3,1-7,within_tolerance,0.0,0.0,3.7172754358100875e-13
32,4,1-7,adjust,-0.0,-0.0,3.040123236497394e-13
32,5,1-7,adjust,-0.0,-0.0,1.177114485425329e-13
32,6,1-7,within_tolerance,0.0,0.0,5.467939411266821e-13
32,9,1-8,within_tolerance,0.0,0.0,1.550377305965483e-12
33,2,1-4,within_tolerance,0.0,0.0,2.0478307461316578e-13
33,3,1-5,within_tolerance,0.0,0.0,5.226263334286956e-13
33,6,1-5,within_tolerance,0.0,0.0,3.6927283301413085e-13
33,7,1-4,adjust,-0.0,-0.0,2.482632769957775e-13
33,8,1-5,adjust,-0.0,-0.0,8.721293741908281e-13
33,9,1-5,within_tolerance,0.0,0.0,9.509804121028882e-13
34,2,1-7,within_tolerance,0.0,0.0,5.980583989129173e-13
34,3,1-7,within_tolerance,0.0,0.0,3.7172754358100875e-13
34,4,1-7,adjust,-0.0,-0.0,3.040123236497394e-13
34,5,1-7,adjust,-0.0,-0.0,1.177114485425329e-13
34,6,1-7,within_tolerance,0.0,0.0,5.467939411266821e-13
34,9,1-8,within_tolerance,0.0,0.0,1.550377305965483e-12
35,2,1-4,within_tolerance,0.0,0.0,2.0478307461316578e-13
35,3,1-5,within_tolerance,0.0,0.0,5.226263334286956e-13
35,6,1-5,within_tolerance,0.0,0.0,3.6927283301413085e-13
35,7,1-4,adjust,-0.0,-0.0,2.482632769957775e-13
35,8,1-5,adjust,-0.0,-0.0,8.721293741908281e-13
35,9,1-5,within_tolerance,0.0,0.0,9.509804121028882e-13
36,2,1-7,within_tolerance,0.0,0.0,5.980583989129173e-13
36,3,1-7,within_tolerance,0.0,0.0,3.7172754358100875e-13
36,4,1-7,adjust,-0.0,-0.0,3.040123236497394e-13
36,5,1-7,adjust,-0.0,-0.0,1.177114485425329e-13
36,6,1-7,within_tolerance,0.0,0.0,5.467939411266821e-13
36,9,1-8,within_tolerance,0.0,0.0,1.550377305965483e-12
37,2,1-4,within_tolerance,0.0,0.0,2.0478307461316578e-13
37,3,1-5,within_tolerance,0.0,0.0,5.226263334286956e-13
37,6,1-5,within_tolerance,0.0,0.0,3.6927283301413085e-13
37,7,1-4,adjust,-0.0,-0.0,2.482632769957775e-13
37,8,1-5,adjust,-0.0,-0.0,8.721293741908281e-13
37,9,1-5,within_tolerance,0.0,0.0,9.509804121028882e-13
38,2,1-7,within_tolerance,0.0,0.0,5.980583989129173e-13
