slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,,0,0,0,0.0,0.0,12.01113974324003,7.414802070024728,12.000000000000014,0.2799999999999826,0.45999999999999375
1,0-1-4-5,4,4,4,28.243856547641606,28.243856547641606,7.660019446301268,4.770250569769102,7.0910698674997406,1.9164203553289987,1.9164203553290093
2,0-1-7-8,4,8,8,25.29858986489859,53.5424464125402,2.9455714061579443,1.5642305732739297,2.1428533067475826,1.1457743099158557,1.1457743099158577
3,0-1-4-5,4,12,12,8.420398196514139,61.96284460905434,1.090107932742665,0.6798310148195887,0.8308134912557819,0.5796812176604457,0.5796812176604504
4,0-1-7-8,4,16,16,4.567362918808769,66.53020752786311,0.4076553162033999,0.2397159785224373,0.35480445726203413,0.15939170855287743,0.15939170855286733
5,0-1-4-5,4,20,20,1.3316195354177933,67.8618270632809,0.16617515717826478,0.08394773006948736,0.16355001337841202,0.03176494469374693,0.031541878259503164
6,0-1-7-8,4,24,24,0.3927198657124487,68.25454692899335,0.10660403346499148,0.06360391316946232,0.09103843369007336,0.04384620584197649,0.04384620584198018
7,0-1-4-5,4,28,28,0.36099061168132424,68.61553754067468,0.03947930379566114,0.020290459810765465,0.038895980463593105,0.007809173373015285,0.007318153390812654
8,0-1-7-8,4,32,32,0.09161907470581442,68.7071566153805,0.02621969620186584,0.015616932795273616,0.022397889309914376,0.010711090683757864,0.010711090683749092
9,0-1-4-5,4,36,36,0.09428717850457992,68.80144379388508,0.009977420113113174,0.004615615649724046,0.009840930966930728,0.00161990669804024,0.0018185116412965385
10,0-1-7-8,4,40,40,0.025159493416431367,68.82660328730151,0.004684647774669241,0.0019668058282041995,0.0022076247647504488,0.0025187320312567815,0.0025187320312483052
11,0-1-4-5,4,44,44,0.008268590237665557,68.83487187753917,8.921850954338261e-05,3.209294187054561e-05,2.350844404475083e-05,4.9347783492278157e-05,5.703354501207514e-05
12,0-1-7-8,4,48,48,0.0001209350946821155,68.83499281263386,2.722270523710621e-05,1.2833682527397764e-05,2.350844404475083e-05,1.4563520098042898e-05,2.2249281585118297e-05
13,0-1-4-5,4,52,52,5.9921088448780165e-05,68.8350527337223,6.168156779501608e-07,3.44675412041927e-07,5.409175969361968e-07,2.7638241582131937e-07,3.852471550658265e-07
14,0-1-7-8,4,56,56,2.3707156385426785e-06,68.83505510443794,2.1889078289971816e-07,9.179970885860296e-08,1.0907390901593317e-07,1.1770087876411149e-07,1.1770088548246349e-07
15,0-1-4-5,4,60,60,4.819327150481625e-07,68.83505558637066,1.0224375531398512e-08,5.539887359758177e-09,9.270138434658293e-09,4.455677219918418e-09,5.532093894089485e-09
16,0-1-7-8,4,64,64,3.67659133413009e-08,68.83505562313657,2.7395985098682604e-09,1.1144758899090335e-09,1.7892887171910843e-09,1.4759300388237821e-09,1.475925159866165e-09
17,0-1-4-5,4,68,68,5.62822314535194e-09,68.83505562876479,2.908956923570672e-10,1.5720767016408495e-10,2.6987834189640125e-10,1.242197436392391e-10,1.3920953279011883e-10
18,0-1-7-8,4,72,72,6.902895814532369e-10,68.83505562945508,2.825648210428815e-10,1.0448737793786143e-10,1.8121681932825595e-10,1.242197436392391e-10,1.3920953279011883e-10
19,0-1-4-5,4,76,76,2.9509910529674245e-10,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
20,0-1-7-8,4,80,80,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
21,0-1-4-5,4,84,84,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
22,0-1-7-8,4,88,88,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
23,0-1-4-5,4,92,92,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
24,0-1-7-8,4,96,96,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
25,0-1-4-5,4,100,100,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
26,0-1-7-8,4,104,104,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
27,0-1-4-5,4,108,108,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
28,0-1-7-8,4,112,112,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
29,0-1-4-5,4,116,116,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
30,0-1-7-8,4,120,120,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
31,0-1-4-5,4,124,124,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
32,0-1-7-8,4,128,128,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
33,0-1-4-5,4,132,132,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
34,0-1-7-8,4,136,136,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
35,0-1-4-5,4,140,140,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
36,0-1-7-8,4,144,144,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
37,0-1-4-5,4,148,148,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
38,0-1-7-8,4,152,152,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
39,0-1-4-5,4,156,156,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
40,0-1-7-8,4,160,160,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
41,0-1-4-5,4,164,164,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
42,0-1-7-8,4,168,168,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
43,0-1-4-5,4,172,172,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
44,0-1-7-8,4,176,176,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
45,0-1-4-5,4,180,180,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
46,0-1-7-8,4,184,184,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
47,0-1-4-5,4,188,188,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
48,0-1-7-8,4,192,192,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
49,0-1-4-5,4,196,196,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
50,0-1-7-8,4,200,200,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
51,0-1-4-5,4,204,204,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
52,0-1-7-8,4,208,208,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
53,0-1-4-5,4,212,212,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
54,0-1-7-8,4,216,216,0.0,68.83505562975019,1.0143900810430905e-10,4.54357280974416e-11,5.911715561524034e-11,5.470554052117249e-11,5.469047437145491e-11
