slot,receiver_id,selected_pair,status,radial_command_m,angular_command_rad,consistency_rad
1,2,1-4,adjust,-1.0817371308264945,-0.03490658503988659,0.099318900732838
1,3,1-4,adjust,-2.0586177136549066,-0.03490658503988659,0.17849198664765753
1,6,1-5,adjust,-5.0,-0.015221838986016124,0.15155010811954145
1,7,1-5,adjust,-3.233179181808182,-0.03377557812091992,0.08120878313948786
1,8,1-5,adjust,5.0,-0.03038970063822542,0.03519070464098791
1,9,1-5,adjust,3.8550855676820293,-0.009090355012323144,0.00364501358641617
2,2,1-7,adjust,-0.4315143219160477,-0.006342167313625627,0.015409220343197368
2,3,1-7,adjust,-3.1556899224755166,0.011212422813939664,0.01708351033856246
2,4,1-7,adjust,-5.0,0.005527810023322072,0.01876577980266699
2,5,1-7,adjust,5.0,0.002359047468974718,0.02043524263575266
2,6,1-7,adjust,-4.820293669424872,0.0061860907013778265,0.023709226941298202
2,9,1-8,adjust,-2.1005584299923514,-0.03490658503988659,0.007894481087803412
3,2,1-4,adjust,-1.1791644227228206,0.033961302696524726,0.028042665487761916
3,3,1-4,adjust,-0.5757936850289537,0.008096327393447603,0.05158860338973494
3,6,1-5,adjust,2.6637212204749114,0.004237514141550121,0.045740776586164274
3,7,1-5,adjust,3.810160730691126,0.022809983967527918,0.025536349434505577
3,8,1-5,adjust,3.457788752001163,0.02079822406565229,0.011918854773686724
3,9,1-5,adjust,2.551447659138372,0.03490658503988659,0.00043687604006851594
4,2,1-7,adjust,0.1231406992235445,-0.0019225265355591443,0.002048470576703606
4,3,1-7,adjust,-0.48099464467375047,0.0058298242183500515,0.004323285229332588
4,4,1-7,adjust,-1.4497772804524696,-0.0010916614863209597,0.0063767797943406306
4,5,1-7,adjust,2.08616300033748,-0.0029265947331295933,0.008674147588915215
4,6,1-7,adjust,1.0365423006737955,0.001897915287984052,0.012145745812075323
4,9,1-8,adjust,-0.47328070188918836,-0.002425872582871057,0.007310945715113596
5,2,1-4,adjust,-0.4838253996243398,0.013484517375734561,0.004188937562028453
5,3,1-4,adjust,-0.4896696414188315,0.005872737490942889,0.00793223294250946
5,6,1-5,adjust,0.6868383661378018,0.0012327985515744899,0.007472088331139347
5,7,1-5,adjust,1.1958405719681218,0.006763138466212868,0.0042668602413348635
5,8,1-5,adjust,0.5421950360498418,0.006408559368765793,0.0021656335513134473
5,9,1-5,adjust,0.5206454972738073,0.014089290816952673,0.00033304706913904236
6,2,1-7,adjust,0.1414964250608027,-0.00401268015328086,0.000346719292447009
6,3,1-7,adjust,0.16648070795116962,-0.0020543144686305283,0.0009897039162111388
6,4,1-7,adjust,0.04699488339159789,-0.00022786004386485002,0.0015562938075656526
6,5,1-7,adjust,0.5511491963444939,-0.0009476982648621969,0.002201702471564441
6,6,1-7,adjust,0.28447794376355295,0.0005056245445480809,0.0031873400712850207
6,9,1-8,adjust,-0.12148384641937404,-0.003120217597741145,0.002243565806287362
7,2,1-4,adjust,-0.12324963634871099,0.003456470709070675,0.001265149497419793
7,3,1-4,adjust,-0.1258060084533846,0.0014825759154557957,0.0022940462381132415
7,6,1-5,adjust,0.18651116301504117,0.0003357357355983517,0.0020099904756314883
7,7,1-5,adjust,0.316575237300804,0.0018370431005896336,0.0011056380939961558
7,8,1-5,adjust,0.1319698359467192,0.0015897308269681243,0.0005145278275022773
7,9,1-5,adjust,0.12586090697865526,0.0035589769639524566,4.155545469655534e-06
8,2,1-7,adjust,0.031662613833246936,-0.0008715527085278625,4.9686193331331486e-05
8,3,1-7,adjust,0.03294952513043972,-0.0003752407771409073,0.00021921116347245652
8,4,1-7,adjust,-0.0004349915578732581,3.677409611702219e-06,0.00036837726079905057
8,5,1-7,adjust,0.14359339704435178,-0.00026530078496595335,0.0005380278116824777
8,6,1-7,adjust,0.0797328925999038,0.0001278178034356363,0.0007977228289794044
8,9,1-8,adjust,-0.03003943045833319,-0.0008481909278267194,0.0006217140048549936
9,2,1-4,adjust,-0.0323788597859914,0.0008797077417339698,0.00031071156122446043
9,3,1-4,adjust,-0.03232577403115882,0.00038889267252622926,0.0005689810731482961
9,6,1-5,adjust,0.0503135377907681,8.906626323252529e-05,0.0005083729749392769
9,7,1-5,adjust,0.08161227004426229,0.0004616807451033398,0.00028244443016419704
9,8,1-5,adjust,0.032526025995496116,0.00036315962838598766,0.0001349204385400939
9,9,1-5,adjust,0.03048944551108606,0.000844845370884661,5.263418695785228e-06
10,2,1-7,adjust,0.009181614637575877,-0.00022675719193780388,1.5822091683658924e-05
10,3,1-7,adjust,0.008745921096993039,-0.00010894656335659652,6.390956928548937e-05
10,4,1-7,adjust,5.433584512695706e-05,-2.908018379021653e-07,0.00010620254017724978
10,5,1-7,adjust,0.035181468594634425,-6.302465055854589e-05,0.00015430103382726634
10,6,1-7,adjust,0.01756375645938099,3.136400890053688e-05,0.00022797575634224588
10,9,1-8,adjust,-0.0081958618049823,-0.0002376597277683445,0.00017518027040706768
11,2,1-4,adjust,-0.00872921220767644,0.00024086296687242823,8.008460466551765e-05
11,3,1-4,adjust,-0.008840358425943171,0.00010546830143805772,0.0001500457439346433
11,6,1-5,adjust,0.013337760829641603,2.3486373459197762e-05,0.00013965995265643734
11,7,1-5,adjust,0.021911735562163307,0.00011684103521167407,7.920101254067225e-05
11,8,1-5,adjust,0.007979274331343298,9.881685582096791e-05,3.9735899592126016e-05
11,9,1-5,adjust,0.008098844127648375,0.00022154463307931738,5.0351602979100394e-06
12,2,1-7,adjust,0.002603461446056138,-7.361250025548523e-05,5.037365546679328e-06
12,3,1-7,adjust,0.003021844882535339,-3.730954035442874e-05,1.6871858685624692e-05
12,4,1-7,adjust,0.0008405798740046317,-4.8536877621361725e-06,2.7279363091395286e-05
12,5,1-7,adjust,0.010350879622763149,-1.8876731319445462e-05,3.911461912838485e-05
12,6,1-7,adjust,0.005751207280960199,9.506759725087872e-06,5.724616460019241e-05
12,9,1-8,adjust,-0.002234210645665959,-6.183211511780114e-05,4.229834522189673e-05
13,2,1-4,adjust,-0.002252382191641396,6.278332271536601e-05,2.3338119150572132e-05
13,3,1-5,adjust,-0.00434673445976481,5.204429956970934e-05,7.021924521576619e-05
13,6,1-5,adjust,0.0034564009732527146,6.0452793491416255e-06,3.7573340895466885e-05
13,7,1-4,adjust,0.007809215606998006,4.507097889872823e-05,3.180751374979821e-05
13,8,1-5,adjust,0.002355267369866485,2.7249230702731966e-05,9.786188822529223e-06
13,9,1-5,adjust,0.002266787121943981,6.193663619484409e-05,1.3603272893307752e-07
14,2,1-7,adjust,-2.857388555334589e-06,2.753439977943608e-08,1.2204441086720309e-05
14,3,1-7,adjust,0.0019848457829617348,-2.3534029809104924e-05,9.426811081910266e-06
14,4,1-7,adjust,-5.400242819977878e-05,2.9056408188605614e-07,6.984197765776052e-06
14,5,1-7,adjust,0.0035406246805100286,-6.03272043243781e-06,4.206718067116943e-06
14,6,1-7,adjust,0.0030746680577270653,5.4232549504119745e-06,4.8711114571172576e-08
14,9,1-8,adjust,-0.0005496633511848955,-1.5234338178158683e-05,1.9524740290705227e-05
15,2,1-4,adjust,-7.634504797972093e-06,2.0926112314294674e-07,4.689803735366109e-07
15,3,1-5,adjust,3.577861161133252e-05,-2.0430529456866098e-07,1.0605677308759698e-06
15,6,1-5,adjust,5.605235538659884e-06,3.899121209457913e-08,2.1794304037111642e-07
15,7,1-4,adjust,2.810200182425636e-05,-3.842970579239532e-07,2.839438523722453e-08
15,8,1-5,adjust,0.0008136814177970538,9.190196775214275e-06,1.116214476181233e-07
15,9,1-5,adjust,0.0005796500196457175,1.6037097881932966e-05,2.260771186114402e-07
16,2,1-7,adjust,2.040589936791465e-05,-5.583245647410689e-07,5.9299500520412226e-08
16,3,1-7,adjust,7.555205804419842e-06,-8.403280328217789e-08,1.8151249019557453e-08
16,4,1-7,adjust,4.552609749465983e-05,-2.714056754253201e-07,1.8034093015100686e-08
16,5,1-7,adjust,6.049666931364627e-06,-1.174416621406202e-07,5.918248990611407e-08
16,6,1-7,adjust,2.1407166946793567e-06,4.101651647101259e-09,1.2222551617597895e-07
16,9,1-8,adjust,6.5991987201668925e-06,-4.7133134383432796e-08,2.021413401542433e-07
17,2,1-4,adjust,-4.049184468988074e-08,-1.2841709279502397e-08,5.8280360517792755e-09
17,3,1-5,adjust,7.551977568067089e-07,-7.873542092394337e-09,1.0001546771503946e-08
17,6,1-5,adjust,-5.543973427751485e-07,-9.336937604951622e-10,2.1608490671808446e-09
17,7,1-4,adjust,-5.836981407262721e-07,-8.378599302825677e-09,5.184229105859417e-09
17,8,1-5,adjust,-1.2785394376098168e-05,-5.1794651915401805e-09,4.18195541052202e-09
17,9,1-5,adjust,-6.482972023355216e-06,-1.7827825631671987e-07,4.883889015481866e-09
18,2,1-7,adjust,5.2889635063902745e-08,-1.4888132187365484e-09,2.689028907756116e-09
18,3,1-7,adjust,-2.0344109750867103e-07,2.217755147976146e-09,1.2435776617294536e-09
18,4,1-7,adjust,1.2444345960650653e-07,-4.804219111584778e-09,2.752866915747903e-11
18,5,1-7,adjust,6.625643539518068e-08,6.092355700472205e-10,1.4729798991048994e-09
18,6,1-7,adjust,2.4181999382384606e-07,4.247455310335872e-10,3.6875395255231294e-09
18,9,1-8,adjust,-6.072886474419475e-08,-6.369127443795853e-10,7.535174732612173e-09
19,2,1-4,adjust,1.046233637593731e-07,-2.86418206687906e-09,1.0825796299224551e-09
19,3,1-5,adjust,1.9918265726378916e-07,-2.350529210435131e-09,3.182317487769466e-09
19,6,1-5,adjust,-1.6433170473507772e-07,-2.862308146563263e-10,1.627853422952702e-09
19,7,1-4,adjust,-3.5485396262690375e-07,-2.013973761662299e-09,1.3445763412273002e-09
19,8,1-5,adjust,1.4928768413957266e-07,6.293292439847642e-10,3.879228682800254e-10
19,9,1-5,adjust,5.985096244455502e-08,1.634776684014147e-09,4.2701886341643334e-11
20,2,1-7,adjust,-3.592856088574563e-09,1.0224260480005713e-10,5.476185255330189e-10
20,3,1-7,adjust,-9.916584798711983e-08,1.171344411217364e-09,4.331081967928829e-10
20,4,1-7,adjust,-3.3726073369984942e-09,-5.2178927842547957e-11,3.3240919500478077e-10
20,5,1-7,adjust,-1.6127704137255403e-07,2.8910263973642607e-10,2.1789952328207648e-10
20,6,1-7,adjust,-1.385404597126725e-07,-2.445606873847588e-10,4.245943278911275e-11
20,9,1-8,adjust,2.8673116110662633e-08,7.591338663285586e-10,8.368080124328837e-10
21,2,1-4,adjust,1.7672413824137975e-09,-4.8810649372671436e-11,4.595432140786174e-12
21,3,1-5,adjust,2.797626270989677e-09,-8.429923425910954e-12,1.1799363153722571e-11
21,6,1-5,adjust,-3.4183081857874706e-09,-6.070624300788108e-12,4.294168174545177e-12
21,7,1-4,adjust,-6.134456085113055e-09,-3.3760771954737945e-11,2.7326262123155974e-12
21,8,1-5,adjust,-3.8142333381278245e-08,-4.4993092595771907e-10,1.453136050811533e-13
21,9,1-5,adjust,-2.7440955926889704e-08,-7.56576731530084e-10,1.2950359803937843e-12
22,2,1-7,adjust,-0.0,-0.0,1.578563208450399e-12
22,3,1-7,adjust,-4.810899502449468e-10,5.596035170075975e-12,1.857902698375406e-12
22,4,1-7,adjust,-0.0,-0.0,3.760057655773829e-12
22,5,1-7,adjust,-6.261665081266771e-10,3.5208709854439754e-12,4.716130286941357e-12
22,6,1-7,adjust,-5.272761436005522e-10,-7.567943641354606e-13,7.045863488002487e-12
22,9,1-8,adjust,-8.663649600680809e-11,1.8038903704078472e-12,5.655978159103997e-12
23,2,1-4,adjust,-0.0,-0.0,1.4976823092555438e-12
23,3,1-5,adjust,-0.0,-0.0,3.957925235750602e-12
23,6,1-5,adjust,-0.0,-0.0,1.3140135820774046e-12
23,7,1-4,adjust,-0.0,-0.0,4.878093321776024e-13
23,8,1-5,adjust,4.2363807445240334e-10,-2.942515329598823e-12,2.0756364727464583e-14
23,9,1-5,adjust,1.5685797217338758e-10,4.338170097807465e-12,4.821353676006754e-13
24,2,1-7,adjust,-0.0,-0.0,1.3379499152968014e-12
24,3,1-7,adjust,-0.0,-0.0,1.1633808039935633e-13
24,4,1-7,adjust,-0.0,-0.0,1.336844089465112e-12
24,5,1-7,adjust,-0.0,-0.0,6.803851240318988e-14
24,6,1-7,adjust,-0.0,-0.0,1.6496969943710605e-13
24,9,1-8,adjust,-0.0,-0.0,2.828483542812367e-13
25,2,1-4,adjust,-0.0,-0.0,1.4976823092555438e-12
25,3,1-5,adjust,-0.0,-0.0,3.957925235750602e-12
25,6,1-5,adjust,-0.0,-0.0,1.3140135820774046e-12
25,7,1-4,adjust,-0.0,-0.0,4.878093321776024e-13
25,8,1-5,adjust,-0.0,-0.0,3.7554268214995163e-14
25,9,1-5,adjust,-0.0,-0.0,4.802382626176903e-13
26,2,1-7,adjust,-0.0,-0.0,1.3379499152968014e-12
26,3,1-7,adjust,-0.0,-0.0,1.1633808039935633e-13
26,4,1-7,adjust,-0.0,-0.0,1.336844089465112e-12
26,5,1-7,adjust,-0.0,-0.0,6.803851240318988e-14
26,6,1-7,adjust,-0.0,-0.0,1.6496969943710605e-13
26,9,1-8,adjust,-0.0,-0.0,2.828483542812367e-13
27,2,1-4,adjust,-0.0,-0.0,1.4976823092555438e-12
27,3,1-5,adjust,-0.0,-0.0,3.957925235750602e-12
27,6,1-5,adjust,-0.0,-0.0,1.3140135820774046e-12
27,7,1-4,adjust,-0.0,-0.0,4.878093321776024e-13
27,8,1-5,adjust,-0.0,-0.0,3.7554268214995163e-14
27,9,1-5,adjust,-0.0,-0.0,4.802382626176903e-13
28,2,1-7,adjust,-0.0,-0.0,1.3379499152968014e-12
28,3,1-7,adjust,-0.0,-0.0,1.1633808039935633e-13
28,4,1-7,adjust,-0.0,-0.0,1.336844089465112e-12
28,5,1-7,adjust,-0.0,-0.0,6.803851240318988e-14
28,6,1-7,adjust,-0.0,-0.0,1.6496969943710605e-13
28,9,1-8,adjust,-0.0,-0.0,2.828483542812367e-13
29,2,1-4,adjust,-0.0,-0.0,1.4976823092555438e-12
29,3,1-5,adjust,-0.0,-0.0,3.957925235750602e-12
29,6,1-5,adjust,-0.0,-0.0,1.3140135820774046e-12
29,7,1-4,adjust,-0.0,-0.0,4.878093321776024e-13
29,8,1-5,adjust,-0.0,-0.0,3.7554268214995163e-14
29,9,1-5,adjust,-0.0,-0.0,4.802382626176903e-13
30,2,1-7,adjust,-0.0,-0.0,1.3379499152968014e-12
30,3,1-7,adjust,-0.0,-0.0,1.1633808039935633e-13
30,4,1-7,adjust,-0.0,-0.0,1.336844089465112e-12
30,5,1-7,adjust,-0.0,-0.0,6.803851240318988e-14
30,6,1-7,adjust,-0.0,-0.0,1.6496969943710605e-13
30,9,1-8,adjust,-0.0,-0.0,2.828483542812367e-13
31,2,1-4,adjust,-0.0,-0.0,1.4976823092555438e-12
31,3,1-5,adjust,-0.0,-0.0,3.957925235750602e-12
31,6,1-5,adjust,-0.0,-0.0,1.3140135820774046e-12
31,7,1-4,adjust,-0.0,-0.0,4.878093321776024e-13
31,8,1-5,adjust,-0.0,-0.0,3.7554268214995163e-14
31,9,1-5,adjust,-0.0,-0.0,4.802382626176903e-13
32,2,1-7,adjust,-0.0,-0.0,1.3379499152968014e-12
32,3,1-7,adjust,-0.0,-0.0,1.1633808039935633e-13
32,4,1-7,adjust,-0.0,-0.0,1.336844089465112e-12
32,5,1-7,adjust,-0.0,-0.0,6.803851240318988e-14
32,6,1-7,adjust,-0.0,-0.0,1.6496969943710605e-13
32,9,1-8,adjust,-0.0,-0.0,2.828483542812367e-13
33,2,1-4,adjust,-0.0,-0.0,1.4976823092555438e-12
33,3,1-5,adjust,-0.0,-0.0,3.957925235750602e-12
33,6,1-5,adjust,-0.0,-0.0,1.3140135820774046e-12
33,7,1-4,adjust,-0.0,-0.0,4.878093321776024e-13
33,8,1-5,adjust,-0.0,-0.0,3.7554268214995163e-14
33,9,1-5,adjust,-0.0,-0.0,4.802382626176903e-13
34,2,1-7,adjust,-0.0,-0.0,1.3379499152968014e-12
34,3,1-7,adjust,-0.0,-0.0,1.1633808039935633e-13
34,4,1-7,adjust,-0.0,-0.0,1.336844089465112e-12
34,5,1-7,adjust,-0.0,-0.0,6.803851240318988e-14
