slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,,0,0,0,0.0,0.0,10.600306090759823,6.505687810863512,10.599140175051105,0.18824230743746234,0.2766904560042107
1,0-1-4-5,4,4,4,27.195656572820667,27.195656572820667,7.501733451744849,4.10726368643552,7.500065091632422,2.1530825821534796,2.1530825821534876
2,0-1-7-8,4,8,8,21.318919325817593,48.514575898638256,2.5164299096299394,1.4455088501089903,2.5160263917839245,0.8276245445511318,0.8276245445511492
3,0-1-4-5,4,12,12,10.054371214718952,58.56894711335721,2.584821864754519,1.4867603949587322,2.5160263917839245,1.1773693188849126,1.1773693188849137
4,0-1-7-8,4,16,16,9.548580704368396,68.1175278177256,0.6143435976497869,0.37013647250234427,0.5336484179777159,0.2615232351532935,0.2615232351532768
5,0-1-4-5,4,20,20,1.9956824974280996,70.11321031515371,0.2468734507402229,0.12961321550487367,0.24322018027282866,0.04551809778509484,0.04618074719495269
6,0-1-7-8,4,24,24,0.5443255552602102,70.65753587041392,0.1710596470947294,0.10194129306954133,0.15146116356055472,0.06529140436709811,0.0652914043671089
7,0-1-4-5,4,28,28,0.5784877709381697,71.23602364135209,0.07490271129553054,0.03784230546051173,0.07367656145568446,0.013891518527245128,0.014180393739685826
8,0-1-7-8,4,32,32,0.20525679316857623,71.44128043452066,0.046980472728338274,0.028304943621244485,0.04023797950354435,0.01896463012240879,0.018964630122397352
9,0-1-4-5,4,36,36,0.15775527961772423,71.59903571413838,0.018789856480635834,0.009650631727932166,0.01854977030984628,0.003605160562522393,0.0033875224015176286
10,0-1-7-8,4,40,40,0.04292767998749898,71.64196339412588,0.012870279726741292,0.007716527672155258,0.011227108832059685,0.005096465836605806,0.0050964658365799664
11,0-1-4-5,4,44,44,0.04715019558405796,71.68911358970993,0.0051951652801874686,0.0024142591171286264,0.00511829521242646,0.0007650758199423096,0.0009692378708834326
