slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,,0,0,0,0.0,0.0,12.01113974324003,7.414802070024728,12.000000000000014,0.2799999999999826,0.45999999999999375
1,0-1-4-5,4,4,4,28.586181363435408,28.586181363435408,7.709903671520375,4.773336747025541,7.000000000000014,1.900000000000009,1.9000000000000057
2,0-1-7-8,4,8,8,25.702591493474156,54.28877285690956,3.19814441709268,1.7359904395095138,2.000000000000014,1.4158340449444218,1.4158340449444324
3,0-1-4-5,4,12,12,10.030219084010005,64.31899194091956,1.838615224521107,1.0447395418150744,1.4303207064759675,0.876669666978225,0.77320094866662
4,0-1-7-8,4,16,16,8.584234328306101,72.90322626922566,1.4007955538716041,0.816968415589777,0.7926282738959856,0.7717847667416947,0.771784766741682
5,0-1-4-5,4,20,20,4.942911156345785,77.84613742557144,1.1472698265526007,0.5399812436464124,0.4456326334297671,0.6573508277444595,0.6701901288395575
6,0-1-7-8,4,24,24,5.040623880410002,82.88676130598144,1.1316397988625257,0.6991269413346514,1.042330207171716,0.5581113187137433,0.6962155902078777
7,0-1-4-5,4,28,28,6.882819016411721,89.76958032239315,1.8364132922254428,1.0343164473151003,1.2188566441733286,0.9291513406171729,0.9420423132704201
8,0-1-7-8,4,32,32,4.772620784712919,94.54220110710607,1.2974641867051704,0.8133150581848109,1.2634731844549947,0.3910103596739167,0.3910103596739134
9,0-1-4-5,4,36,36,5.106590450610147,99.64879155771621,1.4206167860859173,0.9677431258516949,1.3212369128564063,0.7818128228873478,0.7818128228873391
10,0-1-7-8,4,40,40,7.075687077789657,106.72447863550586,1.409959980002195,0.7979982457692191,0.6663464068255394,0.7664644824337254,0.857710457145572
11,0-1-4-5,4,44,44,4.213623577715062,110.93810221322093,1.0131751922553613,0.4857525452864988,0.5043547537918442,0.5639568892173248,0.5639568892173372
12,0-1-7-8,4,48,48,4.21211322497488,115.15021543819581,0.9458417724804925,0.42362666856434983,0.3362733551582977,0.5287259554811077,0.5684041857731756
13,0-1-4-5,4,52,52,3.723245483717382,118.87346092191319,0.8576558760677013,0.36858198446816265,0.330641741264202,0.45266895607421564,0.5580757224577582
14,0-1-7-8,4,56,56,3.2963988712159096,122.1698597931291,0.8382628367354974,0.4925482355115314,0.388544850001864,0.47903865813898305,0.4790386581389612
15,0-1-4-5,4,60,60,2.5396432105941398,124.70950300372324,0.7118245094459436,0.39875696775654923,0.5308401997983339,0.35667463793225596,0.3736912152116858
16,0-1-7-8,4,64,64,3.7278803603648294,128.43738336408808,1.3974455118458404,0.6634711636836209,0.5308401997983339,0.7655842549913761,0.7655842549913956
17,0-1-4-5,4,68,68,4.462600714196106,132.89998407828418,0.6950036532319888,0.3571551901746613,0.4312026260118955,0.3468756892822924,0.5946772097086779
18,0-1-7-8,4,72,72,3.7621719666010938,136.66215604488528,0.848160809142986,0.5028068449629488,0.287062755644385,0.45662680897040814,0.8650701224515984
19,0-1-4-5,4,76,76,4.733688043457292,141.39584408834259,1.3562815405577537,0.6615360291244863,0.5707942038928451,0.7412226522436278,0.7412226522436356
20,0-1-7-8,4,80,80,4.057361312098612,145.4532054004412,1.0970430708162566,0.7213800250461835,0.7823786073839756,0.5715675583239098,0.5715675583239204
21,0-1-4-5,4,84,84,7.044826735738766,152.49803213617997,0.9157026849225623,0.5944249258577633,0.6566252354430588,0.5101544664376232,0.5101544664376192
