receiver_id,transmitters,selected_pair,status,ratio,small_count_before,small_count_after,holding_before,holding_after,estimated_radial_bias_m,estimated_angular_bias_rad,consistency_rad,radial_clipped,angular_clipped,slot,nominal_selected_pair,matches_nominal_selected_pair
2,0-1-4-5,1-4,adjust,735.3173521771046,0,0,False,False,0.08624547498969158,-0.0019588314725728783,0.007353173521771047,False,False,461,1-4,True
3,0-1-4-5,1-4,adjust,809.246614570015,0,0,False,False,0.126783529007205,-0.0009739253503834416,0.008092466145700151,False,False,461,1-5,False
6,0-1-4-5,1-5,adjust,789.7752316686496,0,0,False,False,-0.5172341043408324,0.007897752316686496,0.0007483677589544355,False,False,461,1-5,True
7,0-1-4-5,1-5,adjust,293.81056352022665,0,0,False,False,-0.29381056352022666,0.0009300566911541983,0.0007816489100299238,False,False,461,1-4,False
8,0-1-4-5,1-5,adjust,568.2945115343599,0,0,False,False,-0.0804850386197531,0.0011294738829812885,0.005682945115343599,False,False,461,1-5,True
9,0-1-4-5,1-5,adjust,1155.2509744976512,0,0,False,False,0.08153145513459517,-0.006961864718894884,0.011552509744976514,False,False,461,1-5,True
2,0-1-7-8,1-7,adjust,263.7850198796796,0,0,False,False,-0.09707312647623477,0.0023726992429422373,0.0026378501987967965,False,False,462,1-7,True
3,0-1-7-8,1-7,adjust,375.79945706420784,0,0,False,False,-0.26017002160457153,0.0037579945706420785,0.0007700285441397156,False,False,462,1-7,True
4,0-1-7-8,1-7,adjust,606.6260027005889,0,0,False,False,-0.6066260027005889,0.005216344864056174,0.00510763750849503,False,False,462,1-7,True
5,0-1-7-8,1-7,adjust,838.813646709586,0,0,False,False,0.838813646709586,0.0015120012489788044,0.005365498229625616,False,False,462,1-7,True
6,0-1-7-8,1-7,adjust,1095.58078571111,0,0,False,False,0.32663904038027564,0.0011166303344048013,0.0109558078571111,False,False,462,1-7,True
9,0-1-7-8,1-8,adjust,383.6206620636939,0,0,False,False,-0.052082746387812545,0.0012386785575462702,0.003836206620636939,False,False,462,1-8,True
2,0-1-4-5,1-4,adjust,513.064296467037,0,0,False,False,-0.04486147352617676,0.005130642964670371,0.00135446767309667,False,False,463,1-4,True
3,0-1-4-5,1-4,adjust,611.5556824891366,0,0,False,False,-0.33169395257719914,-0.0061155568248913664,0.002721383399960966,False,False,463,1-5,False
6,0-1-4-5,1-5,adjust,1015.1555599880807,0,0,False,False,0.7115724605635954,0.004538676042318296,0.010151555599880808,False,False,463,1-5,True
7,0-1-4-5,1-5,adjust,545.0608771585412,0,0,False,False,0.2716138126257604,0.0026309728095323427,0.005450608771585413,False,False,463,1-4,False
8,0-1-4-5,1-5,adjust,839.318333721304,0,0,False,False,0.08677485757076127,0.005380950381321526,0.00839318333721304,False,False,463,1-5,True
9,0-1-4-5,1-5,adjust,903.1186635235239,0,0,False,False,0.21708029781565458,0.00903118663523524,0.005379275833873467,False,False,463,1-5,True
2,0-1-7-8,1-7,adjust,393.2162755091212,0,0,False,False,-0.10120694115845827,0.003932162755091212,0.0021408193602368646,False,False,464,1-7,True
