receiver_id,transmitters,selected_pair,status,ratio,small_count_before,small_count_after,holding_before,holding_after,estimated_radial_bias_m,estimated_angular_bias_rad,consistency_rad,radial_clipped,angular_clipped,slot,nominal_selected_pair,matches_nominal_selected_pair
2,0-1-4-5,1-4,adjust,1.2333366233159935,0,0,False,False,0.0001750590644128046,-1.2333366233159935e-05,1.9256772905027525e-07,False,False,461,1-4,True
3,0-1-4-5,1-4,adjust,6.0450584700785805,0,0,False,False,-0.0016823862182579604,-7.1109863281718974e-06,6.045058470078581e-05,False,False,461,1-5,False
6,0-1-4-5,1-5,adjust,10.954389565305695,0,0,False,False,-0.0019074779403317223,-6.955783381549844e-05,0.00010954389565305695,False,False,461,1-5,True
7,0-1-4-5,1-4,adjust,11.493358419160229,0,0,False,False,-0.01149335841916023,3.629148204383203e-05,9.4276634799036e-05,False,False,461,1-4,True
8,0-1-4-5,1-5,adjust,9.94345104441991,0,0,False,False,0.006585830781799018,6.406665928684465e-05,9.94345104441991e-05,False,False,461,1-5,True
9,0-1-4-5,1-5,adjust,7.329303878536517,0,0,False,False,-0.000465597121957144,8.551700548200225e-06,7.329303878536517e-05,False,False,461,1-5,True
2,0-1-7-8,1-7,adjust,9.426797651649741,0,0,False,False,-0.006396481265956074,9.426797651649742e-05,7.182554704050046e-05,False,False,462,1-7,True
3,0-1-7-8,1-7,adjust,12.456404888916325,0,0,False,False,-0.0023938816107666756,5.125676557447366e-05,0.00012456404888916325,False,False,462,1-7,True
4,0-1-7-8,1-7,adjust,14.970755703173156,0,0,False,False,-0.014970755703173156,-8.3492034982196e-06,1.2390818036524557e-07,False,False,462,1-7,True
5,0-1-7-8,1-7,adjust,16.84980960625763,0,0,False,False,-0.01684980960625763,1.043959274437619e-05,3.3504672024398596e-05,False,False,462,1-7,True
6,0-1-7-8,1-7,adjust,14.454068941213844,0,0,False,False,-0.014454068941213845,-5.3387770457651585e-05,6.786846964211626e-05,False,False,462,1-7,True
9,0-1-7-8,1-8,adjust,17.600223291158137,0,0,False,False,0.0018720238919208256,0.00010058090267322998,0.00017600223291158138,False,False,462,1-8,True
2,0-1-4-5,1-4,adjust,8.639676732822638,0,0,False,False,0.001813936052876835,2.309776636493982e-05,8.639676732822638e-05,False,False,463,1-4,True
3,0-1-4-5,1-4,adjust,14.1273159611358,0,0,False,False,-0.006093664305531591,0.000141273159611358,0.00011750277828567704,False,False,463,1-5,False
6,0-1-4-5,1-5,adjust,8.702923263253021,0,0,False,False,-0.004466410402782509,8.702923263253022e-05,4.6418983187580383e-05,False,False,463,1-5,True
7,0-1-4-5,1-4,adjust,8.949126038784046,0,0,False,False,-0.004182822501020047,-8.949126038784047e-05,2.648076240099053e-05,False,False,463,1-4,True
8,0-1-4-5,1-5,adjust,10.495566461489409,0,0,False,False,-0.009550339898352717,-0.0001049556646148941,2.9733954990201374e-05,False,False,463,1-5,True
9,0-1-4-5,1-5,adjust,12.781896931562038,0,0,False,False,-0.0032260508157685303,-0.0001278189693156204,8.30637187356502e-06,False,False,463,1-5,True
2,0-1-7-8,1-7,adjust,22.1264171032024,0,0,False,False,0.006858839586393616,-0.000221264171032024,3.247549679670943e-05,False,False,464,1-7,True
3,0-1-7-8,1-7,adjust,15.855520864346198,0,0,False,False,0.012288441593862083,-0.000158555208643462,5.457614161074712e-05,False,False,464,1-7,True
4,0-1-7-8,1-7,adjust,8.795909891252695,0,0,False,False,0.008795909891252694,2.1214696882724257e-05,2.123085817193999e-05,False,False,464,1-7,True
5,0-1-7-8,1-7,adjust,7.807449319748858,0,0,False,False,0.007807449319748858,-5.780428072385917e-05,4.3746634781905186e-05,False,False,464,1-7,True
6,0-1-7-8,1-7,adjust,7.14274354173107,0,0,False,False,0.0010942605588949868,-7.14274354173107e-05,3.987434188538299e-05,False,False,464,1-7,True
9,0-1-7-8,1-8,adjust,4.643687358897512,0,0,False,False,-0.002987548198410634,-4.643687358897512e-05,2.9507138370953856e-05,False,False,464,1-8,True
2,0-1-4-5,1-4,adjust,11.60819867201403,0,0,False,False,-0.004237637481143117,0.00011608198672014032,0.00010449128049727314,False,False,465,1-4,True
3,0-1-4-5,1-5,adjust,8.79115985766105,0,0,False,False,-0.006340541928036174,-8.791159857661051e-05,6.404623297538471e-05,False,False,465,1-5,True
6,0-1-4-5,1-5,adjust,6.286389906142535,0,0,False,False,0.006286389906142535,5.28040831197911e-05,4.527358161286982e-05,False,False,465,1-5,True
7,0-1-4-5,1-4,adjust,8.34063361946054,0,0,False,False,0.0058275536099238094,8.34063361946054e-05,2.0164778259982354e-05,False,False,465,1-4,True
8,0-1-4-5,1-5,adjust,6.458753911631658,0,0,False,False,-0.00027153943590120305,6.458753911631658e-05,3.3925855227018454e-05,False,False,465,1-5,True
9,0-1-4-5,1-5,adjust,5.0410199151001125,0,0,False,False,0.00319912425218199,-4.7998165422653837e-05,5.041019915100113e-05,False,False,465,1-5,True
2,0-1-7-8,1-7,adjust,2.498259623917418,0,0,False,False,0.00022919636291224426,1.8146416068566843e-05,2.4982596239174182e-05,False,False,466,1-7,True
3,0-1-7-8,1-7,adjust,16.782937785665496,0,0,False,False,-0.0010022269085270825,0.00016782937785665496,4.13788296475359e-05,False,False,466,1-7,True
4,0-1-7-8,1-7,adjust,11.104884958047522,0,0,False,False,-0.0008912998683062572,0.00011104884958047524,1.0929892290025631e-05,False,False,466,1-7,True
5,0-1-7-8,1-7,adjust,6.289798636959379,0,0,False,False,0.0003678473185907167,6.28979863695938e-05,3.438419267435369e-05,False,False,466,1-7,True
6,0-1-7-8,1-7,adjust,3.7437084083616594,0,0,False,False,4.656460188594543e-05,-3.7437084083616596e-05,8.471113945707332e-06,False,False,466,1-7,True
9,0-1-7-8,1-8,adjust,12.037880836032127,0,0,False,False,-0.001957686550624885,5.909292388180614e-05,0.00012037880836032127,False,False,466,1-8,True
2,0-1-4-5,1-4,adjust,7.17719033684722,0,0,False,False,-0.0018828264424679644,7.17719033684722e-05,3.2627202023839326e-05,False,False,467,1-4,True
3,0-1-4-5,1-4,adjust,13.676502880321483,0,0,False,False,-0.002259776626680294,-2.8981133672090326e-05,0.00013676502880321484,False,False,467,1-5,False
6,0-1-4-5,1-5,adjust,3.0971424470598024,0,0,False,False,-0.00013924742373640672,2.254239520645273e-05,3.0971424470598026e-05,False,False,467,1-5,True
7,0-1-4-5,1-4,adjust,4.10464114656448,0,0,False,False,0.004104641146564479,2.562966691004439e-05,1.3554467117052415e-05,False,False,467,1-4,True
8,0-1-4-5,1-5,adjust,7.505908691797825,0,0,False,False,0.007505908691797825,2.2501971753014994e-05,6.245625161995285e-05,False,False,467,1-5,True
9,0-1-4-5,1-5,adjust,8.532899523873438,0,0,False,False,-3.7503378823884076e-05,-1.5305536962870713e-05,8.532899523873438e-05,False,False,467,1-5,True
2,0-1-7-8,1-7,adjust,4.194135824601336,0,0,False,False,0.00034177667968755555,-2.9949329858092874e-05,4.1941358246013364e-05,False,False,468,1-7,True
3,0-1-7-8,1-7,adjust,3.1001358008865467,0,0,False,False,0.00016921351277823546,3.100135800886547e-05,5.934707194455768e-06,False,False,468,1-7,True
4,0-1-7-8,1-7,adjust,6.240424890306945,0,0,False,False,-0.00045502481381715136,-6.240424890306945e-05,8.38272359114976e-06,False,False,468,1-7,True
5,0-1-7-8,1-7,adjust,7.460296311371415,0,0,False,False,-0.007460296311371416,-3.0729698944607266e-05,1.1720012564046889e-05,False,False,468,1-7,True
6,0-1-7-8,1-7,adjust,7.6445364730743774,0,0,False,False,0.0009305975263670379,-4.026998309565172e-05,7.644536473074378e-05,False,False,468,1-7,True
9,0-1-7-8,1-8,adjust,9.535124139446427,0,0,False,False,0.005157961587546631,9.535124139446428e-05,4.90969043997902e-05,False,False,468,1-8,True
2,0-1-4-5,1-4,adjust,7.984321876146143,0,0,False,False,-0.001615801182276036,4.494906388304129e-05,7.984321876146143e-05,False,False,469,1-4,True
3,0-1-4-5,1-4,adjust,6.412523345441359,0,0,False,False,-0.00017645643763833396,-1.2712625350122584e-05,6.41252334544136e-05,False,False,469,1-5,False
6,0-1-4-5,1-5,adjust,8.010326827300043,0,0,False,False,-0.006233169744806978,8.010326827300043e-05,1.4450220229486817e-05,False,False,469,1-5,True
