slot,receiver_id,selected_pair,status,radial_command_m,angular_command_rad,consistency_rad
1,2,1-4,adjust,3.664057588038519,-0.03490658503988659,0.05241273162290285
1,3,1-4,adjust,-5.0,-0.03490658503988659,0.09732134319279767
1,6,1-5,adjust,-5.0,-0.0022026020310469017,0.06980702696948494
1,7,1-5,adjust,-5.0,-0.010204745656228037,0.03572207162817643
1,8,1-5,adjust,1.1927925335423029,-0.012963257016308394,0.013171179395055826
1,9,1-5,adjust,-5.0,-0.010112994641659535,0.006637399529398339
2,2,1-7,adjust,-1.4058363209781708,0.023968863979325863,0.00578475691398865
2,3,1-7,adjust,-5.0,0.023266461859002968,0.003964280161850424
2,4,1-7,adjust,-4.127736885427125,-7.604213480603992e-05,0.0018411904204502704
2,5,1-7,adjust,2.718323097833942,0.0016876091323507895,0.0001609836243702645
2,6,1-7,adjust,-5.0,0.0029092715948994203,0.003142157045523208
2,9,1-8,adjust,-5.0,-0.01507647903598942,0.015508271796147539
3,2,1-4,adjust,0.06962897383245338,-0.00026330990817833075,0.006951752185163199
3,3,1-4,adjust,-1.187373428504347,-0.001147294900046031,0.007737177411039328
3,6,1-5,adjust,-1.5057281972777132,0.000690891107885842,0.0011719143473293613
3,7,1-5,adjust,0.3472212107482776,0.011367097118185919,0.0036715091856932996
3,8,1-5,adjust,0.9345871021702573,0.010793839034187394,0.003595798665544694
3,9,1-5,adjust,-2.1335608583261445,0.021279344808722168,0.00515279447659609
4,2,1-7,adjust,-0.49082910457466605,0.0134302344772147,0.0010588887380440037
4,3,1-7,adjust,-0.842181471279755,0.011089023859139782,7.323196476792446e-05
4,4,1-7,adjust,-0.8916819822989522,0.0055653947906380155,0.0007789171591069329
4,5,1-7,adjust,-0.5098733593363801,0.0004581726658586828,0.0012015375463961515
4,6,1-7,adjust,-0.2203905392432614,-0.0002723149990216504,0.0020137060179708306
4,9,1-8,adjust,0.07507425411602789,0.0015559778790350887,0.0032705882796391014
5,2,1-4,adjust,0.12597062727004663,-0.0035304548581794183,0.0017190099386681014
5,3,1-4,adjust,0.08096644649605877,-0.0016798800509017805,0.0020145670314902957
5,6,1-5,adjust,-0.24930023335970783,0.000295252383751281,0.0003970349420235176
5,7,1-5,adjust,-0.2753997879463022,-0.0016681599181070112,0.00015715003803024648
5,8,1-5,adjust,-0.12335924663568264,-0.00011192191860645875,0.001043931787786476
5,9,1-5,adjust,-0.07597765264582891,-0.0026764215662686917,0.0008371111759774581
6,2,1-7,adjust,-0.05546288994986372,0.00014425926120450016,1.353917634568174e-05
6,3,1-7,adjust,-0.030087035702042762,0.000982083109577985,0.0005653331391505841
6,4,1-7,adjust,0.10060430385795484,-0.0010935121224085798,0.0008896181163146167
6,5,1-7,adjust,-0.005970692475730914,0.0006630583711001815,0.0006007734941829707
6,6,1-7,adjust,-0.01698200458444256,-0.00034396305544953475,0.001640158141765398
6,9,1-8,adjust,0.017029370815318027,0.0012399228698713818,0.0007515608458854096
7,2,1-4,adjust,0.10608018219545932,-0.0011574320362217312,0.0007623201494593562
7,3,1-4,adjust,0.16411634562379,-0.0029427733988344248,0.0005157525474852065
7,6,1-5,adjust,0.039019960283191164,0.0003305440397893641,0.0009898907286950375
7,7,1-5,adjust,0.0295816872621816,-0.0007218623586401787,0.0006597101957453119
7,8,1-5,adjust,0.07610787254587432,-0.0005347664155267875,0.0004991475870000584
7,9,1-5,adjust,-0.008656031031084506,-0.0006651120112607121,0.00017569531359456933
8,2,1-7,adjust,-0.06752044592454542,0.0010708243042019396,0.0011055842396410693
8,3,1-7,adjust,-0.11297820374036999,0.001308701907526502,0.0005669528184100494
8,4,1-7,adjust,-0.04852926087456876,-7.270342371236329e-05,0.00029996373348999106
8,5,1-7,adjust,-0.0038419505062953015,-0.00010839883514995909,0.00039297993049124136
8,6,1-7,adjust,0.006990303885051314,-0.000804514198550291,0.0007278971459490842
8,9,1-8,adjust,0.03402108524569475,0.00055900941871628,2.7156514163568183e-05
