slot,receiver_id,selected_pair,status,radial_command_m,angular_command_rad,consistency_rad
1,2,1-4,adjust,3.659935360190633,-0.03490658503988659,0.05263744331377065
1,3,1-4,adjust,-5.0,-0.03490658503988659,0.0969432253337545
1,6,1-5,adjust,-5.0,-0.003061384326974818,0.06983960150870229
1,7,1-5,adjust,-5.0,-0.010291909557181534,0.03559631111298667
1,8,1-5,adjust,1.2146826725788868,-0.012365926627898127,0.012867707486730377
1,9,1-5,adjust,-5.0,-0.010813531911369434,0.006538654048668433
2,2,1-7,adjust,-1.3418910414681096,0.023495492512255866,0.005431243003809888
2,3,1-7,adjust,-5.0,0.02320030469583535,0.0033994297083584555
2,4,1-7,adjust,-4.204564816675792,-0.00017085686937021342,0.0017249540940283733
2,5,1-7,adjust,2.6628378409201408,0.0012549597717377598,0.00015491490506428955
2,6,1-7,adjust,-5.0,0.004211993976339419,0.002897728118197937
2,9,1-8,adjust,-5.0,-0.014128532445430024,0.013943119113297806
3,2,1-4,adjust,0.03313497967023947,-0.00010184003546292527,0.005896641082754048
3,3,1-4,adjust,-1.3215254604660804,-0.00010655552795324547,0.006000533317337807
3,6,1-5,adjust,-1.405867214788462,0.0005863629065952895,0.002608318242390102
3,7,1-5,adjust,0.3793823695957076,0.011236324851171507,0.003745717743998783
3,8,1-5,adjust,0.9350526235875553,0.01116186378178834,0.004486855639341185
3,9,1-5,adjust,-1.99823255513197,0.020105281746138938,0.005082187393125976
4,2,1-7,adjust,-0.4589151716468408,0.012822669712672395,0.0001862539366626522
4,3,1-7,adjust,-0.7887334728045191,0.009475651047330452,0.0007822771079594366
4,4,1-7,adjust,-0.7941633276319585,0.0045268178747160616,0.0013045478819053837
4,5,1-7,adjust,-0.4900035726405372,0.000883675513217671,0.0018956807397244317
4,6,1-7,adjust,-0.2716492336122491,-0.00047015333578069113,0.0027993209932305548
4,9,1-8,adjust,0.10526819177790546,0.002879254160108464,0.002147061711794026
5,2,1-4,adjust,0.10831102897608988,-0.003070738863303306,0.0011144825127608587
5,3,1-4,adjust,0.1113322095584902,-0.001340777149648765,0.0020273778558725264
5,6,1-5,adjust,-0.17017161523943647,-0.000300099857381431,0.0017925784960729392
5,7,1-5,adjust,-0.28005559963457005,-0.0015920669947850712,0.000990019962419591
5,8,1-5,adjust,-0.1107133477527502,-0.0012970993906962097,0.0004668914276871469
5,9,1-5,adjust,-0.10713913010471589,-0.0029322600896137907,6.0091210232696795e-06
6,2,1-7,adjust,-0.029691818889247545,0.0008165620578196402,5.076817631022452e-05
6,3,1-7,adjust,-0.03026087043020575,0.0003606921816612401,0.0002064397542535605
6,4,1-7,adjust,-0.0013827058399519079,8.002121111763592e-06,0.00034325902204609526
6,5,1-7,adjust,-0.12822514804375754,0.0002261640539310811,0.0004988133198596909
6,6,1-7,adjust,-0.06841421639544239,-0.00012064826002819283,0.0007373209354462658
6,9,1-8,adjust,0.02809959057288004,0.0007712360833849204,0.0005677594058581193
7,2,1-4,adjust,0.02906680008871016,-0.0007995226213796978,0.00029279225261271395
7,3,1-4,adjust,0.02909404900842095,-0.0003468072702681023,0.0005305810034739317
7,6,1-5,adjust,-0.04464708474575904,-7.872855844865701e-05,0.00046527651968577573
7,7,1-5,adjust,-0.07371360435379641,-0.0004261583209302669,0.0002559102410728422
7,8,1-5,adjust,-0.028920418694790492,-0.00034545392331100265,0.00011930570231097097
7,9,1-5,adjust,-0.028003083994601167,-0.0007685618182866061,8.797082780395941e-07
8,2,1-7,adjust,-0.007458318961648048,0.0002049763476356186,1.3669053590916202e-05
8,3,1-7,adjust,-0.0074193148858579545,8.842507145959999e-05,5.366873849918172e-05
8,4,1-7,adjust,0.00010331878655255273,-5.96514687247793e-07,8.883887029838046e-05
8,5,1-7,adjust,-0.03310629233009346,5.837877954749257e-05,0.00012883084316240456
8,6,1-7,adjust,-0.0176282562033025,-3.108441815668112e-05,0.0001901145675016251
8,9,1-8,adjust,0.0072500755605896805,0.00019914011884093793,0.00014539265797889584
9,2,1-4,adjust,0.007504798320339627,-0.0002062504080549929,7.51896055259802e-05
9,3,1-4,adjust,0.007506503618178816,-8.94636931533316e-05,0.00013642408315510775
9,6,1-5,adjust,-0.011505498009187027,-2.028754266003844e-05,0.00011988072442870914
9,7,1-5,adjust,-0.01901022821233871,-0.00010979554038222814,6.601464545562833e-05
9,8,1-5,adjust,-0.007494751506722084,-8.937331081986185e-05,3.085932835927102e-05
9,9,1-5,adjust,-0.007243555476635482,-0.00019896058150241068,5.956164807071501e-08
10,2,1-7,adjust,-0.0019321393318655867,5.3089016317289655e-05,3.5630314810340793e-06
10,3,1-7,adjust,-0.0019294785151919526,2.2994952681940332e-05,1.3865037564807417e-05
10,4,1-7,adjust,7.031301727459354e-06,-4.0594692699098876e-08,2.2924137045592173e-05
10,5,1-7,adjust,-0.008537456985774086,1.505406905545819e-05,3.322562838880668e-05
10,6,1-7,adjust,-0.0045435331078275566,-8.011544235365805e-06,4.900925516471484e-05
10,9,1-8,adjust,0.001869316916979727,5.1355444157783054e-05,3.7412329585570844e-05
11,2,1-4,adjust,0.0019352984516047102,-5.317576067089193e-05,1.9362403286519317e-05
11,3,1-5,adjust,0.0036378714529208996,-4.335397599640098e-05,5.808355398010674e-05
11,6,1-5,adjust,-0.0029655472072712807,-5.229076143381497e-06,3.089813340575759e-05
11,7,1-4,adjust,-0.0066029373951268485,-3.812491428970673e-05,2.6075580833408812e-05
11,8,1-5,adjust,-0.0019346298063768078,-2.3059646301799907e-05,7.961865412266214e-06
11,9,1-5,adjust,-0.0018688811818074562,-5.134346553624085e-05,3.9557227923825774e-09
12,2,1-7,adjust,2.2460014770489546e-07,-6.169937686802961e-09,1.0298154565271301e-05
12,3,1-7,adjust,-0.001702036536036703,2.0283278747780374e-05,7.963808456836526e-06
12,4,1-7,adjust,5.00059475933502e-07,-2.8870922239916438e-09,5.911025142287732e-06
12,5,1-7,adjust,-0.0029653709201001633,5.228765303178651e-06,3.5765762568335906e-06
12,6,1-7,adjust,-0.0026078006912198127,-4.598262329241097e-06,5.2187893288344035e-11
12,9,1-8,adjust,0.0004818883633303345,1.3239533293338988e-05,1.643830750370609e-05
13,2,1-4,adjust,-0.0,-0.0,2.132668787380004e-15
13,3,1-5,adjust,-0.0,-0.0,5.031650293585282e-15
13,6,1-5,adjust,-0.0,-0.0,3.831576539764672e-15
13,7,1-4,adjust,-0.0,-0.0,2.3577540566139035e-15
13,8,1-5,adjust,-0.0006721484057397216,-8.010611152231588e-06,1.0488523176472411e-15
13,9,1-5,adjust,-0.0004818573019335823,-1.32386797684751e-05,1.191228434442578e-15
14,2,1-7,adjust,-0.0,-0.0,1.2899625854847774e-15
14,3,1-7,adjust,-0.0,-0.0,1.776573666601473e-15
14,4,1-7,adjust,-0.0,-0.0,5.20740757162067e-16
14,5,1-7,adjust,-0.0,-0.0,2.050346283584424e-15
14,6,1-7,adjust,-0.0,-0.0,2.2073972817097756e-15
14,9,1-8,adjust,-0.0,-0.0,4.0091197218190075e-15
15,2,1-4,adjust,-0.0,-0.0,2.132668787380004e-15
15,3,1-5,adjust,-0.0,-0.0,5.031650293585282e-15
15,6,1-5,adjust,-0.0,-0.0,3.831576539764672e-15
15,7,1-4,adjust,-0.0,-0.0,2.3577540566139035e-15
15,8,1-5,adjust,-0.0,-0.0,4.002966042486721e-16
15,9,1-5,adjust,-0.0,-0.0,2.0110825152671374e-15
16,2,1-7,adjust,-0.0,-0.0,1.2899625854847774e-15
16,3,1-7,adjust,-0.0,-0.0,1.776573666601473e-15
16,4,1-7,adjust,-0.0,-0.0,5.20740757162067e-16
16,5,1-7,adjust,-0.0,-0.0,2.050346283584424e-15
16,6,1-7,adjust,-0.0,-0.0,2.2073972817097756e-15
16,9,1-8,adjust,-0.0,-0.0,4.0091197218190075e-15
17,2,1-4,adjust,-0.0,-0.0,2.132668787380004e-15
17,3,1-5,adjust,-0.0,-0.0,5.031650293585282e-15
17,6,1-5,adjust,-0.0,-0.0,3.831576539764672e-15
17,7,1-4,adjust,-0.0,-0.0,2.3577540566139035e-15
17,8,1-5,adjust,-0.0,-0.0,4.002966042486721e-16
17,9,1-5,adjust,-0.0,-0.0,2.0110825152671374e-15
18,2,1-7,adjust,-0.0,-0.0,1.2899625854847774e-15
18,3,1-7,adjust,-0.0,-0.0,1.776573666601473e-15
18,4,1-7,adjust,-0.0,-0.0,5.20740757162067e-16
18,5,1-7,adjust,-0.0,-0.0,2.050346283584424e-15
18,6,1-7,adjust,-0.0,-0.0,2.2073972817097756e-15
18,9,1-8,adjust,-0.0,-0.0,4.0091197218190075e-15
19,2,1-4,adjust,-0.0,-0.0,2.132668787380004e-15
19,3,1-5,adjust,-0.0,-0.0,5.031650293585282e-15
19,6,1-5,adjust,-0.0,-0.0,3.831576539764672e-15
19,7,1-4,adjust,-0.0,-0.0,2.3577540566139035e-15
19,8,1-5,adjust,-0.0,-0.0,4.002966042486721e-16
19,9,1-5,adjust,-0.0,-0.0,2.0110825152671374e-15
20,2,1-7,adjust,-0.0,-0.0,1.2899625854847774e-15
20,3,1-7,adjust,-0.0,-0.0,1.776573666601473e-15
20,4,1-7,adjust,-0.0,-0.0,5.20740757162067e-16
20,5,1-7,adjust,-0.0,-0.0,2.050346283584424e-15
20,6,1-7,adjust,-0.0,-0.0,2.2073972817097756e-15
20,9,1-8,adjust,-0.0,-0.0,4.0091197218190075e-15
21,2,1-4,adjust,-0.0,-0.0,2.132668787380004e-15
21,3,1-5,adjust,-0.0,-0.0,5.031650293585282e-15
21,6,1-5,adjust,-0.0,-0.0,3.831576539764672e-15
21,7,1-4,adjust,-0.0,-0.0,2.3577540566139035e-15
21,8,1-5,adjust,-0.0,-0.0,4.002966042486721e-16
21,9,1-5,adjust,-0.0,-0.0,2.0110825152671374e-15
22,2,1-7,adjust,-0.0,-0.0,1.2899625854847774e-15
22,3,1-7,adjust,-0.0,-0.0,1.776573666601473e-15
22,4,1-7,adjust,-0.0,-0.0,5.20740757162067e-16
22,5,1-7,adjust,-0.0,-0.0,2.050346283584424e-15
22,6,1-7,adjust,-0.0,-0.0,2.2073972817097756e-15
22,9,1-8,adjust,-0.0,-0.0,4.0091197218190075e-15
23,2,1-4,adjust,-0.0,-0.0,2.132668787380004e-15
23,3,1-5,adjust,-0.0,-0.0,5.031650293585282e-15
23,6,1-5,adjust,-0.0,-0.0,3.831576539764672e-15
23,7,1-4,adjust,-0.0,-0.0,2.3577540566139035e-15
23,8,1-5,adjust,-0.0,-0.0,4.002966042486721e-16
23,9,1-5,adjust,-0.0,-0.0,2.0110825152671374e-15
24,2,1-7,adjust,-0.0,-0.0,1.2899625854847774e-15
24,3,1-7,adjust,-0.0,-0.0,1.776573666601473e-15
24,4,1-7,adjust,-0.0,-0.0,5.20740757162067e-16
24,5,1-7,adjust,-0.0,-0.0,2.050346283584424e-15
24,6,1-7,adjust,-0.0,-0.0,2.2073972817097756e-15
24,9,1-8,adjust,-0.0,-0.0,4.0091197218190075e-15
25,2,1-4,adjust,-0.0,-0.0,2.132668787380004e-15
25,3,1-5,adjust,-0.0,-0.0,5.031650293585282e-15
25,6,1-5,adjust,-0.0,-0.0,3.831576539764672e-15
25,7,1-4,adjust,-0.0,-0.0,2.3577540566139035e-15
25,8,1-5,adjust,-0.0,-0.0,4.002966042486721e-16
25,9,1-5,adjust,-0.0,-0.0,2.0110825152671374e-15
26,2,1-7,adjust,-0.0,-0.0,1.2899625854847774e-15
26,3,1-7,adjust,-0.0,-0.0,1.776573666601473e-15
26,4,1-7,adjust,-0.0,-0.0,5.20740757162067e-16
26,5,1-7,adjust,-0.0,-0.0,2.050346283584424e-15
26,6,1-7,adjust,-0.0,-0.0,2.2073972817097756e-15
26,9,1-8,adjust,-0.0,-0.0,4.0091197218190075e-15
27,2,1-4,adjust,-0.0,-0.0,2.132668787380004e-15
27,3,1-5,adjust,-0.0,-0.0,5.031650293585282e-15
27,6,1-5,adjust,-0.0,-0.0,3.831576539764672e-15
27,7,1-4,adjust,-0.0,-0.0,2.3577540566139035e-15
27,8,1-5,adjust,-0.0,-0.0,4.002966042486721e-16
27,9,1-5,adjust,-0.0,-0.0,2.0110825152671374e-15
28,2,1-7,adjust,-0.0,-0.0,1.2899625854847774e-15
28,3,1-7,adjust,-0.0,-0.0,1.776573666601473e-15
28,4,1-7,adjust,-0.0,-0.0,5.20740757162067e-16
28,5,1-7,adjust,-0.0,-0.0,2.050346283584424e-15
28,6,1-7,adjust,-0.0,-0.0,2.2073972817097756e-15
28,9,1-8,adjust,-0.0,-0.0,4.0091197218190075e-15
29,2,1-4,adjust,-0.0,-0.0,2.132668787380004e-15
29,3,1-5,adjust,-0.0,-0.0,5.031650293585282e-15
29,6,1-5,adjust,-0.0,-0.0,3.831576539764672e-15
29,7,1-4,adjust,-0.0,-0.0,2.3577540566139035e-15
29,8,1-5,adjust,-0.0,-0.0,4.002966042486721e-16
29,9,1-5,adjust,-0.0,-0.0,2.0110825152671374e-15
30,2,1-7,adjust,-0.0,-0.0,1.2899625854847774e-15
30,3,1-7,adjust,-0.0,-0.0,1.776573666601473e-15
30,4,1-7,adjust,-0.0,-0.0,5.20740757162067e-16
30,5,1-7,adjust,-0.0,-0.0,2.050346283584424e-15
30,6,1-7,adjust,-0.0,-0.0,2.2073972817097756e-15
30,9,1-8,adjust,-0.0,-0.0,4.0091197218190075e-15
31,2,1-4,adjust,-0.0,-0.0,2.132668787380004e-15
31,3,1-5,adjust,-0.0,-0.0,5.031650293585282e-15
31,6,1-5,adjust,-0.0,-0.0,3.831576539764672e-15
31,7,1-4,adjust,-0.0,-0.0,2.3577540566139035e-15
31,8,1-5,adjust,-0.0,-0.0,4.002966042486721e-16
31,9,1-5,adjust,-0.0,-0.0,2.0110825152671374e-15
32,2,1-7,adjust,-0.0,-0.0,1.2899625854847774e-15
32,3,1-7,adjust,-0.0,-0.0,1.776573666601473e-15
32,4,1-7,adjust,-0.0,-0.0,5.20740757162067e-16
32,5,1-7,adjust,-0.0,-0.0,2.050346283584424e-15
32,6,1-7,adjust,-0.0,-0.0,2.2073972817097756e-15
32,9,1-8,adjust,-0.0,-0.0,4.0091197218190075e-15
33,2,1-4,within_tolerance,0.0,0.0,2.132668787380004e-15
33,3,1-5,within_tolerance,0.0,0.0,5.031650293585282e-15
33,6,1-5,within_tolerance,0.0,0.0,3.831576539764672e-15
33,7,1-4,adjust,-0.0,-0.0,2.3577540566139035e-15
33,8,1-5,adjust,-0.0,-0.0,4.002966042486721e-16
33,9,1-5,adjust,-0.0,-0.0,2.0110825152671374e-15
34,2,1-7,within_tolerance,0.0,0.0,1.2899625854847774e-15
34,3,1-7,within_tolerance,0.0,0.0,1.776573666601473e-15
34,4,1-7,adjust,-0.0,-0.0,5.20740757162067e-16
34,5,1-7,adjust,-0.0,-0.0,2.050346283584424e-15
34,6,1-7,within_tolerance,0.0,0.0,2.2073972817097756e-15
34,9,1-8,within_tolerance,0.0,0.0,4.0091197218190075e-15
35,2,1-4,within_tolerance,0.0,0.0,2.132668787380004e-15
35,3,1-5,within_tolerance,0.0,0.0,5.031650293585282e-15
35,6,1-5,within_tolerance,0.0,0.0,3.831576539764672e-15
35,7,1-4,adjust,-0.0,-0.0,2.3577540566139035e-15
35,8,1-5,adjust,-0.0,-0.0,4.002966042486721e-16
35,9,1-5,within_tolerance,0.0,0.0,2.0110825152671374e-15
36,2,1-7,within_tolerance,0.0,0.0,1.2899625854847774e-15
36,3,1-7,within_tolerance,0.0,0.0,1.776573666601473e-15
36,4,1-7,adjust,-0.0,-0.0,5.20740757162067e-16
36,5,1-7,adjust,-0.0,-0.0,2.050346283584424e-15
36,6,1-7,within_tolerance,0.0,0.0,2.2073972817097756e-15
36,9,1-8,within_tolerance,0.0,0.0,4.0091197218190075e-15
37,2,1-4,within_tolerance,0.0,0.0,2.132668787380004e-15
37,3,1-5,within_tolerance,0.0,0.0,5.031650293585282e-15
37,6,1-5,within_tolerance,0.0,0.0,3.831576539764672e-15
37,7,1-4,adjust,-0.0,-0.0,2.3577540566139035e-15
37,8,1-5,adjust,-0.0,-0.0,4.002966042486721e-16
37,9,1-5,within_tolerance,0.0,0.0,2.0110825152671374e-15
38,2,1-7,within_tolerance,0.0,0.0,1.2899625854847774e-15
38,3,1-7,within_tolerance,0.0,0.0,1.776573666601473e-15
38,4,1-7,adjust,-0.0,-0.0,5.20740757162067e-16
38,5,1-7,adjust,-0.0,-0.0,2.050346283584424e-15
38,6,1-7,within_tolerance,0.0,0.0,2.2073972817097756e-15
38,9,1-8,within_tolerance,0.0,0.0,4.0091197218190075e-15
39,2,1-4,within_tolerance,0.0,0.0,2.132668787380004e-15
39,3,1-5,within_tolerance,0.0,0.0,5.031650293585282e-15
39,6,1-5,within_tolerance,0.0,0.0,3.831576539764672e-15
39,7,1-4,adjust,-0.0,-0.0,2.3577540566139035e-15
39,8,1-5,adjust,-0.0,-0.0,4.002966042486721e-16
39,9,1-5,within_tolerance,0.0,0.0,2.0110825152671374e-15
40,2,1-7,within_tolerance,0.0,0.0,1.2899625854847774e-15
40,3,1-7,within_tolerance,0.0,0.0,1.776573666601473e-15
