slot,receiver_id,selected_pair,status,radial_command_m,angular_command_rad,consistency_rad
1,2,1-4,adjust,3.3285933378051156,0.001058603347770941,0.055069545661073464
1,3,1-4,adjust,-5.0,0.0014834693299652841,0.11409117727229649
1,6,1-5,adjust,-5.0,-0.026145598716019947,0.1275984978192572
1,7,1-5,adjust,-5.0,-0.03490658503988659,0.07910453883836861
1,8,1-5,adjust,2.6929099920202164,-0.03490658503988659,0.044942986207850776
1,9,1-5,adjust,5.0,-0.025756806025536646,0.015805212704245036
2,2,1-7,adjust,1.3649087331574885,-0.03490658503988659,0.030339898859597068
2,3,1-7,adjust,1.9099512280052375,-0.03490658503988659,0.013422661514954439
2,4,1-7,adjust,4.770224219664891,-0.01986817128781129,0.0012297412076636227
2,5,1-7,adjust,5.0,-0.0032154601165201263,0.018197858233614615
2,6,1-7,adjust,1.2462623109182762,0.02978466550139327,0.044868155790563066
2,9,1-8,adjust,1.0480725419848296,-0.03490658503988659,0.08510099253037051
3,2,1-4,adjust,0.5090107467605158,-0.017878969554867244,0.07856743290540177
3,3,1-4,adjust,0.5252424607977095,-0.011470699157609432,0.13113697348333453
3,6,1-5,adjust,-5.0,-0.018754011568040293,0.09715896843012606
3,7,1-5,adjust,-5.0,0.006923664824892036,0.05049609675093871
3,8,1-5,adjust,1.4096800955425108,0.008188729478413826,0.01675893826366215
3,9,1-5,adjust,1.9784767759147608,0.03490658503988659,0.01093455967851064
4,2,1-7,adjust,-0.6297174744488544,0.015215495706521137,0.015285643221787435
4,3,1-7,adjust,-1.7614166061415144,0.020699692369258234,0.014976422352932487
4,4,1-7,adjust,-3.0769578359385528,0.017684260124097732,0.014721246793231606
4,5,1-7,adjust,5.0,0.008475013914110962,0.014572952330841299
4,6,1-7,adjust,-0.7325737530534765,0.009306867775700313,0.014115905590505953
4,9,1-8,adjust,-1.1008321876782328,-0.03040559665432961,0.013136419308632494
5,2,1-4,adjust,-0.7131547712983624,0.02193935784067088,0.021691092369168302
5,3,1-4,adjust,-0.7740010993363017,0.009832294008591015,0.03418504025119363
5,6,1-5,adjust,0.4823009144664808,0.0007541315281104742,0.02134070011671603
5,7,1-5,adjust,1.7127946433262065,0.024050196950382928,0.009411950295796329
5,8,1-5,adjust,2.223878917803875,0.025771720602245873,0.0013553882973416267
5,9,1-5,adjust,1.826329627291763,0.03490658503988659,0.005431084766706051
6,2,1-7,adjust,-0.22925087420391504,0.007234467118684107,0.0018477923313673737
6,3,1-7,adjust,-0.7213156330618786,0.008782400621843333,0.002974635696569847
