receiver_id,transmitters,selected_pair,status,ratio,small_count_before,small_count_after,holding_before,holding_after,estimated_radial_bias_m,estimated_angular_bias_rad,consistency_rad,radial_clipped,angular_clipped,slot,nominal_selected_pair,matches_nominal_selected_pair
2,0-1-4-5,1-4,adjust,9102.48220409739,0,0,False,False,-9.10248220409739,-0.030631810859469363,0.05999877590677724,True,False,1,1-4,True
3,0-1-4-5,1-4,adjust,11170.24632891005,0,0,False,False,2.935245748086288,-0.041515537473218726,0.11170246328910052,False,True,1,1-5,False
6,0-1-4-5,1-5,adjust,9161.959901795739,0,0,False,False,6.797927016136062,-0.0043425193121565476,0.0916195990179574,True,False,1,1-5,True
7,0-1-4-5,1-5,adjust,13327.136403392746,0,0,False,False,-13.327136403392746,-0.010514115129160492,0.04742098551099613,True,False,1,1-4,False
8,0-1-4-5,1-5,adjust,6220.884384877634,0,0,False,False,-6.2208843848776345,-0.013555242744655431,0.02046547379951368,True,False,1,1-5,True
9,0-1-4-5,1-5,adjust,6852.820405590625,0,0,False,False,-6.852820405590625,-0.0077058222532573025,0.003907850186959931,True,False,1,1-5,True
2,0-1-7-8,1-7,adjust,5337.335841821142,0,0,False,False,-5.337335841821142,0.025468462063046246,0.01134704619955255,True,False,2,1-7,True
3,0-1-7-8,1-7,adjust,1256.0733779287314,0,0,False,False,-1.2560733779287314,0.009937578480692105,0.002378741276075376,False,False,2,1-7,True
4,0-1-7-8,1-7,adjust,2137.4766684843457,0,0,False,False,-0.031212412652163492,-0.02137476668484346,0.013846667701679569,False,False,2,1-7,True
5,0-1-7-8,1-7,adjust,11295.421097361892,0,0,False,False,11.295421097361892,-0.011883289604635375,0.027496119221715583,True,False,2,1-7,True
6,0-1-7-8,1-7,adjust,13519.769016768796,0,0,False,False,13.519769016768796,0.020226664742562243,0.04612189217702612,True,False,2,1-7,True
9,0-1-7-8,1-8,adjust,6149.045807845026,0,0,False,False,-1.9457413893895903,-0.0035099254076943888,0.061490458078450265,False,False,2,1-8,True
2,0-1-4-5,1-4,adjust,4747.688443090192,0,0,False,False,1.256208476393983,-0.04747688443090192,0.04325089008767956,False,True,3,1-4,True
3,0-1-4-5,1-4,adjust,6087.153979634317,0,0,False,False,1.7049598182898955,-0.02085921217378638,0.060871539796343174,False,False,3,1-5,False
6,0-1-4-5,1-5,adjust,2457.3034661219,0,0,False,False,1.4875248553208162,-0.012317378790608673,0.024573034661219,False,False,3,1-5,True
7,0-1-4-5,1-5,adjust,6160.838323578987,0,0,False,False,-6.160838323578987,0.01299381967592263,0.0036671983871093172,True,False,3,1-4,False
8,0-1-4-5,1-5,adjust,1004.5345447094004,0,0,False,False,-0.34824221693337815,0.010045345447094005,0.008483868436368,False,False,3,1-5,True
9,0-1-4-5,1-5,adjust,1936.2627410035009,0,0,False,False,0.02914370499757605,8.156829397184382e-05,0.01936262741003501,False,False,3,1-5,True
2,0-1-7-8,1-7,adjust,3977.9985458305914,0,0,False,False,-1.8132026657287934,0.03977998545830592,0.007094238704360914,False,True,4,1-7,True
3,0-1-7-8,1-7,adjust,4020.344767262617,0,0,False,False,-3.3637562874728624,0.04020344767262617,0.0037217473493027947,False,True,4,1-7,True
