slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,,0,0,0,0.0,0.0,9.955348046198184,6.483496977636808,9.947943167926027,0.24162470655578952,0.4004641197440506
1,0-1-4-5,4,4,4,24.27057318656291,24.27057318656291,6.455465932921422,5.05877403896427,6.453651308993244,2.1668881534201896,2.1668881534201816
2,0-1-7-8,4,8,8,28.284959478726652,52.55553266528956,5.567785993556286,3.375997271972148,4.947943167926027,2.5097447650586147,2.5097447650586133
3,0-1-4-5,4,12,12,16.82154094823906,69.37707361352862,2.0602475835096055,1.1483432070088582,2.0299544541290118,0.5097447650586373,0.5097447650586133
4,0-1-7-8,4,16,16,5.98859494193061,75.36566855545924,1.3745905556679474,0.8187185937992836,1.1851681878548135,0.5559571395260322,0.5559571395260221
5,0-1-4-5,4,20,20,4.610639902970618,79.97630845842986,0.5408539945981411,0.2755141200695211,0.5325899809859322,0.1018735150924544,0.1014715162110349
6,0-1-7-8,4,24,24,1.2535126491171247,81.22982110754698,0.354798875848093,0.21122229570508338,0.3068735753125651,0.1421266189416923,0.14212661894169543
7,0-1-4-5,4,28,28,1.193433721479025,82.423254829026,0.1399238256977393,0.07109559041198182,0.1377946021133596,0.026213338329403448,0.02618718917146623
8,0-1-7-8,4,32,32,0.32703116509889946,82.75028599412491,0.0914492004436342,0.05457479079219477,0.07917167235767408,0.03656797998307931,0.036567979983075816
9,0-1-4-5,4,36,36,0.30912609137126673,83.05941208549618,0.036104208557445,0.018333982017467578,0.03555547376269885,0.006754278181886006,0.006752529955100783
10,0-1-7-8,4,40,40,0.0846542239933496,83.14406630948953,0.02357340647552412,0.014076998323022108,0.02041347163388707,0.009421916907631243,0.009421916907633943
11,0-1-4-5,4,44,44,0.08586368741644101,83.22992999690597,0.009309099618903676,0.00427056265988057,0.009167658142956725,0.001418841773193439,0.0017407729243146264
12,0-1-7-8,4,48,48,0.021870163174918703,83.25180016008089,0.0043548870341366735,0.001807830820684867,0.002077693969994243,0.002344658678224944,0.002344658678246958
13,0-1-4-5,4,52,52,0.007587413820613061,83.2593875739015,2.239785001894122e-11,1.1600872070705668e-11,1.9269918993813917e-11,8.98188642045297e-12,8.981260180007666e-12
14,0-1-7-8,4,56,56,0.0,83.2593875739015,2.239785001894122e-11,1.1600872070705668e-11,1.9269918993813917e-11,8.98188642045297e-12,8.981260180007666e-12
15,0-1-4-5,4,60,60,0.0,83.2593875739015,2.239785001894122e-11,1.1600872070705668e-11,1.9269918993813917e-11,8.98188642045297e-12,8.981260180007666e-12
16,0-1-7-8,4,64,64,0.0,83.2593875739015,2.239785001894122e-11,1.1600872070705668e-11,1.9269918993813917e-11,8.98188642045297e-12,8.981260180007666e-12
17,0-1-4-5,4,68,68,0.0,83.2593875739015,2.239785001894122e-11,1.1600872070705668e-11,1.9269918993813917e-11,8.98188642045297e-12,8.981260180007666e-12
18,0-1-7-8,4,72,72,0.0,83.2593875739015,2.239785001894122e-11,1.1600872070705668e-11,1.9269918993813917e-11,8.98188642045297e-12,8.981260180007666e-12
19,0-1-4-5,4,76,76,0.0,83.2593875739015,2.239785001894122e-11,1.1600872070705668e-11,1.9269918993813917e-11,8.98188642045297e-12,8.981260180007666e-12
