receiver_id,transmitters,selected_pair,status,ratio,small_count_before,small_count_after,holding_before,holding_after,estimated_radial_bias_m,estimated_angular_bias_rad,consistency_rad,radial_clipped,angular_clipped,slot,nominal_selected_pair,matches_nominal_selected_pair
2,0-1-4-5,1-4,adjust,6.431466117871881,0,0,False,False,-0.0023406127209959523,6.431466117871881e-05,2.6059600115397292e-05,False,False,461,1-4,True
3,0-1-4-5,1-5,adjust,6.348119150434553,0,0,False,False,-0.001529466199935072,1.8228145141352495e-05,6.348119150434554e-05,False,False,461,1-5,True
6,0-1-4-5,1-5,adjust,3.013237997733229,0,0,False,False,0.003013237997733229,5.314035406235013e-06,2.744371483451418e-05,False,False,461,1-5,True
7,0-1-4-5,1-4,adjust,8.760437585800958,0,0,False,False,0.0,0.0,8.760437585800959e-05,False,False,461,1-4,True
8,0-1-4-5,1-5,adjust,6.415537026799792,0,0,False,False,0.0,0.0,6.415537026799793e-05,False,False,461,1-5,True
9,0-1-4-5,1-5,adjust,6.427415690498998,0,0,False,False,-0.0023393356243337103,-6.427415690498999e-05,3.1352203128931536e-05,False,False,461,1-5,True
2,0-1-7-8,1-7,adjust,12.247112272862765,0,0,False,False,0.00234061272096861,-6.431466117798298e-05,0.00012247112272862766,False,False,462,1-7,True
3,0-1-7-8,1-7,adjust,10.348955938946112,0,0,False,False,0.0015294662000456482,-1.8228145143746386e-05,0.00010348955938946113,False,False,462,1-7,True
4,0-1-7-8,1-7,adjust,11.105527930921804,0,0,False,False,0.0,0.0,0.00011105527930921805,False,False,462,1-7,True
5,0-1-7-8,1-7,adjust,7.868957681830243,0,0,False,False,0.0,0.0,7.868957681830244e-05,False,False,462,1-7,True
6,0-1-7-8,1-7,adjust,9.167002723083721,0,0,False,False,-0.003013237997739819,-5.3140354065265624e-06,9.167002723083721e-05,False,False,462,1-7,True
9,0-1-7-8,1-8,adjust,18.56528882045442,0,0,False,False,0.0023393356243263165,6.427415690515607e-05,0.00018565288820454422,False,False,462,1-8,True
