slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,,0,0,0,0.0,0.0,12.01113974324003,7.414802070024728,12.000000000000014,0.2799999999999826,0.45999999999999375
1,0-1-4-5,4,4,4,28.332676545436623,28.332676545436623,7.709903671520375,4.754997265249081,7.000000000000014,1.900000000000009,1.9000000000000057
2,0-1-7-8,4,8,8,25.39294016685139,53.725616712288016,2.8479082057828884,1.5421549211059156,2.000000000000014,1.150221423723635,1.15022142372365
3,0-1-4-5,4,12,12,8.2545681715314,61.98018488381942,1.0592164745034558,0.674147683733395,0.7959615348610214,0.5583781228240801,0.558378122824088
4,0-1-7-8,4,16,16,4.592939002306142,66.57312388612556,0.43433551013062616,0.2592137049081475,0.37537685052019754,0.17793075915015694,0.17793075915015066
5,0-1-4-5,4,20,20,1.4727793663880997,68.04590325251365,0.17125451411238576,0.08614765669235243,0.16831885189846219,0.03324218698923007,0.02980645851568653
6,0-1-7-8,4,24,24,0.4075438493559106,68.45344710186957,0.11036278775012837,0.06547530009610474,0.0938649663839044,0.048105045491560104,0.04810504549154615
7,0-1-4-5,4,28,28,0.37687873268103533,68.8303258345506,0.04042794649592988,0.02000858803068974,0.03945523001252127,0.008704462047793562,0.008448171706497476
8,0-1-7-8,4,32,32,0.09485808761910848,68.92518392216971,0.025105230306080493,0.015018980558431755,0.01979448470790146,0.013873614216400659,0.013873614216400654
9,0-1-4-5,4,36,36,0.08660263563436366,69.01178655780407,0.007275986415374915,0.004960553425644698,0.00619366896923168,0.004040789604093176,0.006780416595063343
10,0-1-7-8,4,40,40,0.022745052015991245,69.03453160982006,0.009785757794380085,0.005155565630628305,0.0018991862397825798,0.005553318005137081,0.006780416595063343
11,0-1-4-5,4,44,44,0.018134816232418426,69.05266642605248,0.009239132266327412,0.004499081889249629,0.0018991862397825798,0.005293114832464209,0.008032375936231517
12,0-1-7-8,4,48,48,0.01912342992432209,69.0717898559768,0.009785005108897567,0.005759234754419945,0.0018991236023850888,0.005552903619700408,0.008032375936231517
13,0-1-4-5,4,52,52,0.019123523012204505,69.090913378989,0.00923894981081497,0.004498981124313001,0.0018991236023850888,0.005293010128502318,0.008032271232266908
14,0-1-7-8,4,56,56,0.019123270156687064,69.11003664914568,0.009785005110879878,0.005759195055229597,0.0018991236023850888,0.0055529036237460735,0.008032271232266908
15,0-1-4-5,4,60,60,0.019123270157984183,69.12915991930367,0.00923894981081497,0.004498981124295995,0.0018991236023850888,0.005293010128502318,0.008032271232266908
